IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
2553,1.6362,0.4551,2.7406,1.5613,0.2737,3.0271,1.07469,33.0,0,0.0,,99.0,1.11,1.00723,33.0,0.0,0.604343,,1000000000.0,4.05733,8,16380,,,,27.482,28.306,28.331,28.331,27.788,28.206,28.369,28.999,,,,,,27.81,27.685,27.847,28.059,28.331,28.219,28.227,28.294,28.277,28.485,28.592,28.702,29.097,29.332,29.064,8.82578,7.24923,-2.17066,,,,AS1063clu,342.2055499,-44.5416753
2554,1.3032,1.1303,1.5781,1.5083,0.365,5.8464,2.52167,33.0,3,0.15,,99.0,0.0,2.95495,33.0,0.4,0.228214,,1000000000.0,7.26026,8,16380,,,,28.895,28.964,28.866,28.175,28.124,28.086,27.756,,,,,,,29.083,28.647,28.615,28.7,28.598,28.252,28.111,28.129,27.841,28.139,28.059,28.131,28.491,28.653,28.434,8.88919,7.62511,-1.84414,,,,AS1063clu,342.1793932,-44.5416916
2555,0.0,0.0,1.59,2.8722,0.7006,6.2273,2.66435,33.0,1,0.4,,99.0,0.88,0.913391,1.0,0.0,0.633373,,1000000000.0,129.591,8,16380,,,,30.28,29.851,28.252,27.916,27.461,27.425,27.317,27.861,,,,24.791,,,34.636,30.503,29.304,28.874,28.58,28.41,28.021,27.702,27.371,26.741,26.557,26.405,26.521,26.712,9.04299,8.04775,-1.99302,,,,AS1063clu,342.2075016,-44.5416697
2556,0.91368,0.4187,1.5646,3.9208,0.7317,6.3268,5.19,33.0,1,0.3,,99.0,5.23,1.09821,33.0,0.15,0.577467,,1000000000.0,248.042,8,16380,,,,29.178,29.993,27.734,27.529,27.521,27.333,27.353,27.655,,,,,,,,32.302,28.847,28.048,27.828,27.726,27.665,27.61,26.985,26.466,26.379,26.249,26.156,27.232,8.99495,8.08824,-1.76878,,,,AS1063clu,342.1766453,-44.5417387
2557,1.1065,0.0,4.726,2.005,0.562,5.3449,0.380837,33.0,3,0.3,,99.0,0.29,0.0809802,26.0,0.25,0.960319,,1000000000.0,72.1715,7,16376,,,,,28.207,27.594,27.192,26.963,26.95,26.986,26.63,,,,26.314,,31.061,29.062,28.297,28.189,27.859,27.522,27.15,27.003,26.908,26.696,26.356,26.259,26.356,26.779,25.879,8.96714,8.1871,-1.45765,,,,AS1063clu,342.1686031,-44.5419921
2559,3.2169,0.0,4.0551,2.7182,0.6476,4.9464,0.659487,31.0,1,0.1,,99.0,2.46,0.466184,33.0,0.15,0.792081,,1000000000.0,11.3225,8,16380,,,,29.376,29.094,28.722,28.652,28.839,29.165,28.629,27.888,,,24.369,,,,31.579,29.465,29.069,29.073,29.104,29.066,28.822,28.59,28.51,28.352,28.375,28.356,28.631,29.06,8.90831,7.86143,-1.64278,,,,AS1063clu,342.2010211,-44.5417373
2560,3.2356,2.0322,4.6751,3.4298,1.2255,5.8955,0.463186,2.0,0,0.0,1139000000.0,99.0,2.48,0.707038,33.0,0.3,0.702213,,1000000000.0,1202810000.0,8,16380,,,,29.764,29.701,29.673,28.736,29.649,28.675,28.659,27.394,24.503,,,24.816,,37.613,36.365,30.823,29.692,29.42,29.33,29.127,28.894,28.639,27.368,26.995,26.849,26.8,26.716,28.356,9.00549,8.16709,-1.58878,,,,AS1063clu,342.2012821,-44.5417332
2562,0.0,0.0,0.1222,1.1596,0.2196,5.4208,4.20879,33.0,3,0.15,,99.0,1.3,4.0659,33.0,0.15,0.130949,,1000000000.0,6.5602,7,16376,,,,,28.638,27.715,27.601,27.437,27.453,27.333,,,,,24.504,,28.309,28.192,28.273,28.229,27.973,27.694,27.815,27.487,27.349,27.643,27.63,27.886,28.304,28.394,27.668,8.89967,7.4561,-2.02643,,,,AS1063clu,342.185528,-44.5418655
2564,0.0,0.0,0.1086,1.0245,0.1879,4.864,4.27377,1.0,0,0.0,640500000.0,99.0,1.2,2.7702,33.0,0.2,0.250298,,1000000000.0,152640000.0,8,16380,,,,27.707,27.211,26.624,26.254,26.364,25.968,25.924,27.264,,,,,,27.412,27.418,27.418,27.404,26.691,26.373,26.29,26.295,26.355,26.31,26.341,26.617,27.034,27.494,29.502,8.89841,7.83401,-1.62949,,,,AS1063clu,342.1713587,-44.5432871
2565,0.0,0.0,0.1741,1.0548,0.1846,2.5688,3.43275,28.0,0,0.0,,99.0,1.41,1.87865,33.0,0.2,0.390892,,1000000000.0,2.88745,8,16380,,,,28.483,27.925,28.001,27.924,27.211,26.975,27.039,28.384,,,,,,28.069,28.122,28.184,28.253,27.702,27.394,27.302,27.3,27.377,27.343,27.422,27.719,28.147,28.471,27.665,8.86358,7.54893,-1.79763,,,,AS1063clu,342.2065558,-44.5418875
