catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
325,1153,342.189372,-44.5309357,6.923,abells1063,0.348,1.58,7.39,21,1.58,10.43,7.15,7.15,7.16,12.13,12.13,15.11,6.75,8.27,115.53,11.34,5.85,7.42,1.95,4.78,4.78,7.39,2.43,7.46,9.12,CLASH RXJ2248-4431  979,342.1893685,-44.5309358,LeG,5.9,E,2014ApJ...792...76B,0.008989397336629944,SIMBAD
335,1188,342.1590247,-44.5318012,0.6429,abells1063,0.348,1.5,1.62,21,1.5,1.55,1.97,1.97,2.14,1.72,1.72,1.53,1.64,1.61,1.29,1.62,1.57,1.87,2.16,1.73,1.73,1.5,1.23,1.44,1.53,[WEC2019] 28,342.1590458333334,-44.53177222222222,G,0.61,D,2019ApJ...877....7W,0.11757569312965066,SIMBAD
337,1200,342.174913,-44.5341277,0.4598,abells1063,0.348,2.27,2.27,21,2.27,2.08,28.78,28.78,40.27,2.15,2.15,2.25,0.92,10.61,1.39,3.08,14.11,22.07,1.99,2.17,2.17,2.27,2.5,2.36,20.53,[KCG2015] 10,342.174876,-44.53412,GiC,0.341,D,2015A&A...574A..11K,0.09891296930036148,SIMBAD
341,1209,342.188785,-44.5227796,5.3543,abells1063,0.348,4.8,8.86,21,4.8,8.58,8.14,8.14,8.23,8.86,8.86,8.46,9.83,9.56,28.21,10.3,8.71,9.06,3.25,9.7,9.7,12.89,6.95,6.01,12.46,[KIS2018] AS1063 57.1,342.188756,-44.522771,LeI,5.237,C,2018ApJ...855....4K,0.08061624969524013,SIMBAD
342,1211,342.1758148,-44.5325324,1.1178,abells1063,0.348,2.03,8.66,21,2.03,8.64,8.66,8.66,8.8,15.5,15.5,18.47,10.96,11.24,6.94,10.56,8.0,8.89,5.39,6.74,6.74,10.33,3.45,11.63,6.12,NAME CMC2020 MUSE SW 461-99-99,342.1758,-44.532523,LeG,1.4283,C,2018A&A...613A..72G,0.05086929342017435,SIMBAD
343,1215,342.1769499,-44.5341098,0.3678,abells1063,0.348,1.18,1.45,21,1.18,1.77,1.45,1.45,1.43,1.2,1.2,1.21,6.1,1.64,1.07,2.93,1.63,3.62,1.15,1.18,1.18,1.18,1.8,1.79,1.93,[KCG2015] 2,342.1769,-44.534098,GiC,0.3342,D,2012AJ....144...79G,0.1349155621516519,SIMBAD
345,1222,342.1946207,-44.5322802,0.4724,abells1063,0.348,1.33,1.56,21,1.33,1.56,1.54,1.54,1.54,1.63,1.63,1.61,1.56,2.25,1.56,1.6,1.54,1.55,1.37,1.58,1.58,1.85,1.39,1.56,4.85,[KCC2017] NE-72,342.19462,-44.53228,G,0.352,D,2017A&A...599A..28K,0.0019353132887078668,SIMBAD
346,1225,342.1571749,-44.5326681,3.7993,abells1063,0.348,2.6,3.35,20,2.6,2.75,3.95,3.95,4.25,25.11,25.11,15.45,,0.11,1.78,0.19,99.01,0.75,4.98,2.7,2.7,1.9,17.41,4.64,0.23,[GVR2012] 1661,342.157132,-44.532661,GiC,0.345,C,2014ApJ...792...45R,0.11302083557086332,SIMBAD
349,1242,342.2114589,-44.5255982,3.871,abells1063,0.348,0.34,1.31,19,,0.34,1.14,1.14,1.31,20.97,20.97,36.78,0.74,0.59,1.45,136.05,4.94,0.05,,1.5,1.5,2.06,0.82,0.77,0.34,[GVR2012] 528,342.211458,-44.525593,GiC,0.3623,D,2012AJ....144...79G,0.018861975400342755,SIMBAD
355,1265,342.183073,-44.5330958,0.8229,abells1063,0.348,1.76,5.81,21,1.76,15.8,5.68,5.68,5.59,14.43,14.43,15.11,0.68,1.59,3.09,26.7,16.37,1.53,4.12,5.81,5.81,13.05,8.75,16.18,0.56,[KCG2015] 26,342.1830708333333,-44.53306944444444,G,0.35,D,2015A&A...574A..11K,0.09504278074529057,SIMBAD
