catalog_index,id,ra,dec,z_source,cluster,z_lens,best_mu,median_mu,n_valid_mu_models,mu_model_000,mu_model_001,mu_model_002,mu_model_003,mu_model_004,mu_model_005,mu_model_006,mu_model_007,mu_model_008,mu_model_009,mu_model_010,mu_model_011,mu_model_012,mu_model_013,mu_model_014,mu_model_015,mu_model_016,mu_model_017,mu_model_018,mu_model_019,mu_model_020,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
518,1732,342.180327,-44.540828,2.0689,abells1063,0.348,3.33,6.37,21,3.33,6.57,5.63,5.63,5.63,6.61,6.61,5.87,6.37,6.4,7.92,7.57,6.65,5.96,7.35,8.8,8.8,5.99,2.86,6.02,4.5,[RJL2014] AS1063 9.1,342.18028,-44.540829,LeG,2.92,E,2014MNRAS.438.1417M,0.12065115687340132,SIMBAD
519,1734,342.1807629,-44.5408863,1.8623,abells1063,0.348,2.82,5.57,21,2.82,5.58,4.94,4.94,4.94,5.62,5.62,5.07,5.57,5.58,7.29,6.39,5.75,5.17,7.19,7.14,7.14,5.02,2.65,5.23,4.13,[ZFM2015] RXJ2248 8.1,342.18079,-44.540883,LeG,2.94,E,2014MNRAS.438.1417M,0.07054343350119643,SIMBAD
522,1750,342.1922517,-44.5412876,1.2632,abells1063,0.348,1.65,1.94,21,1.65,2.11,1.92,1.92,1.92,2.05,2.05,2.02,2.23,2.19,2.04,2.19,2.18,2.03,1.62,1.26,1.26,1.48,1.54,1.59,1.94,[BHF2019] RXCJ2248    800,342.1923,-44.54129999999999,G,1.21,E,2021MNRAS.501.1028Y,0.13172661039506903,SIMBAD
530,1793,342.1631871,-44.5417079,0.5853,abells1063,0.348,1.65,1.69,21,1.65,1.76,1.6,1.6,1.6,1.91,1.91,1.7,1.66,1.65,1.3,1.8,1.72,1.69,1.74,1.94,1.94,1.58,1.23,1.4,2.03,[IKO2018] HFF5C-3913-2297,342.163049,-44.541595,G,6.18,E,2018ApJ...854...73I,0.5392167377844445,SIMBAD
531,1797,342.203742,-44.5422594,0.3607,abells1063,0.348,1.01,1.02,21,1.01,1.02,1.18,1.18,1.17,1.01,1.01,1.01,1.02,1.09,1.02,1.02,1.02,1.02,1.01,1.0,1.0,1.0,1.01,1.02,1.02,[DCL2021] RX J2248.7-4431 e,342.20363333333336,-44.54215277777777,G,0.35,D,2016ApJ...833..178V,0.4744202613108967,SIMBAD
535,1815,342.186659,-44.5407575,0.5115,abells1063,0.348,1.27,1.63,21,1.27,8.74,8.17,8.17,7.11,1.57,1.57,1.63,1.07,1.03,1.36,6.32,9.13,5.87,1.45,1.26,1.26,1.25,2.72,3.03,85.39,[KCG2015] 25,342.186616,-44.540745,GiC,0.349,D,2015A&A...574A..11K,0.11915781632247882,SIMBAD
537,1829,342.179184,-44.5421967,0.8384,abells1063,0.348,1.87,2.42,21,1.87,2.48,2.27,2.27,2.28,2.48,2.48,2.23,2.43,2.42,3.3,2.65,2.53,2.39,3.04,2.65,2.65,2.31,1.58,2.02,2.2,[KCG2015] 41,342.17924583333337,-44.54219444444444,G,0.698,D,2015A&A...574A..11K,0.1588622603881673,SIMBAD
545,1854,342.184491,-44.5431889,0.4705,abells1063,0.348,1.17,1.63,21,1.17,53.08,5.6,5.6,5.02,1.43,1.43,1.41,1.82,0.7,1.28,5.49,12.51,9.1,1.43,1.12,1.12,1.11,1.63,1.77,30.57,[KCG2015] 29,342.1845166666667,-44.54317777777778,G,0.353,D,2015A&A...574A..11K,0.07707236798804493,SIMBAD
546,1861,342.1625898,-44.542949,3.3053,abells1063,0.348,4.72,5.32,21,4.72,8.32,4.97,4.97,5.06,15.24,15.24,6.88,5.32,5.28,1.96,7.96,5.92,5.52,3.16,7.98,7.98,2.94,2.29,3.72,46.07,NAME CMC2020 R2248 MR p3 M1 Q3 43 1,342.1625833333334,-44.54294444444445,LeG,3.2421,C,2020MNRAS.492..821C,0.023329429027824585,SIMBAD
553,1886,342.1683162,-44.5324023,1.3553,abells1063,0.348,3.97,5.97,21,3.97,7.61,5.97,5.97,5.93,6.29,6.29,5.97,6.68,6.57,31.12,8.77,6.91,6.23,8.33,5.97,5.97,3.16,3.16,4.85,4.78,[IKO2018] HFF5C-4039-1566,342.168321,-44.532412,G,5.33,E,2018ApJ...854...73I,0.037028939522144665,SIMBAD
561,1935,342.1801455,-44.5441267,0.6824,abells1063,0.348,1.45,1.65,21,1.45,1.75,1.65,1.65,1.65,1.82,1.82,1.62,1.76,1.76,1.49,1.83,1.83,1.72,2.81,1.47,1.47,1.44,1.28,1.52,1.64,[GVR2012] 667,342.1799375,-44.544002777777784,G,0.714,D,2015A&A...574A..11K,0.6955827828290806,SIMBAD
564,1953,342.2050921,-44.5444189,1.6772,abells1063,0.348,1.37,1.38,21,1.37,1.45,1.38,1.38,1.38,1.14,1.14,1.12,1.59,1.62,1.47,1.54,1.64,1.5,1.18,1.08,1.08,1.08,1.11,1.74,1.45,[GDS2018] AS1063-732,342.2051886,-44.5444467,LeG,1.6388,C,2018A&A...613A..72G,0.26705606936467524,SIMBAD
572,1998,342.1975409,-44.5452583,1.1018,abells1063,0.348,1.35,1.43,21,1.35,1.53,1.44,1.44,1.43,1.25,1.25,1.19,1.63,1.64,1.43,1.57,1.68,1.51,1.2,1.08,1.08,1.11,1.22,1.43,1.53,[BHF2019] RXCJ2248    400,342.1975,-44.5453,G,1.39,E,2021MNRAS.501.1028Y,0.1831607861197117,SIMBAD
573,2000,342.1968922,-44.545409,1.1276,abells1063,0.348,1.38,1.44,21,1.38,1.53,1.44,1.44,1.44,1.26,1.26,1.2,1.64,1.64,1.44,1.58,1.7,1.52,1.21,1.09,1.09,1.11,1.21,1.43,1.51,[BHF2019] RXCJ2248    360,342.1969,-44.5454,G,1.15,E,2021MNRAS.501.1028Y,0.038082265449441204,SIMBAD
578,2029,342.204481,-44.5452595,1.4875,abells1063,0.348,1.36,1.36,21,1.36,1.41,1.36,1.36,1.36,1.13,1.13,1.1,1.56,1.59,1.45,1.49,1.6,1.46,1.16,1.07,1.07,1.07,1.1,1.72,1.45,[BHF2019] RXCJ2248    490,342.2045,-44.5453,G,1.38,E,2021MNRAS.501.1028Y,0.15373369575526147,SIMBAD
581,2036,342.1730682,-44.545254,1.028,abells1063,0.348,2.01,2.18,21,2.01,2.44,2.17,2.17,2.18,2.39,2.39,2.05,2.37,2.45,1.63,2.61,2.49,2.35,6.27,2.13,2.13,2.0,1.38,1.71,2.39,[BHF2019] RXCJ2248    438,342.1730749999999,-44.545251,LeG,6.29,E,2022MNRAS.514.1148Y,0.020519047466603362,SIMBAD
590,2057,342.1894157,-44.546056,2.0704,abells1063,0.348,1.55,1.74,21,1.55,1.88,1.75,1.75,1.74,1.63,1.63,1.52,2.06,2.06,1.86,2.03,2.3,1.89,1.49,1.2,1.2,1.19,1.31,1.63,1.79,[BHF2019] RXCJ2248    464,342.189375,-44.546041666666675,G,1.285,D,2019ApJ...877....7W,0.11647617217634021,SIMBAD
593,2071,342.1663818,-44.5458299,1.4196,abells1063,0.348,2.91,2.64,21,2.91,2.92,2.45,2.45,2.48,3.4,3.4,2.83,2.69,2.64,1.46,3.14,2.86,2.75,1.53,2.4,2.4,2.09,1.41,2.12,3.51,[BHF2019] RXCJ2248    484,342.1664,-44.54580000000001,G,1.441,E,2021MNRAS.501.1028Y,0.11733214845002894,SIMBAD
594,2077,342.195466,-44.5320932,1.8895,abells1063,0.348,3.51,7.37,21,3.51,7.83,7.21,7.21,7.16,9.8,9.8,9.3,7.56,7.77,6.63,8.82,7.37,6.83,5.17,8.39,8.39,73.57,3.66,6.96,5.34,[ZFM2015] RXJ2248 4.1,342.19555,-44.532126,LeG,1.91,E,2014MNRAS.438.1417M,0.24578954441766737,SIMBAD
595,2078,342.1786318,-44.5465499,0.4864,abells1063,0.348,1.2,1.33,21,1.2,1.28,2.31,2.31,2.24,1.37,1.37,1.29,0.41,5.91,1.22,1.31,1.33,6.19,1.89,1.13,1.13,1.13,1.26,1.4,23.37,[KCG2015] 30,342.17872083333333,-44.54657222222222,G,0.353,D,2015A&A...574A..11K,0.24215131758349423,SIMBAD
599,2112,342.1826011,-44.5467157,2.8557,abells1063,0.348,1.65,2.1,21,1.65,2.29,2.1,2.1,2.1,2.28,2.28,1.86,2.49,2.5,1.83,2.51,2.9,2.27,5.21,1.47,1.47,1.33,1.46,2.08,2.07,[BHF2019] RXCJ2248    408,342.1826,-44.5467,G,2.98,E,2021MNRAS.501.1028Y,0.05659041667536742,SIMBAD
605,2127,342.1954987,-44.5470285,1.8353,abells1063,0.348,1.37,1.53,21,1.37,1.64,1.53,1.53,1.53,1.25,1.25,1.19,1.79,1.78,1.7,1.68,1.9,1.61,1.24,1.11,1.11,1.12,1.21,1.55,1.62,[BHF2019] RXCJ2248    381,342.1955084,-44.5470291,LeG,1.3528,C,2018A&A...613A..72G,0.024980168763154533,SIMBAD
608,2151,342.1714499,-44.5468587,5.2624,abells1063,0.348,2.75,3.14,21,2.75,3.66,3.11,3.11,3.14,3.64,3.64,3.03,3.66,3.64,1.99,4.17,3.85,3.5,4.75,2.43,2.43,2.26,1.55,2.46,3.62,[LBL2018] AS1063 cluster  2,342.1714468,-44.5468577,LeG,5.068,E,2018ApJ...862..156L,0.00873027880822513,SIMBAD
621,2199,342.1946289,-44.5481945,0.6599,abells1063,0.348,1.26,1.24,20,,1.26,1.24,1.24,1.23,1.1,1.1,1.07,1.34,1.35,1.34,1.31,1.42,1.28,1.1,1.04,1.04,1.04,1.08,1.28,1.26,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.7578358216487997,SIMBAD
625,2209,342.1961257,-44.5489481,1.7327,abells1063,0.348,1.48,1.4,20,,1.48,1.4,1.4,1.4,1.15,1.15,1.11,1.65,1.66,1.68,1.55,1.83,1.5,1.18,1.08,1.08,1.09,1.14,1.58,1.47,[BHF2019] RXCJ2248    169,342.1961,-44.5489,G,1.6,E,2021MNRAS.501.1028Y,0.18528828467125394,SIMBAD
627,2218,342.170778,-44.5491021,2.7608,abells1063,0.348,2.47,2.375,20,,2.47,2.23,2.23,2.24,2.49,2.49,2.31,2.57,2.55,1.88,2.73,2.73,2.44,3.18,1.57,1.57,1.5,1.28,2.04,2.52,NAME CMC2020 GLASS 01845-99-99,342.1707948,-44.5491248,LeG,2.3015,C,2018A&A...613A..72G,0.0923897047832448,SIMBAD
631,2239,342.1706539,-44.5494565,1.7985,abells1063,0.348,2.18,2.115,20,,2.18,1.98,1.98,1.99,2.18,2.18,2.07,2.26,2.24,1.76,2.37,2.4,2.16,2.55,1.44,1.44,1.39,1.22,1.85,2.23,[BHF2019] RXCJ2248    230,342.1706,-44.54950000000001,G,2.08,E,2021MNRAS.501.1028Y,0.20891473342067815,SIMBAD
636,2264,342.1661986,-44.5502609,0.5425,abells1063,0.348,1.32,1.295,20,,1.32,1.26,1.26,1.27,1.37,1.37,1.36,1.32,1.32,1.18,1.36,1.37,1.32,1.13,1.09,1.09,1.07,1.03,1.26,1.37,[TSB2015] GLASS RXJ2248-01890,342.16619272,-44.55026509,G,0.47,D,2016ApJ...833..178V,0.021332749686246412,SIMBAD
637,2265,342.1657499,-44.5503225,1.2214,abells1063,0.348,1.9,1.825,20,,1.9,1.72,1.72,1.73,2.09,2.09,2.04,1.92,1.91,1.42,2.02,2.02,1.88,1.38,1.26,1.26,1.21,1.13,1.77,2.06,NAME CMC2020 GLASS 01891-99-99,342.16575,-44.550324999999994,LeG,1.159,C,2020MNRAS.492..821C,0.00900365576622188,SIMBAD
686,2427,342.1874443,-44.5389033,0.5591,abells1063,0.348,1.38,1.67,21,1.38,1.74,1.66,1.66,1.66,1.67,1.67,1.76,1.75,1.75,1.74,1.77,1.7,1.67,1.5,1.73,1.73,1.54,1.47,1.67,1.59,[MSG2014] 20a,342.18741666666665,-44.5387,LeG,3.118,C,2018ApJ...855....4K,0.7353068240599127,SIMBAD
692,2438,342.1855089,-44.5389639,3.8348,abells1063,0.348,3.05,7.15,21,3.05,8.83,7.15,7.15,7.0,7.73,7.73,10.11,8.1,8.72,6.02,8.74,7.39,6.69,4.59,6.94,6.94,4.59,3.77,9.48,6.3,[MSG2014] 21a,342.1858333333333,-44.53886111111111,LeG,3.606,C,2018ApJ...855....4K,0.9110281235841664,SIMBAD
726,2581,342.159279,-44.5439647,6.5269,abells1063,0.348,4.86,4.29,21,4.86,5.45,3.8,3.8,3.86,11.64,11.64,5.55,4.34,4.43,1.38,5.42,4.61,4.29,3.46,2.4,2.4,1.71,2.27,3.93,19.79,[IKO2018] HFF5C-3822-2382,342.159275,-44.543958,G,6.281,E,2018ApJ...862..156L,0.026212683697509186,SIMBAD
736,2633,342.1801998,-44.5439353,0.466,abells1063,0.348,1.2,1.27,21,1.2,1.31,1.27,1.27,1.27,1.33,1.33,1.26,1.31,1.31,1.21,1.33,1.33,1.29,1.57,1.21,1.21,1.19,1.12,1.21,1.27,[GVR2012] 667,342.1799375,-44.544002777777784,G,0.714,D,2015A&A...574A..11K,0.7154992390289212,SIMBAD
758,2749,342.1809628,-44.5463233,0.6881,abells1063,0.348,1.35,1.5,21,1.35,1.56,1.48,1.48,1.49,1.63,1.63,1.45,1.6,1.6,1.5,1.62,1.69,1.55,2.69,1.24,1.24,1.19,1.19,1.42,1.54,[KCG2015] 35,342.18080833333335,-44.54646666666666,G,0.153,D,2015A&A...574A..11K,0.6507229354374574,SIMBAD
762,2773,342.1944343,-44.548341,0.7926,abells1063,0.348,1.32,1.29,20,,1.32,1.29,1.29,1.29,1.12,1.12,1.09,1.42,1.44,1.42,1.38,1.53,1.34,1.13,1.05,1.05,1.05,1.1,1.34,1.31,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.4818309005282416,SIMBAD
763,2774,342.1943335,-44.5484116,0.6274,abells1063,0.348,1.24,1.21,20,,1.24,1.21,1.21,1.21,1.09,1.09,1.07,1.31,1.32,1.31,1.28,1.39,1.26,1.09,1.03,1.03,1.04,1.07,1.26,1.23,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.684271299822579,SIMBAD
764,2775,342.19443,-44.5485038,0.5272,abells1063,0.348,1.17,1.16,20,,1.17,1.16,1.16,1.16,1.06,1.06,1.04,1.22,1.23,1.23,1.2,1.28,1.18,1.06,1.02,1.02,1.02,1.05,1.19,1.17,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.5650714685730962,SIMBAD
765,2776,342.1945955,-44.548398,5.6441,abells1063,0.348,1.66,1.56,20,,1.66,1.56,1.56,1.55,1.26,1.26,1.2,1.88,1.91,1.87,1.79,2.17,1.7,1.27,1.13,1.13,1.14,1.19,1.69,1.64,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.0244918033734734,SIMBAD
767,2787,342.1772967,-44.5482834,0.3543,abells1063,0.348,1.01,1.01,20,,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.01,1.02,1.01,1.03,1.0,1.0,1.0,1.0,1.01,1.01,[BHF2019] RXCJ2248    247,342.1770516,-44.5483266,LeG,5.541,E,2018ApJ...862..156L,0.6477681858423386,SIMBAD
