IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
1413,0.0,0.0,0.0068,0.0139,,0.2222,134.956,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,13386.3,9,16376,,,,,27.205,26.202,25.843,25.673,25.635,25.533,25.952,,,24.255,,,26.983,26.92,26.197,26.052,26.129,26.102,26.155,26.164,26.153,26.375,27.186,27.631,28.083,28.639,30.902,8.72009,3.85961,-5.13015,,,,AS1063clu,342.1924649,-44.5355242,,,,,,,,,,False
1414,0.0,0.0,0.0343,6.5266,5.4698,7.4162,66.0836,15.0,0,0.0,,99.0,6.98,65.5872,16.0,0.0,5.72699e-15,,1000000000.0,1007.72,10,16380,,,,26.04,24.224,23.77,23.658,23.573,23.298,23.319,,23.649,24.063,23.355,,,,,,,29.869,27.109,26.923,26.835,26.774,26.254,23.986,23.42,23.045,22.546,23.075,8.98389,10.59183,0.93052,,,,AS1063clu,342.1816736,-44.5393678,[KCG2015] 52b,342.1816375,-44.539363888888886,LeG,4.113,C,2018ApJ...855....4K,0.09369539312154407,SIMBAD,False
1415,0.0,0.0,0.0004,,,,1000000000.0,4.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,2.04961e-16,10,16380,,,,24.295,23.391,22.903,22.762,22.709,22.654,22.615,22.505,21.191,,,,,26.894,25.573,24.173,23.414,23.001,22.732,22.672,22.631,22.574,22.821,23.607,24.058,24.402,24.759,inf,9.53,,,,,,AS1063clu,342.1760237,-44.536162,[BHF2019] RXCJ2248   1249,342.17597,-44.53615,LeG,1.035,D,2015A&A...574A..11K,0.14441292166578085,SIMBAD,False
1416,0.0,0.0,0.0423,0.1056,0.0213,0.3116,42.7599,1.0,0,0.0,508800000.0,99.0,1.19,48.4056,33.0,0.0,3.08216e-11,,1000000000.0,566787.0,10,16380,,,,28.036,27.332,27.379,27.339,27.511,27.192,27.107,29.266,,28.871,24.44,,,28.171,28.138,27.611,27.332,27.297,27.285,27.319,27.349,27.362,27.453,28.242,28.629,29.135,29.655,31.889,8.84046,5.09405,-4.2712,,,,AS1063clu,342.2038217,-44.5354842,,,,,,,,,,False
1418,0.85019,0.7313,0.9609,0.8348,0.755,0.9222,2.24829,26.0,0,0.15,,99.0,-99.9,1000000000.0,,,,,1000000000.0,58.4018,10,16380,,,,25.745,25.205,24.222,23.774,36.665,23.417,23.411,23.389,23.19,23.818,24.965,,,26.54,26.094,25.779,25.228,24.187,23.824,23.671,23.609,23.543,23.343,23.262,23.666,23.965,24.462,23.068,9.03845,9.21198,-0.63146,,,,AS1063clu,342.2114092,-44.5355405,,,,,,,,,,False
1419,0.87943,0.7448,1.0038,0.8613,0.707,1.0849,21.5868,1.0,0,0.0,570900000.0,99.0,1.28,23.5504,33.0,0.2,7.69318e-06,,1000000000.0,405672000.0,10,16380,,,,25.803,25.764,24.975,24.683,24.578,24.605,24.553,25.261,23.804,25.422,23.597,22.819,,25.735,25.742,25.805,25.686,24.938,24.858,24.77,24.775,24.837,24.849,24.936,25.331,25.67,26.188,28.226,8.7636,8.36913,-0.71038,,,,AS1063clu,342.2080945,-44.5356316,,,,,,,,,,False
1421,0.0,0.0,0.0027,,,,1000000000.0,6.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,8.07325e-17,10,16380,,,,26.061,24.639,23.881,23.55,23.307,23.252,23.185,22.889,,24.662,24.369,,,28.06,26.611,25.173,24.314,23.832,23.516,23.444,23.393,23.325,23.555,24.355,24.828,25.2,25.611,inf,9.57826,,,,,,AS1063clu,342.2078933,-44.5358781,,,,,,,,,,False
1422,0.0,0.0,0.9238,1.2454,0.2739,5.1683,13.0313,33.0,3,0.15,,99.0,5.47,12.8647,33.0,0.0,0.00160863,,1000000000.0,1.86491,10,16380,,,,30.321,30.809,29.988,28.339,28.293,29.159,28.816,,,25.975,,,,29.893,29.727,29.759,29.762,29.558,29.216,29.263,29.017,28.858,29.17,29.139,29.351,29.767,29.868,29.398,8.98884,7.07276,-2.90503,,,,AS1063clu,342.1854358,-44.5209591,,,,,,,,,,False
1423,0.0,0.0,0.0424,0.0355,,0.0838,19.8144,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00400952,10,16380,,,,27.376,26.344,25.411,25.11,24.936,24.902,24.845,24.67,26.644,26.85,,24.487,,30.689,28.882,27.333,26.159,25.559,25.139,25.037,24.992,24.925,25.05,25.848,26.291,26.748,27.242,32.797,9.56044,6.07556,-7.56108,,,,AS1063clu,342.1603548,-44.5356433,,,,,,,,,,False
1424,0.0,0.0,0.0182,0.0344,,0.1279,199.56,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,95620.8,10,16380,,,,29.343,26.805,25.839,25.696,25.472,25.325,25.319,26.222,,,,,,27.25,27.186,26.486,26.308,26.395,26.36,26.413,26.427,26.42,26.611,27.416,27.853,28.316,28.866,31.121,8.73319,4.40828,-4.59257,,,,AS1063clu,342.1737193,-44.5357241,,,,,,,,,,False
