main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[BHF2019] RXCJ2248    360,342.1969,-44.5454,G,1.15,E,2021MNRAS.501.1028Y
[BHF2019] RXCJ2248   2983,342.2109,-44.51330000000001,G,1.56,E,2021MNRAS.501.1028Y
[GVR2012] 403,342.223325,-44.5213,GiC,0.3475,D,2012AJ....144...79G
[WEC2019] 48,342.2101333333333,-44.536502777777784,G,1.44,E,2019ApJ...877....7W
CXOU J224845.1-443144,342.2375,-44.50277777777778,ClG,0.3718,E,2016ApJS..224....1R
[GVR2012] 528,342.211458,-44.525593,GiC,0.3623,D,2012AJ....144...79G
[KCC2017] NE-46,342.17794,-44.52407,G,0.3464,D,2017A&A...599A..28K
[KCG2015] 61,342.17462,-44.53699,G,0.339,D,2017A&A...599A..28K
[MSG2014] 2a,342.1956,-44.528406,LeG,1.229,D,2016A&A...587A..80C
[RJL2014] AS1063 4.3,342.17987,-44.521546,LeG,1.26,E,2016A&A...587A..80C
[MSG2014] 1a,342.19591666666673,-44.52896388888889,LeG,1.228,C,2018ApJ...855....4K
[ZFM2015] RXJ2248 4.1,342.19555,-44.532126,LeG,1.91,E,2014MNRAS.438.1417M
[ZFM2015] RXJ2248 4.2,342.19393,-44.528695,LeG,1.75,E,2014MNRAS.438.1417M
[MSG2014] 13a,342.19368,-44.530122,LeG,1.258,C,2018ApJ...855....4K
[ZFM2015] RXJ2248 8.3,342.16792,-44.526221,LeG,2.65,E,2015ApJ...801...44Z
[ZFM2015] RXJ2248 8.2,342.17463,-44.538391,LeG,0.18,E,2015ApJ...801...44Z
[RJL2014] AS1063 9.1,342.18028,-44.540829,LeG,2.92,E,2014MNRAS.438.1417M
[KCG2015] 49a,342.17506,-44.541027,LeG,3.117,C,2018ApJ...855....4K
[RJL2014] AS1063 8.2,342.19254166666667,-44.53442777777777,LeG,3.06,C,2018ApJ...855....4K
[KIS2018] AS1063 19.1,342.1800416666667,-44.53843055555556,LeG,1.035,C,2018ApJ...855....4K
[RJL2014] AS1063 14.3,342.1719166666667,-44.53025,LeG,1.035,C,2018ApJ...855....4K
[JSB2014] AS1063 7.1,342.16939,-44.527251,LeG,1.837,C,2018ApJ...855....4K
[KCC2017] NE-12,342.19189,-44.52967,G,0.3366,D,2017A&A...599A..28K
[KCG2015] 10,342.174876,-44.53412,GiC,0.341,D,2015A&A...574A..11K
[GVR2012] 1546,342.175094,-44.510524,GiC,0.3436,D,2012AJ....144...79G
[KCC2017] NE-63,342.188097,-44.525948,GiC,0.3494,D,2017A&A...599A..28K
[GVR2012] 1532,342.146273,-44.530946,GiC,0.3521,C,2014ApJ...792...45R
[KCC2017] NE-30,342.18902,-44.51923,G,0.3427,D,2017A&A...599A..28K
[KIS2018] AS1063 2.3,342.179742,-44.521566,LeI,1.259,C,2018ApJ...855....4K
[KCC2017] NE-17,342.188014,-44.532767,GiC,0.3387,D,2017A&A...599A..28K
[KCC2017] NE-72,342.19462,-44.53228,G,0.352,D,2017A&A...599A..28K
[MSG2014] 2c,342.18642,-44.52116,LeG,1.229,D,2016A&A...587A..80C
[KCC2017] NE-29,342.18844,-44.51775,G,0.3427,D,2017A&A...599A..28K
[GVR2012] 1472,342.1858708333333,-44.49754166666667,G,0.355,D,2019ApJ...877....7W
[GVR2012] 844,342.1557875,-44.545827777777774,G,0.3312,C,2014ApJ...792...45R
[GVR2012] 746,342.17701046972,-44.53696762303,G,0.337,D,2019ApJ...877....7W
[GVR2012] 104,342.17559166666666,-44.587825,G,0.3387,D,2012AJ....144...79G
[DCL2021] RX J2248.7-4431 d,342.1754458333333,-44.53544444444445,G,0.3375,D,2016ApJ...833..178V
[KCC2017] NE-24,342.18295,-44.52495,G,0.3406,D,2017A&A...599A..28K
[GVR2012] 601,342.15128333333337,-44.56450833333333,G,0.1976,D,2012AJ....144...79G
[KCG2015] 52b,342.1816375,-44.539363888888886,LeG,4.113,C,2018ApJ...855....4K
[KIS2018] AS1063 17.2,342.179086,-44.536691,LeI,3.606,C,2018ApJ...855....4K
[KIS2018] AS1063 70.1,342.17632699999996,-44.520671,LeI,3.713,C,2018ApJ...855....4K
[KIS2018] AS1063 59.3,342.169528,-44.528625,LeI,1.875,C,2018ApJ...855....4K
[KCG2015] 50,342.1622458333333,-44.538291666666666,G,3.117,D,2015A&A...574A..11K
[KCG2015] 36,342.1716458333333,-44.528955555555555,G,0.16,D,2015A&A...574A..11K
[KCG2015] 71,342.18116,-44.53788,G,0.3388,D,2017A&A...599A..28K
[KCG2015] 12,342.18205,-44.54034,G,0.3435,D,2017A&A...599A..28K
[GVR2012] 470,342.149853,-44.571448,GiC,0.3355,D,2012AJ....144...79G
[KCG2015] 15,342.1868458333333,-44.53389166666667,G,0.346,D,2015A&A...574A..11K
[KCC2017] NE-9,342.19795,-44.52782,G,0.332,D,2017A&A...599A..28K
[KCC2017] NE-23,342.19547,-44.53244,G,0.3401,D,2017A&A...599A..28K
[GVR2012] 1796,342.1452708333333,-44.49380277777777,G,0.4559,D,2012AJ....144...79G
[GVR2012] 264,342.1650583333334,-44.58408888888889,G,0.2547,D,2012AJ....144...79G
[GVR2012] 1790,342.15018333333336,-44.490125,G,0.0562,D,2012AJ....144...79G
[RBB2014] J224836.53-443117.7,342.15212,-44.521664,GiC,0.362,C,2014ApJ...792...45R
[KIS2018] AS1063 59.2,342.17346,-44.53659699999999,LeI,1.875,C,2018ApJ...855....4K
[KCC2017] NE-45,342.18453,-44.52931,G,0.3463,D,2017A&A...599A..28K
[KCC2017] NE-25,342.19517,-44.52925,G,0.341,D,2017A&A...599A..28K
[KCG2015] 53c,342.1840708333333,-44.53531666666667,G,6.107,D,2015A&A...574A..11K
[KCC2017] NE-76,342.19137,-44.53433,G,0.3532,D,2017A&A...599A..28K
[KCC2017] NE-35,342.18539,-44.518629,GiC,0.344,D,2017A&A...599A..28K
[WEC2019] 22,342.1135208333333,-44.503886111111115,G,0.453,D,2019ApJ...877....7W
[WEC2019] 43,342.1373833333334,-44.55496944444443,G,1.241,D,2019ApJ...877....7W
[WEC2019] 47,342.15715416666666,-44.54509722222222,G,1.44,D,2019ApJ...877....7W
[GVR2012] 523,342.176921,-44.553646,GiC,0.3329,D,2012AJ....144...79G
[KCG2015] 57,342.1832416666667,-44.54385555555556,G,0.3532,D,2017A&A...599A..28K
[KCC2017] NE-52,342.18368,-44.53056,G,0.3478,D,2017A&A...599A..28K
[DCL2021] RX J2248.7-4431 b,342.1571599999999,-44.54514,G,0.3312,D,2021A&A...648A..63D
[KCC2017] NE-58,342.19528,-44.53483,G,0.3485,D,2017A&A...599A..28K
