IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1933,0.22284,0.2089,0.245,0.2299,0.0289,0.2778,1048.68,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.167598,9,16376,,,,,28.482,27.636,27.315,26.994,27.594,27.159,27.753,,,,,,27.279,27.468,27.52,27.434,27.391,27.736,27.757,27.793,27.828,27.951,28.773,28.732,29.256,28.425,27.788,8.71619,3.31924,-5.66987,,,,AS1063clu,342.1907034,-44.5438413,13.331038425669645,-49.46831999999404,51.23310715863806,pagul21_photoz_f160w_radius,4.699366988621268,False
2526,0.0,0.0,0.1065,0.35,0.0544,1.3483,9.69813,30.0,0,0.0,,99.0,1.2,8.06748,33.0,0.05,0.017708,,1000000000.0,0.303521,10,16380,,,,27.999,28.533,27.769,27.464,27.314,27.114,27.19,,,,,,,27.963,28.085,28.14,27.626,27.559,27.586,27.561,27.578,27.619,27.65,28.356,28.445,28.951,28.682,27.517,8.92306,6.11775,-3.66116,,,,AS1063clu,342.184149,-44.5411701,-3.4900142757075647,-39.85200000001328,40.00452603950834,pagul21_photoz_f160w_radius,3.9161544513169444,False
1455,0.0,0.0,0.2216,0.4528,0.1037,1.1548,1.52284,1.0,0,0.0,1139000000.0,99.0,0.58,1.45172,27.0,0.05,0.483909,,1000000000.0,16609600.0,10,16380,,,,29.03,28.305,27.516,27.429,27.247,27.398,27.208,27.574,27.806,,,,,29.64,29.602,29.233,28.112,27.575,27.417,27.346,27.312,27.299,27.28,27.708,28.057,28.365,28.972,31.0,9.07373,6.98246,-3.1929,,,,AS1063clu,342.1628156,-44.5360213,-58.23953302618369,-21.316320000011046,62.01797082661454,pagul21_photoz_f160w_radius,4.5265294442204835,False
1564,0.0,0.0,0.0643,0.3459,0.0422,1.4338,27.5542,33.0,1,0.2,,99.0,1.21,25.1654,33.0,0.1,3.43082e-06,,1000000000.0,0.777994,10,16380,,,,27.951,27.965,27.888,27.779,27.452,27.41,27.309,26.896,,,,22.817,,28.275,28.241,28.225,27.766,27.581,27.542,27.445,27.406,27.389,27.322,27.978,27.798,28.48,28.018,26.799,8.88945,5.85106,-3.66202,,,,AS1063clu,342.1694579,-44.5274192,-41.192895903325635,9.651240000005146,42.30840467850237,pagul21_photoz_f160w_radius,4.074603905950079,False
2206,0.0,0.0,0.2823,0.3215,0.0747,1.0297,7.27283,31.0,0,0.0,,99.0,0.54,7.17043,33.0,0.0,0.0277307,,1000000000.0,0.324796,9,16372,,,,27.667,,27.803,27.556,27.129,27.898,27.321,27.935,,,,23.673,,27.517,27.658,27.787,27.393,27.413,27.491,27.482,27.507,27.55,27.594,28.362,28.415,28.922,28.59,27.467,9.05655,6.43213,-4.03761,,,,AS1063clu,342.1955803,-44.5336454,25.84699593802674,-12.763079999996307,28.826435959144803,pagul21_photoz_f160w_radius,3.54224444863816,False
2787,0.0,0.0,0.143,0.3543,0.0835,1.2367,21.0688,3.0,0,0.0,,99.0,0.53,21.3394,27.0,0.0,2.32389e-05,,1000000000.0,0.058425,9,16376,,,,,29.385,28.395,27.704,27.676,27.322,27.335,28.717,,,,,,33.071,32.31,30.652,29.067,28.336,28.047,27.868,27.787,27.744,27.618,28.357,28.59,28.972,29.426,29.985,9.14987,6.42185,-4.36015,,,,AS1063clu,342.1772967,-44.5482834,-21.075590289533753,-65.45988000001444,68.76900752278296,pagul21_photoz_f160w_radius,4.880105500759432,False
2552,0.23562,0.0,2.4638,1.0644,0.3577,2.4918,0.711169,27.0,1,0.1,,99.0,1.15,0.634472,27.0,0.1,0.728159,,1000000000.0,3.2794,10,16380,,,,29.057,29.08,28.394,27.789,27.628,27.489,27.354,27.02,28.305,27.868,,23.101,,29.27,29.152,29.071,28.946,28.181,27.672,27.52,27.451,27.408,27.248,27.2,27.454,27.855,28.199,27.422,9.0702,7.79302,-2.24741,,,,AS1063clu,342.1698936,-44.5416472,-40.0747260231859,-41.56956000000491,57.74090391072365,pagul21_photoz_f160w_radius,4.313476547024122,False
2765,0.10313,0.0,0.1858,0.3108,0.0719,0.8537,76.1483,2.0,0,0.0,508800000.0,99.0,0.71,75.0599,30.0,0.0,5.02288e-17,,1000000000.0,4629680.0,10,16380,,,,28.041,27.859,27.209,27.293,27.296,27.506,27.371,27.32,24.184,,,,,28.23,28.317,28.249,27.565,27.46,27.439,27.361,27.348,27.358,27.282,27.956,28.265,28.698,29.258,31.386,8.85935,6.48377,-2.93459,,,,AS1063clu,342.2051493,-44.5474367,50.40464473864813,-62.41176000000053,80.22378698071411,pagul21_photoz_f160w_radius,5.265243482690469,False
2601,0.0,0.0,0.3344,0.2594,0.0723,0.669,12.4167,3.0,0,0.0,,99.0,0.53,13.7603,27.0,0.0,0.00102798,,1000000000.0,0.0462246,9,16376,,,,,28.491,27.968,27.613,27.54,27.356,27.373,26.615,,,,,,32.353,31.487,29.918,28.427,27.832,27.556,27.391,27.34,27.311,27.209,28.02,28.257,28.69,29.091,29.795,9.23722,6.47438,-4.65837,,,,AS1063clu,342.1683311,-44.5427324,-44.084688009998764,-45.47627999999975,63.336812041476364,pagul21_photoz_f160w_radius,4.704452818049211,False
592,0.0,0.0,0.1391,0.235,0.0574,0.6005,14.8966,3.0,0,0.0,,99.0,0.41,15.6149,1.0,0.0,0.000406695,,1000000000.0,0.0338156,10,16380,,,,29.448,28.547,27.701,27.709,27.598,27.517,27.398,28.093,,,,,,32.449,31.515,29.994,28.538,27.973,27.697,27.54,27.493,27.467,27.379,28.192,28.438,28.879,29.27,30.055,9.24202,6.27547,-4.84824,,,,AS1063clu,342.1808981,-44.5159833,-11.833044946230961,50.820479999987356,52.17990168760992,pagul21_photoz_f160w_radius,4.371142306253663,False
