IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1046,4.9475,4.7028,5.4344,5.1294,4.6476,5.87,9.50918,17.0,0,0.0,,99.0,6.6,14.9562,28.0,0.4,0.00056532,,1000000000.0,206.054,10,4092,,,,28.768,29.309,27.579,27.681,27.667,27.602,27.819,27.031,24.785,24.733,,,,,,,31.268,28.385,27.913,27.821,27.792,27.706,26.768,24.994,24.658,24.254,24.008,24.909,9.041,9.66412,-0.19097,,,,AS1063clu,342.3112288,-44.5379285
1047,0.0,0.0,0.1058,0.2339,0.0451,1.069,53.4484,33.0,1,0.05,,99.0,1.2,54.0607,33.0,0.0,1.82336e-12,,1000000000.0,0.120963,10,4092,,,,28.271,28.298,28.352,28.741,28.206,27.889,27.852,,,28.079,,,,28.056,28.193,28.257,28.08,28.088,28.208,28.204,28.227,28.248,28.341,29.129,29.086,29.61,28.779,28.142,8.83644,5.1776,-4.23779,,,,AS1063clu,342.336591,-44.5296193
1048,0.23493,0.06,0.4102,0.207,0.0754,0.3821,32.9109,2.0,0,0.0,718700000.0,99.0,3.16,38.4287,33.0,0.1,4.52189e-09,,1000000000.0,3779480.0,10,4092,,,,27.896,27.107,27.034,27.173,27.208,27.096,26.877,26.005,24.742,,,,,28.296,28.287,27.877,27.157,26.992,26.962,26.898,26.897,26.891,26.811,27.527,27.852,28.316,28.85,31.009,8.84315,6.43616,-2.82002,,,,AS1063clu,342.3430956,-44.5379623
1049,0.0,0.0,0.1219,0.4031,0.072,1.4963,13.0085,33.0,1,0.1,,99.0,1.3,12.2105,33.0,0.05,0.00223115,,1000000000.0,0.57122,10,4092,,,,27.902,28.319,28.09,27.796,27.323,27.701,27.624,28.699,,28.435,,,,28.015,28.074,28.18,27.918,27.867,27.826,27.878,27.861,27.866,27.871,28.55,28.434,29.072,28.727,27.451,8.86643,5.84603,-3.72624,,,,AS1063clu,342.3144882,-44.5295637
1050,0.0,0.0,0.0498,0.1059,0.0232,0.6393,15.5838,26.0,0,0.0,,99.0,1.2,16.5711,33.0,0.05,0.00025214,,1000000000.0,0.0294952,10,4092,,,,27.239,27.444,27.322,26.879,26.778,26.728,26.822,27.177,,,,,,28.406,28.311,27.686,27.22,27.042,26.93,26.916,26.911,26.894,26.938,27.736,28.099,28.347,26.971,28.42,8.89319,5.26422,-4.24553,,,,AS1063clu,342.3393566,-44.5379921
1051,1.7648,0.2359,2.0298,1.3543,0.3058,3.1935,70.4168,2.0,0,0.0,508800000.0,99.0,1.11,69.4926,33.0,0.2,8.1259e-16,,1000000000.0,53778600.0,10,4092,,,,29.056,28.676,28.429,28.023,27.954,28.002,28.075,27.858,21.683,26.356,,,,29.034,28.831,28.811,28.852,28.705,28.082,28.055,28.033,28.006,27.948,27.89,27.945,28.366,28.786,30.73,8.80856,7.46218,-1.61301,,,,AS1063clu,342.3099173,-44.5380732
1052,0.0,0.0,0.1833,0.3012,0.0621,0.8604,25.6016,1.0,0,0.0,508800000.0,99.0,0.72,24.8382,33.0,0.0,4.0407e-06,,1000000000.0,7910740.0,9,4088,,,,,26.794,26.878,24.779,24.322,24.44,24.024,27.851,25.768,,,,,27.484,27.57,27.488,26.742,26.642,26.702,26.666,26.687,26.725,26.709,27.407,27.733,28.193,28.762,30.922,9.02025,6.86922,-3.41032,,,,AS1063clu,342.3487561,-44.5283266
1053,2.5905,0.9201,2.7517,1.0783,0.727,1.9511,15.7784,31.0,3,0.15,,99.0,1.86,15.5082,33.0,0.25,0.000428976,,1000000000.0,27.4819,10,4092,,,,26.916,26.668,26.097,25.779,25.759,25.596,25.732,26.054,24.767,23.751,,,,26.896,26.78,26.848,26.695,26.197,25.863,25.647,25.643,25.798,25.646,25.622,25.885,26.274,26.497,25.775,8.78435,8.18393,-0.93604,,,,AS1063clu,342.3500828,-44.5380986
1055,0.17082,0.0,0.415,0.1596,0.0503,0.3497,17.6453,27.0,0,0.0,,99.0,0.52,19.7274,30.0,0.0,5.20292e-05,,1000000000.0,0.0671185,10,4092,,,,27.947,27.222,27.023,27.054,27.067,27.057,27.109,27.573,27.467,,,,,28.258,28.241,27.737,27.241,27.083,27.081,27.091,27.118,27.134,27.195,27.852,28.327,28.553,27.611,27.624,8.82397,6.10199,-3.13124,,,,AS1063clu,342.3282146,-44.5381608
1056,0.3028,0.2983,0.306,0.3038,0.2942,0.3147,609.608,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,6.06611,9,3964,,,,25.472,23.927,23.332,36.954,22.43,,22.288,22.531,,22.697,,,,23.945,24.124,24.348,24.084,24.129,24.433,24.446,24.476,24.513,24.595,25.422,25.272,25.935,25.353,24.265,8.70324,4.58419,-4.34212,,,,AS1063clu,342.2965046,-44.5316719
