catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
7299,2414,0.0,0.0,0.1591,0.1314,0.0295,0.4246,57.7455,1.0,0,0.0,508800000.0,99.0,0.3,58.2673,31.0,0.0,2.22543e-13,,1000000000.0,423910.0,10,16380,,,,29.532,27.924,27.657,27.804,27.802,27.918,27.898,,,,,24.209,,28.849,28.833,28.311,27.996,27.903,27.973,27.999,28.031,28.049,28.118,28.901,29.278,29.791,30.309,32.537,8.90845,5.32296,-4.38841,,,,AS1063clu,342.1956897,-44.5374312,[KIS2018] AS1063 70.3,342.195692,-44.53743000000001,LeI,3.713,C,2018ApJ...855....4K,0.007314032578671366,SIMBAD
7311,2427,0.082768,0.0,0.8012,0.5591,0.0921,2.3892,4.30822,31.0,0,0.0,,99.0,0.55,4.30626,31.0,0.0,0.11612,,1000000000.0,1.50312,10,16380,,,,27.375,27.09,26.855,27.178,27.079,27.086,26.988,27.969,23.991,27.851,,,,27.029,27.131,27.293,27.15,26.978,27.013,27.088,27.079,27.077,27.19,27.655,28.021,28.151,28.533,27.269,8.79167,6.04847,-3.16388,,,,AS1063clu,342.1874443,-44.5389033,[MSG2014] 20a,342.18741666666665,-44.5387,LeG,3.118,C,2018ApJ...855....4K,0.7353068240599127,SIMBAD
7321,2437,0.0,0.0,0.0519,0.1708,0.0368,0.431,19.2553,27.0,0,0.0,,99.0,0.3,19.1107,28.0,0.0,7.0821e-05,,1000000000.0,0.0511555,10,16380,,,,29.717,27.594,27.18,27.184,27.334,27.405,27.463,,,,23.055,,,28.684,28.675,28.207,27.679,27.529,27.513,27.519,27.547,27.564,27.614,28.284,28.743,28.985,28.078,27.992,8.94437,5.85669,-3.76514,,,,AS1063clu,342.1859287,-44.5390945,[MSG2014] 21a,342.1858333333333,-44.53886111111111,LeG,3.606,C,2018ApJ...855....4K,0.875110691914169,SIMBAD
7322,2438,3.7155,3.6128,4.0951,3.8348,3.6685,4.0523,3.9069,32.0,2,0.1,,99.0,-99.9,1000000000.0,,,,,1000000000.0,177.726,10,16380,,,,29.843,26.968,26.617,26.664,26.618,26.666,26.673,25.793,27.053,25.595,23.323,,,,,29.435,26.965,26.578,26.639,26.648,26.653,26.672,26.2,26.115,26.086,26.087,26.11,27.318,8.72474,9.12775,0.13795,,,,AS1063clu,342.1855089,-44.5389639,[MSG2014] 21a,342.1858333333333,-44.53886111111111,LeG,3.606,C,2018ApJ...855....4K,0.9110281235841664,SIMBAD
7419,2581,6.6469,5.9635,7.2274,6.5269,5.6163,7.3656,15.8565,22.0,0,0.0,,99.0,6.25,15.8721,22.0,0.0,0.000357616,,1000000000.0,815.875,10,16380,,,,28.663,27.888,27.247,26.176,26.101,26.008,25.735,27.86,23.577,24.173,22.818,,,,,,,28.557,26.152,26.141,26.11,26.09,25.972,24.383,24.007,23.774,23.465,24.046,8.8766,10.00951,0.65555,,,,AS1063clu,342.159279,-44.5439647,[IKO2018] HFF5C-3822-2382,342.159275,-44.543958,G,6.281,E,2018ApJ...862..156L,0.026212683697509186,SIMBAD
7440,2621,0.0,0.0,0.0721,0.0916,0.0211,0.2985,390.095,1.0,0,0.0,508800000.0,99.0,0.54,391.547,33.0,0.0,9.47513e-86,,1000000000.0,123176.0,10,16380,,,,29.115,29.47,28.662,27.799,27.911,28.253,28.132,,,,,,,29.392,29.341,28.747,28.522,28.45,28.499,28.537,28.563,28.571,28.684,29.481,29.88,30.375,30.901,33.141,8.90985,4.80425,-5.03573,,,,AS1063clu,342.1937795,-44.5427286,[IKO2018] HFF5C-4650-2338,342.19377,-44.542729,G,5.64,E,2018ApJ...854...73I,0.02441777986819929,SIMBAD
7449,2633,0.67921,0.088,0.8174,0.466,0.111,0.7797,4.80476,31.0,0,0.0,,99.0,0.12,3.71084,32.0,0.1,0.156388,,1000000000.0,2.69657,10,16380,,,,26.23,26.101,25.797,25.928,25.941,26.199,26.125,26.26,25.93,26.303,,,,26.029,26.145,26.296,26.032,25.916,25.89,26.053,26.054,26.073,26.161,26.753,26.914,27.324,27.346,26.136,8.75646,5.72707,-3.3478,,,,AS1063clu,342.1801998,-44.5439353,[GVR2012] 667,342.1799375,-44.544002777777784,G,0.714,D,2015A&A...574A..11K,0.7154992390289212,SIMBAD
7469,2656,0.0,0.0,0.0908,0.1262,0.026,0.345,149.6,1.0,0,0.0,508800000.0,99.0,1.19,152.779,33.0,0.0,6.6752600000000005e-34,,1000000000.0,187959.0,9,16376,,,,,31.328,28.061,28.027,28.483,28.122,28.299,,,,23.192,23.734,,29.732,29.717,29.194,28.879,28.786,28.856,28.882,28.914,28.932,29.001,29.784,30.161,30.674,31.192,33.42,8.95298,4.7791,-5.23752,,,,AS1063clu,342.1961401,-44.5439143,[LBL2018] AS1063 cluster  4,342.1961415,-44.543913,G?,5.265,E,2018ApJ...862..156L,0.0058996096392810345,SIMBAD
7531,2730,0.0,0.0,0.0594,0.1207,0.0309,0.3546,108.983,6.0,0,0.0,,99.0,0.54,112.859,27.0,0.0,3.11232e-25,,1000000000.0,0.00527985,10,16380,,,,32.29,29.3,28.079,27.474,27.621,27.602,27.287,27.2,29.049,,23.462,23.893,,32.982,31.343,29.895,28.629,28.074,27.693,27.561,27.525,27.487,27.503,28.281,28.64,29.141,29.55,31.548,9.40954,5.85274,-6.191,,,,AS1063clu,342.1872106,-44.546277,[IKO2018] HFF5C-4493-2466,342.187221,-44.546282,G,5.58,E,2018ApJ...854...73I,0.03218659203313791,SIMBAD
7537,2740,0.0,0.0,0.1244,0.2724,0.0681,0.7288,110.121,3.0,0,0.0,,99.0,5.02,111.551,33.0,0.0,5.98318e-25,,1000000000.0,0.0132202,10,16380,,,,30.697,30.81,28.724,28.774,28.473,28.473,28.784,,,,23.236,,,33.825,32.99,31.404,29.894,29.285,29.009,28.841,28.787,28.757,28.649,29.458,29.691,30.119,30.526,31.196,9.32068,6.0081,-5.62489,,,,AS1063clu,342.1710949,-44.5467427,[LBL2018] AS1063 cluster  2,342.1714468,-44.5468577,LeG,5.068,E,2018ApJ...862..156L,0.9932429800853881,SIMBAD
7546,2749,0.69765,0.4774,0.9701,0.6881,0.2625,4.6321,3.61221,1.0,0,0.0,1278000000.0,99.0,0.0,4.52348,21.0,0.3,0.104169,,1000000000.0,57283400.0,10,16380,,,,30.12,28.439,27.472,27.121,26.961,26.975,26.833,27.709,26.627,26.778,,,,29.867,29.663,29.541,28.483,27.446,27.142,27.028,26.979,26.917,26.855,26.913,27.27,27.653,28.155,30.052,9.20264,7.51694,-3.13075,,,,AS1063clu,342.1809628,-44.5463233,[KCG2015] 35,342.18080833333335,-44.54646666666666,G,0.153,D,2015A&A...574A..11K,0.6507229354374574,SIMBAD
7565,2773,5.6659,5.0438,7.4959,0.7926,0.2163,5.558,236.056,1.0,0,0.0,1139000000.0,99.0,0.0,234.165,10.0,0.0,1.41829e-51,,1000000000.0,17424300.0,10,16380,,,,,32.795,28.969,28.586,28.466,28.566,28.502,,,25.716,22.655,21.271,,30.982,30.84,30.779,30.126,28.998,28.729,28.636,28.595,28.548,28.515,28.548,28.927,29.287,29.78,31.728,9.21506,6.90671,-3.98573,,,,AS1063clu,342.1944343,-44.548341,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.4818309005282416,SIMBAD
7566,2774,0.0,0.0,0.2347,0.6274,0.0694,2.2671,10.6795,33.0,0,0.0,,99.0,1.52,10.0952,33.0,0.0,0.00642463,,1000000000.0,1.51561,10,16380,,,,27.454,27.348,27.514,27.644,27.702,27.78,27.481,,23.855,,,,,26.979,27.11,27.317,27.422,27.368,27.443,27.599,27.61,27.611,27.716,28.174,28.601,28.523,29.088,27.568,8.78566,5.52892,-3.69886,,,,AS1063clu,342.1943335,-44.5484116,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.684271299822579,SIMBAD
7567,2775,0.0,0.0,0.0758,0.5272,0.0761,1.706,17.8109,27.0,0,0.0,,99.0,1.2,17.0108,33.0,0.15,0.000202377,,1000000000.0,0.715361,10,16380,,,,28.334,28.616,27.449,27.219,27.155,27.006,26.981,,,29.399,21.89,20.764,,28.296,28.351,28.374,27.788,27.357,27.258,27.232,27.206,27.197,27.257,27.69,28.021,28.309,28.626,27.341,8.93757,6.87231,-2.80117,,,,AS1063clu,342.19443,-44.5485038,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.5650714685730962,SIMBAD
7568,2776,5.6112,5.1379,6.5147,5.6441,0.807,7.1883,14.5234,33.0,0,0.0,,99.0,0.0,17.0831,9.0,0.0,0.00019519,,1000000000.0,63.7104,10,16380,,,,29.622,30.284,28.076,27.23,27.295,27.166,27.371,,23.826,25.114,,,,,,,30.516,27.693,27.136,27.243,27.318,27.391,27.702,27.525,27.396,27.809,27.879,28.697,8.83157,8.3751,-0.93215,,,,AS1063clu,342.1945955,-44.548398,[BHF2019] RXCJ2248    242,342.1945999999999,-44.548404,LeG,5.83,E,2022MNRAS.514.1148Y,0.0244918033734734,SIMBAD
7577,2787,0.0,0.0,0.143,0.3543,0.0835,1.2367,21.0688,3.0,0,0.0,,99.0,0.53,21.3394,27.0,0.0,2.32389e-05,,1000000000.0,0.058425,9,16376,,,,,29.385,28.395,27.704,27.676,27.322,27.335,28.717,,,,,,33.071,32.31,30.652,29.067,28.336,28.047,27.868,27.787,27.744,27.618,28.357,28.59,28.972,29.426,29.985,9.14987,6.42185,-4.36015,,,,AS1063clu,342.1772967,-44.5482834,[BHF2019] RXCJ2248    247,342.1770516,-44.5483266,LeG,5.541,E,2018ApJ...862..156L,0.6477681858423386,SIMBAD
