IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.022586,0.0,0.0858,0.145,0.0414,0.6277,10.4192,4.0,0,0.0,,99.0,0.51,11.0273,1.0,0.0,0.00403144,,1000000000.0,0.0944572,9,16381,,29.053,,28.191,26.192,25.346,25.005,24.957,24.904,24.828,25.532,25.967,25.359,,23.726,,30.206,28.798,27.38,26.136,25.625,25.3,25.17,25.136,25.11,25.111,25.889,26.207,26.701,27.072,28.514,9.45094,7.06734,-5.31831,,,,A2744clu,3.6017448,-30.4181554
2,0.0,0.0,8.0,3.855,1.2008,6.6508,68.6137,33.0,0,0.0,,99.0,1.98,68.6137,33.0,0.0,1.26102e-15,,1000000000.0,183.915,9,16382,,,,-3.602,-5.161,-5.72,-6.16,-6.511,-6.459,-6.671,25.755,,,24.353,,,,,27.825,25.554,25.387,25.563,25.705,25.799,25.897,25.755,25.709,26.03,26.099,26.2,27.524,8.99548,9.04134,-0.86479,,,,A2744clu,3.5732105,-30.3757754
3,0.0,0.0,0.1389,0.3966,0.0559,2.5681,13.0473,29.0,0,0.0,,99.0,3.78,12.9211,33.0,0.0,0.00156392,,1000000000.0,0.726595,9,16382,,,,28.339,27.009,26.471,26.983,26.809,26.615,26.618,,,,23.819,24.812,,27.438,27.545,27.563,26.94,26.783,26.726,26.784,26.787,26.817,26.862,27.479,27.637,28.12,27.952,26.768,8.84353,6.54758,-2.75999,,,,A2744clu,3.578417,-30.3788018
4,0.0,0.0,8.0,3.855,1.2008,6.6508,141.434,33.0,0,0.0,,99.0,1.98,141.434,33.0,0.0,1.94085e-31,,1000000000.0,302.457,10,16383,,-0.993,-1.477,-1.647,-3.505,-4.207,-4.587,-4.665,-4.761,-4.821,25.214,24.306,24.216,,22.923,,,,27.284,25.014,24.847,25.023,25.165,25.259,25.357,25.214,25.169,25.49,25.559,25.66,26.984,8.99548,9.2572,-0.64854,,,,A2744clu,3.5782651,-30.3762119
5,4.8639,4.3805,5.5156,4.2942,0.8046,5.621,1.41307,33.0,1,0.2,,99.0,0.81,1.57993,1.0,0.0,0.453861,,1000000000.0,175.579,8,16377,,,,,29.438,27.152,27.087,27.392,27.414,27.49,27.11,,,,,,,,37.387,28.662,27.618,27.513,27.481,27.475,27.464,27.056,26.709,26.737,26.638,26.586,27.75,8.9376,8.5567,-1.08075,,,,A2744clu,3.5770771,-30.377029
6,0.0,0.0,8.0,3.855,1.2008,6.6508,235.986,33.0,0,0.0,,99.0,1.98,235.986,33.0,0.0,5.70412e-52,,1000000000.0,1185.95,10,16383,,,-2.144,-3.941,-4.491,-4.673,-4.951,-5.182,-5.491,-5.547,23.731,22.757,22.73,23.325,,,,,25.801,23.531,23.363,23.539,23.681,23.776,23.874,23.731,23.686,24.006,24.076,24.177,25.5,8.99548,9.85072,-0.05529,,,,A2744clu,3.5786885,-30.3762643
7,0.0,0.0,8.0,,,,1000000000.0,,-100,-99.9,-99.9,99.0,-99.9,1000000000.0,,,,,1000000000.0,1185.95,10,16383,,-3.781,,-5.326,-7.076,-7.771,-7.593,-7.398,-7.855,-7.702,,,,22.626,,,,,,,,,,,,,,,,,,,,,,,,A2744clu,3.5769735,-30.3774223
8,0.0,0.0,0.1568,0.256,0.0547,0.7358,4.01946,1.0,0,0.0,1278000000.0,99.0,0.42,3.20358,1.0,0.0,0.201535,,1000000000.0,11860800.0,9,16382,,,30.467,28.349,27.011,26.493,26.214,26.231,26.084,26.18,26.843,,,24.483,,,29.143,28.998,28.209,27.028,26.645,26.487,26.406,26.393,26.383,26.244,26.882,27.216,27.622,28.184,30.298,9.22246,6.55774,-4.33855,,,,A2744clu,3.5779028,-30.3762756
10,0.12024,0.0,0.1682,0.1115,0.0366,4.3442,11.5702,3.0,0,0.0,,99.0,4.45,13.1232,33.0,0.05,0.00141363,,1000000000.0,0.0619256,10,16383,,31.247,,27.44,25.877,25.049,25.105,25.019,24.998,25.014,25.519,,,23.621,,,29.695,28.292,26.939,25.876,25.462,25.188,25.089,25.067,25.043,25.128,25.892,26.215,26.643,26.995,28.667,9.48425,6.48106,-6.23558,,,,A2744clu,3.5760737,-30.3764441
12,0.0,0.0,8.0,3.855,1.2008,6.6508,159.938,33.0,0,0.0,,99.0,1.98,159.938,33.0,0.0,1.8619099999999999e-35,,1000000000.0,700.782,9,16382,,,-1.633,-2.196,-3.776,-4.476,-4.985,-5.074,-5.102,-5.188,24.302,25.756,,23.774,,,,,26.372,24.102,23.934,24.11,24.252,24.347,24.445,24.302,24.257,24.577,24.647,24.748,26.072,8.99548,9.6223,-0.28389,,,,A2744clu,3.5800859,-30.3764054
