catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
2609,1,0.031387,0.0,0.094,0.101,0.0339,0.2381,11.2353,6.0,0,0.0,,99.0,0.44,14.694,1.0,0.0,0.000644528,,1000000000.0,0.033607,11,16381,,29.053,,28.191,26.192,25.346,25.005,24.957,24.904,24.828,25.532,25.967,25.359,,23.726,,30.486,28.775,27.385,26.17,25.635,25.261,25.139,25.104,25.061,25.11,25.888,26.267,26.748,27.159,29.427,9.49995,6.85188,-6.03205,,,,A2744clu,3.6017448,-30.4181554,[MAC2016] A2744cl      9,3.601749,-30.418154,G,0.1075,E,2016A&A...590A..30M,0.013978963734842951,SIMBAD
2610,2,0.0,0.0,0.0232,0.0566,0.0157,0.134,210.285,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0265478,11,16382,,,,-3.602,-5.161,-5.72,-6.16,-6.511,-6.459,-6.671,25.755,,,24.353,,,27.188,27.045,26.316,25.951,25.812,25.694,25.691,25.678,25.654,25.755,26.577,26.959,27.028,25.648,28.599,9.26698,5.76169,-5.31951,,,,A2744clu,3.5732105,-30.3757754,[MAC2016] A2744cl   2555,3.573204,-30.375753,G,5.0,E,2016A&A...590A..30M,0.08312856279002648,SIMBAD
2611,3,0.0,0.0,0.0591,0.0496,0.0118,0.1949,173.971,33.0,0,0.0,,99.0,0.39,177.816,33.0,0.0,2.4417299999999998e-39,,1000000000.0,0.00936706,11,16382,,,,28.339,27.009,26.471,26.983,26.809,26.615,26.618,,,,23.819,24.812,,27.162,27.359,27.161,27.091,27.461,27.496,27.553,27.581,27.599,27.925,28.296,28.953,28.842,27.581,30.31,8.74606,4.41801,-4.66198,,,,A2744clu,3.578417,-30.3788018,[MAC2016] A2744cl   2494,3.578429,-30.378794,G,0.097,E,2016A&A...590A..30M,0.04666305515486938,SIMBAD
2612,4,4.8909,1.0445,8.0,4.1372,2.2445,6.5666,141.44,29.0,1,0.3,,99.0,5.81,141.434,1.0,0.0,1.94083e-31,,1000000000.0,1205.06,12,16383,,-0.993,-1.477,-1.647,-3.505,-4.207,-4.587,-4.665,-4.761,-4.821,25.214,24.306,24.216,,22.923,,,,33.984,28.24,27.125,26.804,26.644,26.514,26.366,25.214,24.321,24.191,24.021,23.863,24.949,8.90341,9.98728,0.57568,,,,A2744clu,3.5782651,-30.3762119,[MAC2016] A2744cl   2545,3.578269,-30.376162,G,0.03,E,2016A&A...590A..30M,0.18004789846066319,SIMBAD
2613,5,0.0,0.0,0.0483,0.1104,0.0265,0.3099,120.443,26.0,0,0.0,,99.0,0.39,122.242,31.0,0.0,2.85457e-27,,1000000000.0,0.0126267,10,16377,,,,,29.438,27.152,27.087,27.392,27.414,27.49,27.11,,,,,,29.327,29.233,28.58,28.126,27.912,27.851,27.837,27.832,27.815,27.86,28.657,29.02,29.268,27.892,29.341,9.11189,5.34914,-5.27862,,,,A2744clu,3.5770771,-30.377029,[MAC2016] A2744cl   2544,3.577082,-30.377014,G,5.2582,E,2016A&A...590A..30M,0.056103451411221215,SIMBAD
2614,6,4.8593,1.1747,8.0,4.4668,2.5783,6.6987,235.993,32.0,1,0.4,,99.0,3.95,235.987,32.0,0.4,5.70401e-52,,1000000000.0,10527.2,12,16383,,,-2.144,-3.941,-4.491,-4.673,-4.951,-5.182,-5.491,-5.547,23.731,22.757,22.73,23.325,,,,,,27.299,25.547,25.121,24.911,24.781,24.65,23.735,22.753,22.714,22.439,22.229,23.128,8.82653,10.70351,1.51649,,,,A2744clu,3.5786885,-30.3762643,[MAT2017] Abell2744CLS 1486,3.5786797,-30.3762582,G,0.32,D,2017ApJ...835..254M,0.03506036415367779,SIMBAD
2615,7,0.0,0.0,8.0,,,,1000000000.0,,-100,-99.9,-99.9,99.0,-99.9,1000000000.0,,,,,1000000000.0,10527.2,12,16383,,-3.781,,-5.326,-7.076,-7.771,-7.593,-7.398,-7.855,-7.702,,,,22.626,,,,,,,,,,,,,,,,,,,,,,,,A2744clu,3.5769735,-30.3774223,[MAC2016] A2744cl   2537,3.577009,-30.37727,G,2.5,E,2016A&A...590A..30M,0.5592558280077283,SIMBAD
2616,8,0.0,0.0,0.0729,0.0488,0.0119,0.1341,275.505,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,131885.0,11,16382,,,30.467,28.349,27.011,26.493,26.214,26.231,26.084,26.18,26.843,,,24.483,,,28.024,27.961,27.291,27.083,27.169,27.129,27.179,27.197,27.195,27.355,28.159,28.586,29.058,29.601,31.851,8.80966,4.95272,-4.2879,,,,A2744clu,3.5779028,-30.3762756,[MAC2016] A2744cl   2556,3.577908,-30.376272,G,0.03,E,2016A&A...590A..30M,0.02070724090893127,SIMBAD
2617,10,0.0,0.0,0.0069,,,0.0195,1000000000.0,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,2.32349e-17,12,16383,,31.247,,27.44,25.877,25.049,25.105,25.019,24.998,25.014,25.519,,,23.621,,,29.189,27.938,26.535,25.85,25.497,25.258,25.207,25.174,25.127,25.383,26.153,26.572,26.894,27.215,inf,9.45936,,,,,,A2744clu,3.5760737,-30.3764441,[MAC2016] A2744cl   2550,3.576067,-30.376455,G,0.37,D,2017ApJ...835..254M,0.04441605141917915,SIMBAD
2618,12,0.0,0.0,0.0128,0.0297,,0.0759,209.102,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00376456,11,16382,,,-1.633,-2.196,-3.776,-4.476,-4.985,-5.074,-5.102,-5.188,24.302,25.756,,23.774,,,30.028,28.261,26.708,25.576,24.98,24.568,24.471,24.423,24.354,24.497,25.299,25.753,26.2,26.696,33.179,9.46222,5.76141,-6.58036,,,,A2744clu,3.5800859,-30.3764054,[MAC2016] A2744cl   2541,3.580088,-30.376299,G,2.2174,E,2016A&A...590A..30M,0.38309552392712476,SIMBAD
