IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1006,0.2833,0.0,0.5915,0.4501,0.1632,1.0744,0.935697,3.0,0,0.0,,99.0,0.91,2.21371,27.0,0.0,0.330598,,1000000000.0,0.405331,9,16376,,,,,27.741,26.859,26.388,26.314,26.458,26.299,25.817,26.819,27.481,23.613,,,31.985,31.027,29.485,27.797,26.915,26.578,26.406,26.303,26.227,26.134,26.671,26.979,27.291,27.81,28.378,9.25813,7.5278,-3.62761,,,,A2744clu,3.5971867,-30.3859288,29.419373210130935,49.237559999995995,57.35709925397357,pagul21_photoz_f160w_radius,4.128158558465785,False
615,0.088049,0.0,0.2302,0.25,0.0819,0.5845,9.16259,31.0,3,0.2,,99.0,0.57,8.59333,27.0,0.0,0.0136139,,1000000000.0,0.74591,12,16383,,28.172,27.531,27.406,27.177,26.617,26.398,26.377,26.403,26.314,25.934,28.059,,25.162,,,28.008,27.74,27.501,26.87,26.621,26.51,26.411,26.393,26.383,26.318,26.967,27.052,27.508,26.991,26.153,8.86676,7.23156,-2.0437,,,,A2744clu,3.6027974,-30.3872947,46.84094311193031,44.32031999998429,64.48538374326463,pagul21_photoz_f160w_radius,4.415454041442154,False
1543,0.0,0.0,0.2691,0.2018,0.0583,0.4187,4.11457,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0616268,12,16383,,29.595,27.812,28.873,27.356,26.993,26.328,26.439,26.112,26.338,26.058,30.878,27.833,28.006,,,31.29,30.173,28.762,27.386,26.879,26.602,26.46,26.422,26.4,26.355,27.158,27.422,27.876,28.248,29.211,9.3439,6.57886,-5.0954,,,,A2744clu,3.5868731,-30.3898351,-2.604991546351174,35.17487999999389,35.27120871150479,pagul21_photoz_f160w_radius,3.54795320705016,False
1082,0.45093,0.0,0.8042,0.3957,0.148,0.6968,1.11046,27.0,1,0.25,,99.0,0.11,1.34504,27.0,0.4,0.510422,,1000000000.0,1.2878,12,16383,,29.358,29.154,28.731,27.762,26.956,26.586,26.472,26.39,26.34,26.336,26.882,25.938,25.861,,,29.305,29.139,28.752,27.611,27.017,26.665,26.493,26.411,26.362,26.206,26.615,26.78,27.27,27.103,25.919,9.29422,7.39358,-3.80825,,,,A2744clu,3.5819696,-30.3950459,-17.83066178597814,16.415999999992437,24.236698531889463,pagul21_photoz_f160w_radius,3.0586282010629815,False
3117,0.0,0.0,0.2834,0.2017,0.0353,1.4223,586.912,33.0,0,0.0,,99.0,0.39,587.973,33.0,0.0,2.1047799999999998e-128,,1000000000.0,0.0498008,11,16381,,28.429,,31.894,27.913,27.196,27.034,26.892,26.578,26.378,,,,,22.963,,28.301,28.492,28.506,28.448,28.385,28.741,28.769,28.806,28.838,28.989,29.714,29.916,30.26,29.264,28.922,8.7658,4.48837,-4.66161,,,,A2744clu,3.5729606,-30.4088791,-45.804162997111376,-33.383520000009526,56.67875047543818,pagul21_photoz_f160w_radius,4.589111432514606,False
1080,0.0,0.0,0.0911,0.258,0.0566,0.7623,3.86449,3.0,0,0.0,,99.0,1.3,3.80144,33.0,0.15,0.149461,,1000000000.0,0.0897902,9,16376,,,,,27.678,27.506,27.298,26.698,26.601,26.403,26.917,27.863,27.305,28.95,,,31.632,30.766,29.197,27.706,27.111,26.835,26.67,26.619,26.59,26.488,27.299,27.536,27.969,28.37,29.074,9.35683,7.01291,-4.83871,,,,A2744clu,3.5696545,-30.3952942,-56.069807614064636,15.52211999999571,58.17868626200224,pagul21_photoz_f160w_radius,4.269178292066741,False
2088,0.23382,0.0,0.4106,0.2557,0.1003,0.4446,1.98776,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.10902,11,16382,,,28.373,28.883,27.468,26.868,26.626,26.453,26.356,26.404,26.048,27.99,26.872,,23.338,,31.421,30.555,28.986,27.495,26.9,26.624,26.459,26.408,26.38,26.277,27.089,27.325,27.758,28.159,28.863,9.3741,6.8644,-4.9146,,,,A2744clu,3.5857064,-30.4106153,-6.227667077823593,-39.633840000009,40.1201334790716,pagul21_photoz_f160w_radius,3.6898530326357193,False
54,0.0,0.0,0.0594,0.2535,0.0318,1.626,11.9203,33.0,3,0.15,,99.0,1.41,8.80489,33.0,0.1,0.0122473,,1000000000.0,0.668442,12,16383,,28.177,27.487,26.858,27.017,27.044,26.456,26.349,26.343,26.408,29.337,27.382,27.325,24.085,,,27.396,27.278,27.224,26.885,26.756,26.783,26.723,26.717,26.714,26.728,27.452,27.355,27.938,27.204,26.378,8.78953,5.55942,-3.66183,,,,A2744clu,3.5840209,-30.3782076,-11.461248639746112,77.03387999999194,77.88182643104385,pagul21_photoz_f160w_radius,5.145723131034795,False
2887,0.0,0.0,0.1125,0.2425,0.04,1.0391,21.333,1.0,0,0.0,508800000.0,99.0,1.18,18.9438,33.0,0.05,7.69832e-05,,1000000000.0,4372570.0,10,16377,,27.868,,,27.789,27.435,26.509,26.352,26.392,26.414,,25.624,,,,,27.641,27.702,27.511,26.881,26.832,26.829,26.81,26.843,26.876,26.866,27.598,27.948,28.431,28.982,31.169,8.89837,6.47367,-3.0733,,,,A2744clu,3.5845547,-30.4075033,-9.803766683202554,-28.430640000003393,30.07349550664946,pagul21_photoz_f160w_radius,3.4170746002216488,False
646,0.0,0.0,0.0878,0.3991,0.0626,2.8423,9.1289,1.0,0,0.0,806400000.0,99.0,2.91,6.32925,33.0,0.1,0.04223,,1000000000.0,23226900.0,12,16383,,,28.852,27.334,26.74,26.579,26.452,26.45,26.396,26.419,27.78,26.185,26.869,,,,27.911,27.963,27.767,26.842,26.537,26.449,26.437,26.423,26.436,26.428,26.927,27.294,27.637,28.237,30.308,8.89607,6.85007,-2.53892,,,,A2744clu,3.5721279,-30.3875232,-48.38974790759143,43.497719999989215,65.06626889378022,pagul21_photoz_f160w_radius,4.528790379792674,False
1445,0.0,0.0,0.067,0.3358,0.0505,0.9857,8.75997,1.0,0,0.0,1015000000.0,99.0,0.55,7.85642,1.0,0.0,0.0196789,,1000000000.0,15380700.0,12,16383,,29.295,28.251,28.208,27.226,26.909,26.58,26.475,26.5,26.441,27.94,25.529,29.503,24.282,23.104,,28.661,28.67,28.269,27.188,26.854,26.754,26.689,26.68,26.694,26.626,27.177,27.558,27.928,28.502,30.59,8.97297,7.03116,-2.53465,,,,A2744clu,3.6067281,-30.4002495,59.04600929137403,-2.3169600000130686,59.09145045502512,pagul21_photoz_f160w_radius,4.310166265167503,False
2690,0.12771,0.0,0.4555,0.3496,0.1076,0.938,1.09965,3.0,0,0.0,,99.0,0.83,2.94649,27.0,0.0,0.229181,,1000000000.0,0.188855,9,16376,,,,,27.676,27.471,26.484,26.307,26.273,26.503,26.219,27.571,27.763,26.764,,,31.797,31.036,29.378,27.794,27.062,26.773,26.594,26.513,26.47,26.345,27.084,27.316,27.698,28.152,28.711,9.26872,7.14668,-4.13207,,,,A2744clu,3.5992568,-30.4015409,35.847161517065125,-6.966000000011263,36.51772370823121,pagul21_photoz_f160w_radius,3.56208070694104,False
3228,0.0,0.0,0.059,0.3296,0.0342,2.6455,27.5091,29.0,0,0.0,,99.0,2.78,23.9955,33.0,0.1,6.15804e-06,,1000000000.0,0.468866,12,16383,,27.752,29.233,27.431,26.992,27.231,27.304,26.964,26.601,26.511,,24.262,25.675,23.041,,,27.499,27.607,27.6,26.917,26.8,26.851,26.821,26.84,26.881,26.891,27.593,27.723,28.233,27.921,26.792,8.80916,5.98637,-3.27468,,,,A2744clu,3.57234,-30.4091395,-47.73116431264349,-34.32096000000371,58.78938970564694,pagul21_photoz_f160w_radius,4.481316073521564,False
