IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
908,2.6127,2.405,2.8697,2.6268,2.3972,2.7998,0.38802,32.0,2,0.1,,99.0,1.93,4.80676,33.0,0.15,0.090412,,1000000000.0,170.537,10,4092,,,,26.207,25.953,26.027,26.102,26.052,25.808,25.57,25.541,25.657,25.422,,,,,27.822,26.223,25.948,26.017,26.029,25.981,25.779,25.595,25.575,25.449,25.465,25.457,25.8,25.789,8.71718,9.01319,0.05756,,,,A2744clu,3.4843829,-30.3787514
910,3.8478,3.7307,4.003,3.8677,3.7401,3.9984,3.03091,31.0,2,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,246.204,10,4092,,,,28.649,26.249,25.828,25.959,26.015,26.022,26.007,25.681,24.744,24.799,,,,,,28.797,26.207,25.862,25.952,26.006,26.028,26.054,25.564,25.384,25.538,25.578,25.618,26.923,8.70702,9.35154,0.39934,,,,A2744clu,3.4598961,-30.3776384
911,0.0,0.0,0.1087,0.1293,0.0314,0.363,70.7973,1.0,0,0.0,640500000.0,99.0,0.51,72.7709,31.0,0.0,1.57762e-16,,1000000000.0,538606.0,10,4092,,,,28.466,28.144,28.077,27.98,27.734,27.657,27.696,26.91,,,,,,28.997,28.933,28.345,27.942,27.873,27.838,27.857,27.883,27.895,27.942,28.726,29.078,29.583,30.1,32.317,8.88702,5.31808,-4.21613,,,,A2744clu,3.4601484,-30.3708886
912,1.1795,1.0621,1.3629,1.2446,1.0819,1.4418,0.326461,27.0,0,0.0,,99.0,0.83,5.36693,33.0,0.25,0.0683259,,1000000000.0,37.0584,10,4092,,,,25.855,25.953,25.511,24.99,24.887,24.863,24.819,24.776,24.83,25.121,,,,25.907,25.836,25.879,25.942,25.581,24.973,24.909,24.852,24.81,24.753,24.801,24.987,25.402,25.784,25.48,8.77888,8.69551,-0.40346,,,,A2744clu,3.4550836,-30.3785877
913,0.0,0.0,0.0663,0.1035,0.0243,0.4362,22.373,1.0,0,0.0,508800000.0,99.0,0.54,24.0171,32.0,0.0,6.0919e-06,,1000000000.0,465202.0,10,4092,,,,27.469,27.62,27.624,27.193,26.94,27.021,27.046,27.326,,,,,,28.179,28.136,27.593,27.334,27.302,27.288,27.325,27.353,27.364,27.465,28.258,28.651,29.152,29.675,31.912,8.82762,5.12111,-4.21078,,,,A2744clu,3.476861,-30.370965
914,3.1467,3.1042,3.2591,3.164,3.0978,3.2331,8.37166,31.0,2,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,408.265,10,4092,,,,25.616,25.022,24.993,25.129,25.114,25.022,24.928,24.283,25.067,24.869,,,,,,25.698,24.995,24.999,25.097,25.135,25.054,24.881,24.535,24.654,24.651,24.695,24.826,25.736,8.72682,7.20471,-1.78771,,,,A2744clu,3.457936,-30.3785869
915,0.32623,0.254,0.4125,0.3679,0.286,0.4813,17.3305,21.0,0,0.2,,99.0,3.08,21.5523,32.0,0.3,2.08918e-05,,1000000000.0,3.30101,10,4092,,,,26.84,25.414,24.951,24.666,24.354,24.066,23.824,23.363,23.713,23.115,,,,28.271,27.792,27.029,25.697,24.915,24.506,24.164,23.975,23.839,23.507,24.107,23.899,24.558,24.142,22.897,9.51035,8.37758,-4.47991,,,,A2744clu,3.4833866,-30.378588
916,0.0,0.0,0.2231,0.5539,0.0809,1.8188,29.1317,33.0,0,0.0,,99.0,1.15,28.6107,33.0,0.0,6.1273e-07,,1000000000.0,0.313686,10,4092,,,,28.608,29.198,28.959,28.411,28.851,28.576,28.848,,,,,,,28.405,28.546,28.767,28.817,28.8,28.873,29.015,29.022,29.03,29.135,29.691,30.049,30.036,30.468,28.961,8.82487,5.48828,-3.98986,,,,A2744clu,3.4781347,-30.3709855
917,2.9435,2.8729,3.0139,2.9665,2.8959,3.0413,2.15586,33.0,1,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,3142.98,10,4092,,,,26.064,24.935,24.601,24.47,24.311,24.125,23.91,23.661,23.027,23.243,,,,,31.807,26.072,24.927,24.622,24.455,24.365,24.168,23.924,23.575,23.151,23.016,22.916,23.038,23.382,9.13195,7.85633,-2.37084,,,,A2744clu,3.483139,-30.3788173
918,0.0,0.0,0.285,0.4119,0.0636,1.8016,12.5844,33.0,0,0.0,,99.0,0.55,12.1451,33.0,0.0,0.00230533,,1000000000.0,0.292923,10,4092,,,,28.215,28.316,28.243,28.226,28.074,28.379,28.372,29.787,,,,,,27.885,28.044,28.271,28.179,28.26,28.327,28.435,28.448,28.48,28.558,29.299,29.212,29.843,29.522,28.237,8.78509,4.9873,-4.21871,,,,A2744clu,3.491494,-30.3709743
