main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
[MAC2016] A2744cl   1959,3.596089,-30.387117,EmG,3.47645,D,2021A&A...646A..83R
[MAC2016] A2744cl  22837,3.596261,-30.384445,EmG,5.76819,D,2021A&A...646A..83R
[MAC2016] A2744cl   2023,3.597017,-30.386051,G,0.2448,E,2016A&A...590A..30M
[MAC2016] A2744cl   2073,3.597085,-30.385548,G,1.7634,E,2016A&A...590A..30M
[MAC2016] A2744cl   1980,3.598553,-30.386688,G,2.5073,E,2016A&A...590A..30M
[MAC2016] A2744cl   2089,3.596706,-30.384945,G,1.5386,E,2016A&A...590A..30M
[BAG2023] A2744 1.3c,3.5864589999999996,-30.409871000000003,LeI,1.688,D,2023A&A...670A..60B
[MAC2016] A2744cl  20324,3.586411,-30.412361,G,2.048,E,2016A&A...590A..30M
[MAC2016] A2744cl  20493,3.5864279999999997,-30.410713,G,1.7595,E,2016A&A...590A..30M
[ARK2014] 410,3.585801,-30.41175,LeG,7.5,E,2015ApJ...799...12I
[MAC2016] A2744cl    253,3.586037,-30.412191,G,0.2287,E,2016A&A...590A..30M
[LFL2017] A2744 z6  33756,3.585379,-30.411974,LeG,5.72,E,2017ApJ...835..113L
[BAG2023] A2744 1.4c,3.587393,-30.410168,LeG,1.688,D,2023A&A...670A..60B
[BAG2023] A2744 6.1c,3.5864166666666666,-30.40937222222222,EmG,2.019,C,2018ApJ...855....4K
[BML2002]  228,3.616808333333333,-30.418355555555554,G,0.31,E,2017A&A...606A.122F
[BGS2006]  97,3.622565696060001,-30.4190306023,GiC,0.3127697095034992,C,2011ApJ...728...27O
[MAC2016] A2744cl     11,3.59941,-30.418064,G,1.9,E,2016A&A...590A..30M
[MAC2016] A2744cl     14,3.597733,-30.41782,G,0.6743,E,2016A&A...590A..30M
[MAC2016] A2744cl     10,3.59951,-30.418081,G,0.1235,E,2016A&A...590A..30M
[MAC2016] A2744cl      8,3.600397,-30.417793,G,1.1,E,2016A&A...590A..30M
[MAC2016] A2744cl     49,3.59842,-30.416021,G,0.3,E,2016A&A...590A..30M
[MRC2018] A2744  2264,3.5988168000000003,-30.414597600000008,EmG,4.77979,C,2021A&A...646A..83R
[MAC2016] A2744cl    191,3.597689,-30.413736,G,0.45,D,2017ApJ...835..254M
[MAC2016] A2744cl     23,3.594806,-30.417248,G,0.805,E,2016A&A...590A..30M
[MAC2016] A2744cl     99,3.598417,-30.414791,G,2.2503,E,2016A&A...590A..30M
[MAC2016] A2744cl    155,3.595018,-30.413748,G,4.705,E,2016A&A...590A..30M
[MAC2016] A2744cl    159,3.596172,-30.413683,G,1.4815,E,2016A&A...590A..30M
[MAC2016] A2744cl  20033,3.59585,-30.416508,EmG,4.05499,D,2021A&A...646A..83R
[MAC2016] A2744cl  20093,3.597229,-30.415335,G,0.4155,E,2016A&A...590A..30M
[MAC2016] A2744cl  20139,3.597822,-30.41449,G,0.46,E,2016A&A...590A..30M
[MAC2016] A2744cl  23449,3.597166,-30.416044,G,4.595,E,2016A&A...590A..30M
[MAC2016] A2744cl  20321,3.598301,-30.412354,G,3.545,E,2016A&A...590A..30M
[MAC2016] A2744cl    372,3.595636,-30.411026,G,0.38,D,2017ApJ...835..254M
[MAC2016] A2744cl    210,3.596263,-30.41321,G,0.45,D,2017ApJ...835..254M
[MAC2016] A2744cl     41,3.598221,-30.416346,G,0.48,D,2017ApJ...835..254M
[MAC2016] A2744cl  20351,3.597778,-30.412134,G,0.281,E,2016A&A...590A..30M
[MAC2016] A2744cl  20387,3.597171,-30.411718,G,3.005,E,2016A&A...590A..30M
[MAC2016] A2744cl  20426,3.595978,-30.411266,G,1.375,E,2016A&A...590A..30M
[MAC2016] A2744cl     26,3.595162,-30.416574,G,0.056,E,2016A&A...590A..30M
[MAC2016] A2744cl    208,3.595946,-30.413134,G,4.3527,E,2016A&A...590A..30M
[MAC2016] A2744cl    201,3.595637,-30.413647,G,2.4857,E,2016A&A...590A..30M
[MAC2016] A2744cl    291,3.594823,-30.411623,G,0.565,E,2016A&A...590A..30M
[MAC2016] A2744cl    305,3.597387,-30.41143,G,2.909,E,2016A&A...590A..30M
[MAC2016] A2744cl  20388,3.596178,-30.411692,G,1.7545,E,2016A&A...590A..30M
[MAC2016] A2744cl     46,3.5962110000000003,-30.416166,G,0.5657,E,2016A&A...590A..30M
[MAC2016] A2744cl    344,3.59804,-30.41094,G,1.265,E,2016A&A...590A..30M
[MAC2016] A2744cl  20168,3.594748,-30.414169,G,1.7757,E,2016A&A...590A..30M
[MAC2016] A2744cl  20182,3.594589,-30.413963,G,1.7545,E,2016A&A...590A..30M
[MAC2016] A2744cl  20238,3.596555,-30.413263,G,2.34,E,2016A&A...590A..30M
[MAC2016] A2744cl    168,3.5952708333333336,-30.413963888888887,G,0.75,D,2015ApJ...811...29W
[MAC2016] A2744cl   2115,3.59129,-30.384352,G,1.25,E,2016A&A...590A..30M
CN AC118  22,3.590291666666668,-30.38272222222223,GiC,0.3,D,2017ApJ...835..254M
[MAC2016] A2744cl   2148,3.601878,-30.384121,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2121,3.602084,-30.3843,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl   2106,3.602499,-30.384584,G,2.2175,E,2016A&A...590A..30M
[MAC2016] A2744cl   2238,3.606886,-30.382267,G,0.32,D,2017ApJ...835..254M
[MAC2016] A2744cl   2022,3.606474,-30.386021,G,2.555,E,2016A&A...590A..30M
[MAC2016] A2744cl   2152,3.606184,-30.38378,G,0.694,E,2016A&A...590A..30M
[MAC2016] A2744cl   2195,3.607187,-30.383354,G,0.4367,E,2016A&A...590A..30M
[MAC2016] A2744cl   2276,3.605069,-30.382061,G,1.775,E,2016A&A...590A..30M
[MAC2016] A2744cl   2107,3.60846,-30.384569,G,4.1993,E,2016A&A...590A..30M
[MAC2016] A2744cl  22975,3.606355,-30.382498,G,1.83,E,2016A&A...590A..30M
[MAC2016] A2744cl   2099,3.607542,-30.385193,G,1.3135,E,2016A&A...590A..30M
[MPC2023] GLASS 150029,3.5771699999999997,-30.42258,LeG,4.585,D,2023A&A...672A.155M
[MPC2023] GLASS 160122,3.5648999999999997,-30.42496,LeG,5.333,D,2023A&A...672A.155M
[MRC2018] A2744 11772,3.5959242,-30.386397800000005,EmG,4.79959,D,2021A&A...646A..83R
[BAE96] AC 118 117,3.592548,-30.385309,GiC,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl  22752,3.596232,-30.38574,G,4.167,E,2016A&A...590A..30M
[MAC2016] A2744cl   2026,3.597205,-30.385937,G,4.397,E,2016A&A...590A..30M
[MAC2016] A2744cl   2030,3.593707,-30.38592,G,4.2581,E,2016A&A...590A..30M
[MAC2016] A2744cl   1984,3.597687,-30.386644,G,1.515,E,2016A&A...590A..30M
[MAC2016] A2744cl   2068,3.595703,-30.385227,G,2.195,E,2016A&A...590A..30M
[MAC2016] A2744cl   2086,3.595939,-30.384983,G,2.1165,E,2016A&A...590A..30M
[MAC2016] A2744cl  22707,3.596077,-30.386164,G,0.5475,E,2016A&A...590A..30M
[MRC2018] A2744 M17,3.5954531,-30.386281799999995,EmG,3.57617,C,2021A&A...646A..83R
ALMA J001420.4-302254,3.5850000000000004,-30.381783333333335,G,3.059,D,2023ApJ...942L...1W
[MAC2016] A2744cl  22977,3.586645,-30.382475,EmG,4.91379,D,2021A&A...646A..83R
[MAC2016] A2744cl   2044,3.585737,-30.385792,G,3.1318,E,2016A&A...590A..30M
[MAC2016] A2744cl   2259,3.5861039999999997,-30.382391,G,3.0635,E,2016A&A...590A..30M
[MAC2016] A2744cl   2032,3.585518,-30.385874,EmG,3.0558,D,2021A&A...646A..83R
[MAC2016] A2744cl   2053,3.585163,-30.385464,G,1.825,E,2016A&A...590A..30M
[MAC2016] A2744cl   2126,3.586167,-30.384224,G,2.2327,E,2016A&A...590A..30M
[MAC2016] A2744cl   2144,3.586593,-30.384125,G,2.4732,E,2016A&A...590A..30M
[MAC2016] A2744cl   2182,3.586169,-30.383472,G,2.767,E,2016A&A...590A..30M
[MAC2016] A2744cl   2555,3.573204,-30.375753,G,5.0,E,2016A&A...590A..30M
[MAC2016] A2744cl   2561,3.572509,-30.375311,G,6.9051,E,2016A&A...590A..30M
[BML2002]  241,3.6123625,-30.41717777777778,G,0.3,E,2017A&A...606A.122F
UNCOVER DR1   571,3.592423,-30.432828,AGN,6.74,D,2024ApJ...964...39G
[ORN2011] 003.602917-30.416674,3.6029166666666663,-30.416675,G,0.3180933924628618,D,2011ApJ...728...27O
[MAC2016] A2744cl  20007,3.603587,-30.417866,G,1.217,E,2016A&A...590A..30M
[MAC2016] A2744cl  20029,3.605145,-30.417665,G,5.633,E,2016A&A...590A..30M
[MAC2016] A2744cl  20011,3.604015,-30.41844,G,6.926,E,2016A&A...590A..30M
[MAC2016] A2744cl  23448,3.603352,-30.418427,G,6.4802,E,2016A&A...590A..30M
[BAG2023] 42079,3.593478,-30.387594,G,0.31,D,2017ApJ...835..254M
[MAC2016] A2744cl  22622,3.593577,-30.387114,G,1.8,E,2016A&A...590A..30M
[MAC2016] A2744cl   1982,3.593395,-30.386675,G,3.08,E,2016A&A...590A..30M
[BAG2023] 41842,3.591221,-30.386717,G,0.3135,D,2018MNRAS.473..663M
[BML2002]  594,3.591111,-30.381704,EmG,1.9,D,2015ApJ...811...29W
[MAC2016] A2744cl  22870,3.576688,-30.383936,LeG,7.472,E,2016A&A...590A..30M
[MAC2016] A2744cl   2160,3.577513,-30.383957,G,0.3405,E,2016A&A...590A..30M
[MAC2016] A2744cl  22888,3.57692,-30.383713,G,0.5825,E,2016A&A...590A..30M
[MAC2016] A2744cl   2083,3.598726,-30.38508,G,0.3425,E,2016A&A...590A..30M
[MAC2016] A2744cl  22681,3.6002650000000003,-30.386482,G,0.585,E,2016A&A...590A..30M
[MAC2016] A2744cl  22769,3.600722,-30.385477,G,5.1762,E,2016A&A...590A..30M
[MAC2016] A2744cl  23105,3.598537,-30.381693,G,5.574,E,2016A&A...590A..30M
[MAC2016] A2744cl   1967,3.600868,-30.386797,G,1.2635,E,2016A&A...590A..30M
[MAC2016] A2744cl   2108,3.600025,-30.384533,G,2.753,E,2016A&A...590A..30M
[MAC2016] A2744cl   2226,3.599026,-30.382727,G,1.4685,E,2016A&A...590A..30M
[MAC2016] A2744cl   2288,3.600946,-30.381685,G,0.7084,E,2016A&A...590A..30M
[MAC2016] A2744cl  22817,3.600521,-30.384689,G,5.1245,E,2016A&A...590A..30M
[BAG2023] 40832,3.588038,-30.382557,G,0.31,D,2017ApJ...835..254M
