IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
1,0.78758,0.2964,5.0646,0.9705,0.4833,2.6232,315.661,2.0,0,0.0,508800000.0,99.0,4.51,315.572,33.0,0.0,2.98101e-69,,1000000000.0,2018770000.0,12,16383,,-0.743,-0.979,-1.418,-2.648,-3.311,-3.393,-3.448,-3.371,-3.757,23.284,23.174,23.736,27.434,,,24.193,24.189,24.193,24.214,23.58,23.391,23.305,23.313,23.394,23.285,23.261,23.594,23.979,24.437,26.443,9.0169,9.35053,-0.65529,,,,M0717clu,109.3872847,37.7196971,,,,,,,,,,False
2,0.0,0.0,0.0777,0.0987,0.0294,0.2201,156.009,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.130719,12,16383,,-2.832,-1.628,-1.733,-2.944,-2.838,-3.85,-4.035,-4.537,-4.922,25.118,,,21.164,,,26.582,26.473,25.833,25.386,25.211,25.099,25.089,25.082,25.063,25.118,25.925,26.289,26.509,25.12,26.748,9.27417,6.46105,-4.73086,,,,M0717clu,109.3884767,37.7193668,,,,,,,,,,False
3,0.47443,0.4187,0.5169,0.4672,0.403,0.5216,1.03375,2.0,0,0.0,2750000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,4572390000.0,10,16380,,,,25.863,24.07,23.006,22.598,36.551,25.505,22.062,21.893,22.076,22.52,24.566,21.921,,29.196,27.939,25.946,24.052,23.002,22.552,22.306,22.163,22.061,21.902,22.325,22.616,22.925,23.52,25.584,9.50446,9.38104,-3.40778,,,,M0717clu,109.3829311,37.7739655,,,,,,,,,,False
4,4.9221,3.849,7.2368,4.9613,2.9867,6.8612,201.839,33.0,1,0.5,,99.0,4.22,201.841,33.0,0.5,1.48189e-44,,1000000000.0,16874.8,9,16316,,,,-0.102,-0.311,-0.507,-1.2,,-1.735,-1.633,24.224,22.644,22.965,,,,,,,29.568,26.338,25.685,25.386,25.215,25.064,24.207,22.874,22.926,22.554,22.258,22.918,8.88939,10.57824,1.24598,,,,M0717clu,109.3814395,37.7737665,,,,,,,,,,False
6,1.0458,0.7656,1.1587,0.9866,0.8458,1.0981,2.06444,28.0,3,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1745.92,10,16380,,,,25.953,24.714,23.263,22.367,35.114,21.614,21.344,21.131,20.439,20.725,20.741,21.444,,26.47,25.888,25.869,24.665,23.259,22.443,22.018,21.805,21.642,21.121,20.702,20.878,21.119,21.441,20.461,9.31992,10.48074,-0.68959,,,,M0717clu,109.3813691,37.7733366,CLASH MACSJ0717.0+3745 1901,109.3813749,37.7733429,G,0.7,D,2017ApJ...835..254M,0.028049550415411528,SIMBAD,True
7,0.14226,0.0,1.1338,0.4257,0.125,0.7972,423.072,1.0,0,0.0,1278000000.0,99.0,0.74,422.97,33.0,0.0,1.42336e-92,,1000000000.0,494550000.0,10,16380,,,,-1.538,-2.593,-3.312,-3.604,10.016,-2.982,-3.974,23.401,23.71,24.312,,,,26.299,26.232,25.696,24.439,23.846,23.635,23.545,23.5,23.476,23.401,23.811,24.164,24.459,25.056,27.067,9.17152,8.55501,-2.24805,,,,M0717clu,109.3858065,37.7727437,,,,,,,,,,False
9,3.8923,3.8026,3.9825,3.8585,3.7901,3.9345,6.65833,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,512.847,11,16381,,27.629,,26.729,24.498,24.208,24.334,24.275,24.219,24.281,24.63,23.774,23.777,,,,,,26.711,24.441,24.273,24.449,24.591,24.686,24.784,24.641,24.596,24.916,24.986,25.087,26.411,9.02982,7.83894,-1.97642,,,,M0717clu,109.395794,37.7727009,,,,,,,,,,False
10,0.0,0.0,8.0,,,,1000000000.0,1.0,0,0.0,4000000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,120006000000.0,12,16383,,0.016,-0.335,-1.623,-3.214,-4.43,-4.938,-5.282,-5.452,-5.621,19.655,19.698,20.122,21.588,21.154,,28.553,26.296,24.731,22.346,20.907,20.318,20.065,19.917,19.797,19.655,19.7,20.121,20.447,21.026,23.057,,,,,,,M0717clu,109.3962437,37.7722171,MACSg J071735.10+374620.0,109.39624,37.772209,G,0.5627,C,2014ApJS..211...21E,0.03100260811935904,SIMBAD,False
11,2.0359,1.4721,2.1159,1.7226,1.552,1.9721,4.01648,28.0,1,0.15,,99.0,1.54,3.5435,28.0,0.15,0.170035,,1000000000.0,2362.45,10,16380,,,,23.369,23.225,22.978,22.235,34.185,21.861,21.831,21.505,21.054,20.967,21.744,,,24.459,23.648,23.345,23.216,23.036,22.3,21.862,21.781,21.753,21.496,21.329,21.254,21.456,21.85,21.478,8.95028,10.40394,0.85354,,,,M0717clu,109.3805084,37.7718533,,,,,,,,,,False
12,0.070299,0.0406,0.0862,0.093,0.0293,0.2406,47.839,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,1838710.0,9,16316,,,,25.983,25.479,25.549,25.519,,25.223,25.575,25.394,,,22.372,22.4,,26.457,26.406,25.812,25.587,25.515,25.564,25.602,25.628,25.636,25.749,26.546,26.945,27.44,27.966,30.206,8.76561,5.75598,-3.34597,,,,M0717clu,109.385497,37.7717042,[MAT2017] MACS0717CLS  476,109.3854669,37.7716911,G,0.5,D,2017ApJ...835..254M,0.09777868990272139,SIMBAD,False
