candidate_family_id,image_number,catalog_index,id,ra,dec,catalog_z,simbad_zspec,simbad_main_id,simbad_system_hint,simbad_match_sep_arcsec,delta_z_from_family_median,color_rms_from_family_median,centroid_radius_arcsec,family_reliability
900001,1,55,304,109.3961903,37.7604279,1.9355,1.854,[MAC2016] M0717cl   2670,,0.36721217582040716,0.0004999999999999449,0.04877851730013889,42.988439256059465,0.9014859198664942
900001,2,168,887,109.3888027,37.7521712,2.0032,1.853,[RJL2014] MACS J0717 14.1,14,0.17085820838933233,0.0015000000000000568,0.11930095871366682,9.154809281439528,0.8410907965300447
900001,3,183,960,109.3810889,37.7504425,2.0296,1.855,[MAC2016] M0717cl   1939,,0.25641502719335435,0.0004999999999999449,0.03154312524148522,13.89543031463262,0.9618910916402466
900001,4,295,1475,109.3763311,37.7446042,1.9312,1.855,[RJL2014] MACS J0717 4.2,4,0.13634434244072108,0.0004999999999999449,0.045619006455643964,37.26439046984658,0.9172431177805567
900002,1,45,219,109.3998558,37.7627666,1.3919,1.4715,[TSB2015] GLASS MACS0717-00341,,0.0037070774663110514,0.0015000000000000568,0.13306013678032969,60.74737021229932,0.7288574395767455
900002,2,323,1610,109.4140271,37.7421872,1.6408,1.47,[MAC2016] M0717cl   1204,,0.013127361553773935,0.0,0.09193000054389201,24.91439381992681,0.9006685456580973
900002,3,463,2142,109.4098687,37.7364732,1.8876,1.467,[TSB2015] GLASS MACS0717-02150,,0.16218520808464046,0.0029999999999998916,0.11949320064338378,38.80858056675586,0.7076416916926418
900003,1,380,1820,109.3985316,37.7414975,1.9254,1.855,[RJL2014] MACS J0717 3.1,3,0.058757788224449756,0.0009999999999998899,0.049022953807374765,7.16299214120628,0.9426343571267419
900003,2,429,2005,109.3944462,37.739174,1.9365,1.857,[RJL2014] MACS J0717 3.2,3,0.14218043623703489,0.001000000000000112,0.049022953807374765,7.163066234905147,0.9426343242272494
900004,1,53,274,109.3967562,37.7615872,1.6908,1.6852,CLASH MACSJ0717.0+3745 3358,,0.16576603711089002,0.0042999999999999705,0.19822430476609074,35.18274532663135,0.499466593397365
900004,2,59,324,109.4029938,37.7600928,1.6443,1.6895,[MAC2016] M0717cl   2535,,0.19227437519844812,0.0,0.11244665401869476,35.76310532424497,0.8540173706705989
900004,3,435,2017,109.388295,37.7338154,2.1058,1.69,CLASH MACSJ0717.0+3745 6554,,0.11180498149245019,0.0004999999999999449,0.02371181140275881,68.48125666434484,0.8327789838330625
900005,1,317,1581,109.3775916,37.7430035,1.3754,1.699,[RJL2014] MACS J0717 12.2,12,0.31035245127268996,0.0,0.08680491777543514,0.5607620497154376,0.9255855982096032
900005,2,349,1700,109.3772888,37.7428042,2.2442,1.699,[RJL2014] MACS J0717 12.2,12,0.9008959659537096,0.0,0.10023368528926162,0.5607624956656906,0.9081675277808777
900006,1,356,1720,109.3800809,37.7450737,1.0158,1.113,[TSB2015] GLASS MACS0717-01609,,0.019771642107523288,0.0007500000000000284,0.0547705440907791,1.1311946050309378,0.9477500201479254
900006,2,364,1748,109.3806198,37.7455356,0.9231,1.1145,[TSB2015] GLASS MACS0717-01540,,0.029308354639987013,0.0007500000000000284,0.0547705440907791,1.1311929820348536,0.9477500202623838
