candidate_family_id,n_images,median_simbad_zspec,max_pair_color_rms,max_pair_separation_arcsec,median_reliability,min_reliability,simbad_system_hint,method,specz_tol,color_rms_max,max_separation_arcsec,reliability_floor,reliability_ceil,min_common_colors,require_simbad_system_hint
900001,4,1.8545,0.16012299959718576,80.25174663783262,0.9093645188235254,0.8410907965300447,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900002,3,1.47,0.21749224124092364,98.85418606115282,0.7288574395767455,0.7076416916926418,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900003,2,1.8559999999999999,0.09804590761474953,14.326058374569287,0.9426343406769957,0.9426343242272494,3,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900004,3,1.6895,0.1996374839552934,103.43897705391127,0.8327789838330625,0.499466593397365,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900005,2,1.699,0.20046737057852324,1.1215245453680338,0.9168765629952405,0.9081675277808777,12,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900006,2,1.11375,0.1095410881815582,2.2623875870641594,0.9477500202051545,0.9477500201479254,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
