IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,1.4487,1.0099,2.0671,1.6246,0.835,2.164,14.985,31.0,0,0.0,,99.0,1.13,15.2918,33.0,0.05,0.000477999,,1000000000.0,42.8712,9,16252,,,,25.649,25.792,25.932,25.4,25.653,,25.703,25.98,22.809,23.045,,21.846,,25.81,25.572,25.643,25.802,25.983,25.674,25.557,25.602,25.688,25.73,25.822,25.867,26.205,26.594,26.41,8.75967,5.27839,-3.82014,,,,M0717clu,109.3152296,37.8060505
2,5.3984,1.1351,8.0,2.2029,0.6799,6.629,5.20457,33.0,0,0.0,,99.0,1.52,2.68758,33.0,0.0,0.260855,,1000000000.0,60.3364,7,16324,,,,38.221,,,,25.433,47.543,25.113,26.316,25.922,25.524,,22.105,,28.575,25.624,25.454,25.643,25.876,26.093,25.991,25.933,25.946,25.979,26.273,26.336,26.472,26.996,26.35,8.91039,8.53451,-1.14417,,,,M0717clu,109.3412541,37.8592066
3,1.9752,1.1238,2.0864,1.6117,0.8573,4.961,0.351241,2.0,0,0.0,640500000.0,99.0,1.57,0.122964,33.0,0.25,0.94037,,1000000000.0,8901980000.0,9,16372,,,,35.229,,35.49,44.421,23.094,44.308,22.928,22.975,22.767,22.687,23.322,21.547,,24.556,24.186,24.111,24.087,24.025,23.341,23.077,23.048,23.036,22.963,22.851,22.789,23.043,23.558,25.43,8.885,9.57673,0.19881,,,,M0717clu,109.3447565,37.8589076
5,6.6586,4.8704,7.9662,5.986,4.8374,7.1872,0.641468,24.0,0,0.15,,99.0,6.26,0.568557,24.0,0.15,0.752557,,1000000000.0,4264.61,10,16380,,,,38.938,37.813,37.08,47.538,25.4,46.9,25.065,24.586,22.666,22.746,26.4,22.11,,,,,32.732,27.578,25.827,25.472,25.296,25.159,24.552,22.924,22.619,22.395,22.14,22.843,8.98414,10.38232,0.82076,,,,M0717clu,109.3427572,37.8587552
6,5.0917,1.134,8.0,1.9757,1.2273,5.0122,0.132538,32.0,1,0.25,,99.0,2.0,0.115662,33.0,0.3,0.943809,,1000000000.0,2920.52,10,16380,,,,35.485,36.376,35.082,44.241,23.089,45.444,22.472,22.365,22.108,21.861,23.842,,,26.489,24.579,23.918,23.676,23.515,23.144,22.741,22.584,22.474,22.363,22.06,21.975,22.082,22.518,21.609,8.99949,10.14531,0.37919,,,,M0717clu,109.3419338,37.8586374
8,7.0078,5.674,8.0,6.6134,5.4994,7.5386,3.97987,27.0,0,0.0,,99.0,7.55,3.75044,27.0,0.0,0.153321,,1000000000.0,2516.51,8,16220,,,,39.702,35.25,37.008,,23.905,,23.956,24.508,23.082,23.421,24.615,24.893,,,,,,27.03,24.348,24.312,24.334,24.357,24.409,23.393,23.358,23.251,23.242,24.05,8.77129,10.48246,1.39059,,,,M0717clu,109.3360706,37.8586724
9,7.655,0.6692,8.0,1.4847,0.4621,5.9362,0.338809,33.0,0,0.0,,99.0,5.2,0.0232506,33.0,0.05,0.988442,,1000000000.0,55.4647,8,16220,,,,38.068,38.206,39.83,,25.228,,25.359,25.577,25.435,25.45,,23.526,,24.812,24.73,24.924,25.137,25.396,25.255,25.298,25.368,25.319,25.536,25.65,25.796,26.216,26.413,26.218,8.92904,8.43455,-1.23076,,,,M0717clu,109.3407337,37.8586844
11,6.7693,5.179,8.0,6.0838,2.6383,7.3382,1.00115,27.0,0,0.0,,99.0,1.55,4.39571,33.0,0.5,0.111041,,1000000000.0,1755.77,9,16376,,,,,35.381,36.663,41.64,24.38,42.011,24.523,24.668,23.354,23.736,22.418,,,,,,30.575,25.926,24.548,24.589,24.605,24.636,24.626,23.659,23.561,23.525,23.513,24.433,8.7975,10.35443,1.22212,,,,M0717clu,109.3369013,37.8584879
13,0.0,0.0,0.0098,0.0124,,0.033,13.1703,1.0,0,0.0,508800000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,3944300.0,9,16364,,,,25.239,24.845,,38.956,19.661,40.007,19.707,20.237,21.406,21.755,21.933,23.144,,20.809,20.747,20.033,19.944,19.955,19.929,19.982,19.991,19.98,20.202,21.012,21.458,21.91,22.466,24.728,8.91173,6.64424,-5.12758,,,,M0717clu,109.339791,37.8573078
14,3.2885,2.9166,3.5548,3.1859,2.6986,3.5926,10.4564,23.0,0,0.0,,99.0,2.73,11.6336,32.0,0.3,0.00297715,,1000000000.0,138.765,9,16364,,,,27.69,26.726,,41.091,25.912,40.316,25.946,25.213,22.952,23.381,21.853,22.506,,,,27.456,26.754,26.644,26.673,26.497,26.313,26.044,25.077,24.555,24.37,24.292,24.254,25.243,8.90515,9.48569,0.07464,,,,M0717clu,109.3334346,37.857393
16,0.0,0.0,0.0612,0.0364,,0.0928,1.09778,31.0,2,0.05,,99.0,0.67,6.49708,33.0,0.0,0.0388309,,1000000000.0,2.42034,10,16380,,,,27.731,30.296,34.675,40.874,20.832,41.455,20.751,21.09,21.625,22.114,,,,21.252,21.304,20.857,20.77,20.822,20.784,20.825,20.839,20.836,21.089,21.624,22.116,22.047,21.013,24.447,8.76522,6.58078,-2.59942,,,,M0717clu,109.3407215,37.8571355
17,0.72338,0.5913,0.7933,0.5789,0.2597,0.7503,15.5846,1.0,0,0.0,1609000000.0,99.0,0.0,17.4251,20.0,0.4,0.000164511,,1000000000.0,960250000.0,8,16220,,,,26.614,25.241,24.19,,23.455,,23.395,23.61,22.53,22.423,23.815,22.08,,27.491,27.133,26.673,25.233,24.228,23.897,23.75,23.663,23.595,23.495,23.675,24.02,24.382,24.916,26.876,9.16977,8.76973,-1.61478,,,,M0717clu,109.3307628,37.8560496
19,1.5658,1.0249,2.0845,1.5571,1.0673,1.9727,0.197865,31.0,1,0.2,,99.0,1.87,0.229059,31.0,0.2,0.891785,,1000000000.0,481.338,7,16204,,,,24.903,24.745,,,23.76,,23.58,23.526,23.247,23.363,26.288,24.927,,25.773,25.099,24.897,24.767,24.62,24.007,23.774,23.731,23.556,23.508,23.346,23.328,23.625,23.916,23.829,8.84556,9.52685,0.25132,,,,M0717clu,109.3435522,37.8559131
21,2.8485,2.5989,3.27,2.6713,0.2615,3.0617,4.86006,33.0,1,0.15,,99.0,0.41,6.55337,33.0,0.2,0.0377532,,1000000000.0,225.451,9,16252,,,,26.504,25.961,25.84,39.381,25.896,,25.832,25.56,24.186,24.512,22.14,,,,28.23,26.367,25.988,25.966,26.004,25.973,25.811,25.659,25.617,25.455,25.444,25.425,25.747,25.794,8.75236,7.57935,-1.49496,,,,M0717clu,109.3316914,37.8557031
