IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,0.0,0.0,8.0,3.855,1.2008,6.6508,315.525,33.0,0,0.0,,99.0,1.74,315.525,33.0,0.0,3.052e-69,,1000000000.0,1790.26,10,16383,,-0.743,-0.979,-1.418,-2.648,-3.311,-3.393,-3.448,-3.371,-3.757,23.284,23.174,23.736,27.434,,,,,25.354,23.084,22.916,23.092,23.234,23.328,23.427,23.284,23.238,23.559,23.628,23.73,25.053,8.99548,10.0298,0.12338,,,,M0717clu,109.3872847,37.7196971
2,0.0,0.0,8.0,3.855,1.2008,6.6508,8.59092,33.0,0,0.0,,99.0,1.55,8.59092,33.0,0.0,0.0136303,,1000000000.0,330.619,10,16383,,-2.832,-1.628,-1.733,-2.944,-2.838,-3.85,-4.035,-4.537,-4.922,25.118,,,21.164,,,,,27.188,24.918,24.75,24.926,25.068,25.162,25.261,25.118,25.072,25.393,25.462,25.564,26.887,8.99548,9.29583,-0.61047,,,,M0717clu,109.3884767,37.7193668
3,0.43976,0.3674,0.508,0.4454,0.378,0.5092,0.283787,7.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,12.3289,8,16380,,,,25.863,24.07,23.006,22.598,36.551,25.505,22.062,21.893,22.076,22.52,24.566,21.921,,29.361,27.915,25.922,24.075,23.01,22.532,22.271,22.127,22.024,21.871,22.374,22.678,23.028,23.618,24.655,9.51672,9.35083,-3.60737,,,,M0717clu,109.3829311,37.7739655
4,0.0,0.0,8.0,3.855,1.2008,6.6508,201.415,33.0,0,0.0,,99.0,1.98,201.415,33.0,0.0,1.8333200000000002e-44,,1000000000.0,752.838,7,16316,,,,-0.102,-0.311,-0.507,-1.2,,-1.735,-1.633,24.224,22.644,22.965,,,,,,26.294,24.024,23.857,24.033,24.175,24.269,24.367,24.224,24.179,24.499,24.569,24.67,25.994,8.99548,9.65315,-0.25265,,,,M0717clu,109.3814395,37.7737665
6,0.75479,0.6979,1.2947,0.9169,0.7279,1.0867,1.05828,27.0,2,0.5,,99.0,1.14,0.757946,2.0,0.0,0.684564,,1000000000.0,1269.53,8,16380,,,,25.953,24.714,23.263,22.367,35.114,21.614,21.344,21.131,20.439,20.725,20.741,21.444,,26.709,26.158,25.855,24.804,23.255,22.461,22.025,21.8,21.62,21.122,20.72,20.949,21.081,21.596,20.404,9.32476,10.45934,-0.75481,,,,M0717clu,109.3813691,37.7733366
7,0.0,0.0,8.0,3.855,1.2008,6.6508,422.925,33.0,0,0.0,,99.0,2.6,422.925,33.0,0.0,1.4555399999999998e-92,,1000000000.0,1606.52,8,16380,,,,-1.538,-2.593,-3.312,-3.604,10.016,-2.982,-3.974,23.401,23.71,24.312,,,,,,25.471,23.201,23.034,23.21,23.352,23.446,23.544,23.401,23.356,23.676,23.746,23.847,25.171,8.99548,9.98232,0.07624,,,,M0717clu,109.3858065,37.7727437
9,3.8911,3.8458,3.9648,3.8619,3.7882,3.9421,2.41421,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,512.581,9,16381,,27.629,,26.729,24.498,24.208,24.334,24.275,24.219,24.281,24.63,23.774,23.777,,,,,,26.712,24.452,24.274,24.45,24.592,24.686,24.784,24.642,24.782,24.917,24.986,25.087,26.411,9.02847,7.80761,-1.99268,,,,M0717clu,109.395794,37.7727009
10,0.0,0.0,8.0,,,,1000000000.0,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,4.34718e-14,10,16383,,0.016,-0.335,-1.623,-3.214,-4.43,-4.938,-5.282,-5.452,-5.621,19.655,19.698,20.122,21.588,21.154,,18.855,19.063,18.84,18.759,19.124,19.163,19.219,19.241,19.259,19.655,20.011,20.647,20.126,19.296,inf,,,,,,,M0717clu,109.3962437,37.7722171
11,1.5044,1.4325,1.7062,1.6666,1.5016,1.9407,1.82806,28.0,1,0.15,,99.0,2.02,1.85246,31.0,0.25,0.396045,,1000000000.0,2209.33,8,16380,,,,23.369,23.225,22.978,22.235,34.185,21.861,21.831,21.505,21.054,20.967,21.744,,,24.336,23.636,23.347,23.224,23.032,22.277,21.895,21.807,21.751,21.499,21.34,21.271,21.494,21.882,21.624,8.95013,10.38593,0.83786,,,,M0717clu,109.3805084,37.7718533
12,2.9945,0.115,3.2569,0.3643,0.0698,3.0033,0.848899,31.0,3,0.05,,99.0,0.06,0.53469,33.0,0.25,0.765409,,1000000000.0,2.99379,7,16316,,,,25.983,25.479,25.549,25.519,,25.223,25.575,25.394,,,22.372,22.4,,25.84,25.913,25.958,25.523,25.457,25.482,25.442,25.444,25.47,25.485,26.184,26.239,26.74,26.491,25.324,8.8146,6.45473,-2.75811,,,,M0717clu,109.385497,37.7717042
