catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
8288,786,2.8828,2.7423,3.0475,2.8972,2.7441,3.0377,2.78137,32.0,3,0.1,,99.0,-99.9,1000000000.0,,,,,1000000000.0,188.597,10,4092,,,,26.611,25.999,26.143,26.253,26.204,26.098,25.732,25.779,25.141,25.548,,,,,30.527,26.603,26.024,26.109,26.102,26.118,25.965,25.753,25.657,25.537,25.529,25.524,25.75,26.115,8.70527,9.0837,0.13668,,,,M0416clu,64.0460261,-24.0688005,CLASHVLT J041611.05-240407.7,64.046032,-24.068796,EmG,2.92119,C,2021A&A...646A..83R,0.025269364577187106,SIMBAD
8289,787,0.0,0.0,0.0211,0.0339,,0.1073,1010.22,1.0,0,0.0,508800000.0,99.0,0.54,1015.75,33.0,0.0,2.71282e-221,,1000000000.0,26832.7,10,4092,,,,28.86,28.167,27.44,27.07,26.964,26.856,26.802,,,,,,,28.63,28.565,27.866,27.688,27.775,27.74,27.793,27.806,27.8,27.991,28.796,29.232,29.696,30.246,32.501,8.77044,4.11631,-5.06371,,,,M0416clu,64.0386989,-24.0687631,[MAC2016] M0416cl   1663,64.038704,-24.068762,G,3.493,E,2016A&A...590A..30M,0.01722509559583424,SIMBAD
8290,789,0.0,0.0,0.0099,0.014,,0.0369,308.793,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.000105827,10,4092,,,,28.241,27.617,27.416,26.652,26.256,26.247,26.133,25.723,,,,,,30.927,29.508,28.1,27.265,26.818,26.52,26.453,26.409,26.35,26.569,27.364,27.823,28.194,28.585,37.176,9.50402,4.25516,-8.63103,,,,M0416clu,64.0523173,-24.0687991,[MAC2016] M0416cl   1669,64.052315,-24.068804,G,1.7595,E,2016A&A...590A..30M,0.019191790321607203,SIMBAD
8291,790,0.0,0.0,0.0217,0.0305,,0.0807,344.599,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.000220581,10,4092,,,,30.697,29.197,28.505,27.783,27.508,27.309,27.268,,23.497,,,,,33.109,31.341,29.788,28.656,28.06,27.649,27.552,27.504,27.434,27.578,28.379,28.833,29.28,29.777,36.26,9.53455,4.83398,-8.44831,,,,M0416clu,64.0414977,-24.0681141,[MAC2016] M0416cl   1720,64.041496,-24.068115,G,1.41,E,2016A&A...590A..30M,0.006459304721411462,SIMBAD
8292,793,1.1952,1.148,1.3127,1.2349,1.1459,1.375,14.3831,33.0,1,0.1,,99.0,1.52,18.3928,33.0,0.1,0.000101402,,1000000000.0,36.9459,10,4092,,,,25.96,26.011,26.053,25.99,25.788,25.379,25.249,26.249,25.569,28.325,,,,26.004,25.934,25.953,26.047,25.973,25.711,25.802,25.576,25.435,25.793,25.822,26.062,26.496,26.605,26.071,8.86628,4.77869,-4.56406,,,,M0416clu,64.0207602,-24.0691006,[MAC2016] M0416cl   1647,64.02076,-24.069094,G,2.345,E,2016A&A...590A..30M,0.023769092802873548,SIMBAD
8293,795,0.0,0.0,0.0168,0.0214,,0.0596,61.3134,24.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00341673,10,4092,,,,26.213,25.649,25.21,25.126,25.102,25.056,25.097,25.357,26.18,,,,,27.177,26.909,26.003,25.59,25.364,25.217,25.193,25.165,25.125,25.304,26.08,26.485,26.203,25.122,31.416,9.06327,5.12467,-4.75183,,,,M0416clu,64.0276385,-24.0689483,[MAC2016] M0416cl   1688,64.027641,-24.068945,G,0.42,D,2017ApJ...835..254M,0.014445126394929713,SIMBAD
8294,797,0.0,0.0,0.0324,0.0343,0.0101,0.0762,188.16,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0106802,10,4092,,,,26.151,25.665,26.023,26.431,26.377,26.311,26.375,26.194,,,,,,25.916,26.117,25.905,25.824,26.204,26.239,26.296,26.322,26.339,26.692,27.058,27.71,27.431,26.333,30.793,8.70283,3.94248,-5.01526,,,,M0416clu,64.0243104,-24.0689204,[MAC2016] M0416cl   1655,64.024315,-24.068918,G,0.3477,E,2016A&A...590A..30M,0.017414650251365512,SIMBAD
8295,803,0.0,0.0,0.0139,0.0184,,0.0465,106.323,24.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00228492,10,4092,,,,26.486,26.178,26.083,25.977,25.676,25.429,25.272,25.021,,,,,,27.614,27.346,26.44,26.027,25.801,25.654,25.63,25.601,25.561,25.74,26.517,26.922,26.64,25.559,31.852,9.02692,4.83632,-4.9896,,,,M0416clu,64.0560751,-24.0690446,[MAC2016] M0416cl   1671,64.056084,-24.06905,G,0.44,D,2017ApJ...835..254M,0.035124435112841655,SIMBAD
8296,804,0.0,0.0,0.0447,0.0439,0.0117,0.1008,45.3651,25.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00822515,10,4092,,,,26.759,26.194,26.023,26.135,26.103,26.008,25.726,25.384,,,,,,27.671,27.461,26.619,26.192,26.041,25.904,25.888,25.866,25.833,25.972,26.772,27.166,27.099,25.814,30.172,8.95173,5.68042,-3.91833,,,,M0416clu,64.0213809,-24.0691243,[MAC2016] M0416cl   1683,64.021378,-24.069118,G,3.0549,E,2016A&A...590A..30M,0.02460176528723622,SIMBAD
8297,806,0.0,0.0,0.0961,0.1011,0.0236,0.345,208.358,1.0,0,0.0,508800000.0,99.0,0.54,209.854,33.0,0.0,2.69572e-46,,1000000000.0,126669.0,10,4092,,,,29.406,29.278,29.308,29.085,28.527,28.608,28.192,,,,,,,29.591,29.548,29.005,28.747,28.714,28.701,28.737,28.765,28.776,28.878,29.671,30.063,30.564,31.087,33.324,8.94969,4.9084,-5.07938,,,,M0416clu,64.0309557,-24.0621631,[MAC2016] M0416cl   2183,64.030968,-24.062157,G,2.24585,E,2016A&A...590A..30M,0.04601094217588691,SIMBAD
