IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1363,0.39389,0.3824,0.4061,0.3954,0.3812,0.4152,174.577,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,366.883,10,4092,,,,23.614,21.905,20.957,20.49,20.19,20.03,19.909,18.568,19.172,19.43,,,,25.881,24.848,23.647,21.941,20.949,20.482,20.19,20.0,19.835,19.414,19.815,20.071,20.424,20.215,19.332,9.56001,10.10795,-3.43133,,,,M0416clu,64.0438117,-24.0786044,24.796599946447806,-12.79835999999932,27.904648135996233,pagul21_photoz_f160w_radius,0.3156154378665411,False
332,0.40787,0.3989,0.4158,0.4075,0.396,0.4187,228.996,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,293.166,10,4092,,,,24.308,22.204,21.177,20.613,20.295,20.115,19.968,18.523,19.086,19.37,,,,26.27,25.23,23.991,22.248,21.161,20.634,20.297,20.063,19.868,19.4,19.784,19.983,20.322,20.143,19.245,9.64459,10.32506,-4.29155,,,,M0416clu,64.0425286,-24.0632373,20.579251865609486,42.523199999996564,47.241170027719456,pagul21_photoz_f160w_radius,0.9482496675906488,False
1662,0.39124,0.3803,0.403,0.3995,0.3575,0.4714,85.3434,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,279.925,10,4092,,,,23.975,22.097,21.103,20.566,20.288,20.17,19.989,18.887,19.71,19.916,,,,26.23,25.193,23.958,22.209,21.14,20.616,20.275,20.043,19.85,19.383,19.787,19.985,20.33,20.121,19.238,9.57759,10.22381,-3.46478,,,,M0416clu,64.0320473,-24.0924761,-13.87113426123705,-62.736479999996675,64.25164813826372,pagul21_photoz_f160w_radius,1.5378031046087912,False
53,0.39742,0.3869,0.4091,0.3963,0.3831,0.4099,177.096,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,320.259,10,4092,,,,23.825,22.048,21.105,20.63,20.337,20.181,20.058,18.695,19.331,19.605,,,,26.028,24.996,23.795,22.082,21.091,20.624,20.337,20.147,19.983,19.562,19.962,20.219,20.571,20.362,19.479,9.55519,10.04604,-3.3905,,,,M0416clu,64.037805,-24.0555783,5.053520905847908,70.09559999999766,70.27752992888634,pagul21_photoz_f160w_radius,1.7894813309628783,False
679,0.4472,0.4307,0.4553,0.4434,0.4087,0.4971,89.8319,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,406.019,10,4092,,,,24.119,22.097,21.144,20.739,20.476,20.306,20.092,19.122,19.72,20.079,,,,26.022,24.985,23.812,22.192,21.166,20.717,20.46,20.27,20.106,19.692,20.036,20.276,20.625,20.539,19.591,9.49899,10.08115,-2.51007,,,,M0416clu,64.0326858,-24.0701525,-11.772485091593275,17.62848000000332,21.19798840320239,pagul21_photoz_f160w_radius,0.16013011344007988,False
932,0.45888,0.4546,0.4634,0.4569,0.4439,0.4674,227.576,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,398.423,10,4092,,,,24.277,22.287,21.301,20.781,20.496,20.309,20.144,18.697,19.259,19.586,,,,26.314,25.261,24.04,22.374,21.276,20.777,20.495,20.295,20.126,19.689,20.0,20.229,20.57,20.557,19.565,9.57367,10.1321,-3.52993,,,,M0416clu,64.0382343,-24.0717646,6.464562548013628,11.82491999999371,13.476620568355841,pagul21_photoz_f160w_radius,-0.08669131438813871,True
751,0.34254,0.3292,0.3565,0.3466,0.3265,0.3657,229.46,25.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,199.034,10,4092,,,,23.831,22.143,21.359,20.893,20.608,20.425,20.263,18.922,19.347,19.431,,,,25.974,24.948,23.843,22.192,21.326,20.906,20.6,20.422,20.267,19.869,20.348,20.625,21.001,20.637,19.841,9.52273,9.76353,-3.15303,,,,M0416clu,64.0441917,-24.0687164,26.045600235339172,22.798440000001108,34.61419012562262,pagul21_photoz_f160w_radius,0.7148298375207552,False
590,0.39292,0.3864,0.4011,0.3924,0.3812,0.4041,107.166,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,240.68,10,4092,,,,24.109,22.266,21.346,20.849,20.577,20.434,20.295,19.204,19.848,20.104,,,,26.248,25.216,24.021,22.305,21.33,20.867,20.577,20.388,20.225,19.805,20.22,20.481,20.838,20.598,19.728,9.54381,9.95142,-3.32919,,,,M0416clu,64.0441184,-24.0665263,25.80467465330355,30.68280000000101,40.09133883774535,pagul21_photoz_f160w_radius,0.8804179612581792,False
2120,0.27735,0.2633,0.2856,0.2674,0.2454,0.2839,17.947,31.0,2,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,305.545,10,4092,,,,22.331,21.433,20.794,20.645,20.447,20.437,20.344,19.875,20.559,20.884,,,,23.365,22.907,22.322,21.403,20.798,20.654,20.446,20.37,20.309,20.103,20.61,20.657,21.141,20.69,19.724,9.04862,9.83009,-0.06422,,,,M0416clu,64.0322986,-24.0854269,-13.045150649113022,-37.35936000000635,39.5714257396436,pagul21_photoz_f160w_radius,0.8984370246547875,False
629,0.46515,0.4553,0.4792,0.4667,0.4532,0.4802,178.549,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,330.436,10,4092,,,,24.452,22.572,21.602,21.062,20.758,20.58,20.44,19.076,19.631,19.939,,,,26.601,25.544,24.323,22.667,21.551,21.058,20.758,20.558,20.388,19.947,20.241,20.471,20.809,20.839,19.819,9.58659,10.05689,-3.81183,,,,M0416clu,64.0340824,-24.0667438,-7.182080345520847,29.89979999999548,30.750289724313927,pagul21_photoz_f160w_radius,0.6039791574771317,False
