IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
435,0.5718,0.0138,0.6682,0.3441,0.1335,0.5799,0.930082,1.0,0,0.0,2000000000.0,99.0,0.11,0.627851,8.0,0.0,0.730574,,1000000000.0,62289800.0,8,4092,,,,28.111,26.839,26.045,25.753,25.638,25.591,25.513,25.521,,,,,,30.074,29.658,28.289,26.788,26.101,25.798,25.65,25.598,25.568,25.401,25.974,26.321,26.72,27.288,29.379,9.31533,7.50121,-3.75325,,,,M0416clu,64.0612697,-24.0626551
436,2.0507,1.7974,2.0825,1.8727,1.7421,2.0402,5.80887,32.0,1,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,7273.88,8,4092,,,,25.062,24.684,24.19,23.429,22.886,22.702,22.566,21.91,21.442,21.36,,,,28.387,26.44,25.36,24.736,24.203,23.453,22.883,22.661,22.493,21.941,21.285,21.085,21.15,21.461,20.489,9.09936,10.39989,0.31626,,,,M0416clu,64.0230837,-24.0628968
437,0.32371,0.0354,0.6326,0.3863,0.1738,0.7328,0.122572,27.0,3,0.3,,99.0,0.68,1.17609,30.0,0.3,0.555412,,1000000000.0,2.54703,8,4092,,,,28.32,26.941,26.328,25.961,25.771,25.72,25.671,25.434,,,,,,29.126,28.916,28.278,26.997,26.354,25.954,25.798,25.703,25.644,25.448,25.831,25.991,26.484,26.296,25.109,9.36486,7.5206,-4.12024,,,,M0416clu,64.024054,-24.0626979
438,2.0043,1.3881,2.8974,2.0038,1.1939,2.603,0.609813,32.0,1,0.25,,99.0,2.57,0.64844,32.0,0.25,0.723091,,1000000000.0,82.2325,8,4092,,,,27.95,27.485,27.573,27.282,26.674,26.508,26.312,26.242,,,,,,30.493,28.499,27.819,27.576,27.414,27.042,26.638,26.463,26.346,26.24,25.957,25.873,25.971,26.405,25.512,8.8922,8.66689,-0.6944,,,,M0416clu,64.0315666,-24.0626563
439,1.1283,0.6608,1.4253,1.071,0.4841,1.8268,0.240687,32.0,2,0.1,,99.0,0.78,0.769913,33.0,0.15,0.68048,,1000000000.0,14.6522,8,4092,,,,26.884,26.948,26.605,26.479,26.404,26.316,26.369,26.35,,,,,,26.868,26.832,26.881,26.908,26.633,26.425,26.352,26.348,26.41,26.326,26.368,26.674,27.08,27.167,26.242,8.73179,7.76254,-1.21626,,,,M0416clu,64.0297531,-24.0627091
440,0.0,0.0,8.0,3.855,1.2008,6.6508,32.6125,33.0,0,0.0,,99.0,1.98,32.6125,33.0,0.0,8.28481e-08,,1000000000.0,87.9159,8,4092,,,,-1.787,-2.09,-2.001,-1.949,-1.805,-2.296,-2.634,26.556,,28.724,,,,,,28.626,26.356,26.188,26.364,26.506,26.601,26.699,26.556,26.511,26.831,26.901,27.002,28.325,8.99548,8.72097,-1.18546,,,,M0416clu,64.0234786,-24.059122
441,1.5323,1.1372,1.573,1.8041,0.5497,2.561,2.30689,32.0,1,0.1,,99.0,1.99,1.02051,31.0,0.05,0.600341,,1000000000.0,39.4635,8,4092,,,,26.83,26.777,26.911,26.903,26.741,26.429,26.322,26.698,27.726,,,,,27.865,27.021,26.815,26.83,26.892,26.663,26.421,26.419,26.441,26.397,26.332,26.323,26.567,26.945,26.12,8.75453,6.39932,-2.73762,,,,M0416clu,64.0272947,-24.0628082
442,1.9761,1.1389,2.059,1.5204,0.093,2.4127,2.64131,33.0,0,0.0,,99.0,0.0,2.59764,33.0,0.0,0.272854,,1000000000.0,7.9671,8,4092,,,,27.06,27.239,27.602,27.846,27.684,27.794,27.242,,,,,,,26.989,26.886,27.073,27.286,27.526,27.378,27.361,27.439,27.258,27.699,27.809,27.937,28.344,28.559,28.334,8.74909,4.63441,-4.46642,,,,M0416clu,64.0503016,-24.0591127
443,1.9842,1.2566,2.166,1.8901,1.4003,2.1493,1.22952,31.0,1,0.2,,99.0,1.41,1.2528,33.0,0.25,0.534512,,1000000000.0,228.276,8,4092,,,,26.133,26.0,25.849,25.602,25.172,24.907,24.796,24.909,26.296,26.787,,,,28.102,26.65,26.167,25.999,25.885,25.455,25.123,24.95,24.866,24.784,24.563,24.494,24.635,25.08,24.442,8.82895,9.14521,-0.08025,,,,M0416clu,64.027129,-24.0629421
445,0.0,0.0,3.4645,1.7014,0.3266,4.0158,1.12986,33.0,1,0.15,,99.0,0.53,0.826346,29.0,0.0,0.661548,,1000000000.0,5.07084,8,4092,,,,29.615,29.226,29.019,28.612,28.928,28.466,28.878,,,,,,,30.051,29.39,29.246,29.225,29.267,28.967,28.74,28.757,28.881,28.8,28.696,28.698,28.983,29.246,28.659,8.8676,7.21465,-2.20104,,,,M0416clu,64.0258645,-24.0591299
446,1.1448,0.8683,1.2752,0.9785,0.6982,1.2718,3.67367,1.0,0,0.0,718700000.0,99.0,0.0,6.52862,20.0,0.0,0.0382233,,1000000000.0,267369000.0,8,4092,,,,26.878,26.991,26.177,25.576,25.801,25.531,25.645,26.073,23.97,25.425,,,,26.985,26.972,26.98,26.907,26.078,25.784,25.698,25.692,25.736,25.691,25.706,26.01,26.407,26.866,28.865,8.83333,8.2408,-0.98216,,,,M0416clu,64.0403735,-24.0629032
447,0.0,0.0,0.237,0.8576,0.209,3.0064,3.22076,1.0,0,0.0,904800000.0,99.0,0.55,2.441,1.0,0.0,0.295082,,1000000000.0,49813700.0,8,4092,,,,29.599,28.369,27.994,27.578,27.427,27.638,27.202,30.462,,,,,,29.189,29.123,29.126,28.791,27.771,27.553,27.449,27.425,27.431,27.406,27.417,27.791,28.145,28.613,30.596,9.01388,7.28489,-2.52574,,,,M0416clu,64.0489545,-24.0591898
448,1.1784,1.1236,1.5733,1.0923,0.0937,2.0049,3.20247,32.0,0,0.0,,99.0,0.0,2.16359,32.0,0.1,0.338987,,1000000000.0,4.28721,8,4092,,,,27.409,27.517,27.443,27.069,27.8,27.309,27.279,28.573,,,,,,27.118,27.209,27.33,27.542,27.462,27.356,27.366,27.402,27.496,27.517,27.659,27.988,28.434,28.529,27.656,8.77793,4.78766,-4.37537,,,,M0416clu,64.0219779,-24.062846
449,0.5274,0.4319,0.6745,0.4868,0.1384,0.6393,0.406126,32.0,1,0.3,,99.0,0.18,1.73786,32.0,0.4,0.419399,,1000000000.0,21.5331,8,4092,,,,26.188,25.597,25.066,24.773,24.733,24.589,24.565,24.353,23.83,24.988,,,,26.553,26.372,26.188,25.569,25.086,24.769,24.726,24.626,24.552,24.408,24.785,24.771,25.211,25.24,23.822,8.99432,8.16399,-1.46148,,,,M0416clu,64.0364259,-24.0630939
450,1.4082,1.1366,1.5669,1.1366,0.1561,2.4382,11.0447,33.0,3,0.15,,99.0,0.0,11.3659,33.0,0.4,0.00340359,,1000000000.0,4.90626,8,4092,,,,28.895,28.758,28.791,28.554,27.734,27.377,27.448,,,,,,,28.571,28.47,28.559,28.505,28.236,27.973,28.092,27.768,27.677,27.921,27.914,28.179,28.594,28.681,27.912,8.84755,7.47091,-1.81418,,,,M0416clu,64.0427125,-24.0592238
451,0.78794,0.7084,0.9678,0.8123,0.6898,0.9382,2.38099,23.0,0,0.05,,99.0,0.45,9.10244,32.0,0.5,0.0105543,,1000000000.0,23.9035,8,4092,,,,26.215,25.704,24.59,24.201,24.038,23.974,23.885,23.464,23.535,23.811,,,,26.499,26.316,26.212,25.728,24.659,24.201,24.017,23.928,23.816,23.562,23.471,23.912,24.175,24.649,23.288,9.06786,9.03553,-0.89123,,,,M0416clu,64.0590112,-24.0632822
452,0.0,0.0,0.159,1.0802,0.2228,3.416,6.0596,1.0,0,0.0,640500000.0,99.0,1.18,4.89263,33.0,0.2,0.0866123,,1000000000.0,33174100.0,8,4092,,,,29.831,29.264,28.483,28.41,28.413,28.122,27.857,,,,,,,29.226,29.204,29.185,29.196,28.564,28.158,28.076,28.077,28.14,28.077,28.108,28.342,28.769,29.229,31.222,8.90132,7.19862,-2.296,,,,M0416clu,64.0522069,-24.0592082
453,0.47902,0.0,1.104,0.5227,0.1915,1.0418,0.11194,25.0,0,0.15,,99.0,0.15,0.113411,27.0,0.4,0.944872,,1000000000.0,1.18217,8,4092,,,,28.736,27.783,27.078,26.679,26.625,26.444,26.439,26.233,,,,,,29.474,29.166,28.777,27.781,27.023,26.733,26.609,26.508,26.427,26.259,26.583,26.887,27.236,27.509,26.344,9.27266,7.37614,-3.69824,,,,M0416clu,64.0299634,-24.0630672
454,1.4107,1.1278,2.0477,1.4445,0.1811,2.3468,0.652485,33.0,1,0.05,,99.0,1.98,0.900407,32.0,0.05,0.637499,,1000000000.0,8.54185,8,4092,,,,27.416,27.516,27.738,27.64,27.216,27.212,27.131,28.101,,,,,,27.406,27.262,27.383,27.528,27.662,27.384,27.41,27.528,27.221,27.622,27.679,27.826,28.24,28.406,28.23,8.76314,5.97391,-3.19741,,,,M0416clu,64.0494535,-24.0592655
455,1.3569,1.1649,1.4391,1.3963,1.2345,1.7109,1.01417,32.0,2,0.15,,99.0,1.89,2.87163,31.0,0.15,0.237921,,1000000000.0,137.568,8,4092,,,,25.449,25.426,25.313,24.686,24.771,24.451,24.408,24.497,23.165,24.651,,,,25.841,25.478,25.437,25.437,25.272,24.766,24.687,24.532,24.394,24.59,24.508,24.62,25.002,25.124,24.956,8.73916,8.91294,-0.1018,,,,M0416clu,64.0398913,-24.0631933
457,0.071193,0.0,0.8125,0.5354,0.1717,1.4153,0.749991,1.0,0,0.0,1434000000.0,99.0,0.59,0.685788,1.0,0.0,0.709713,,1000000000.0,24665300.0,8,4092,,,,30.195,28.59,27.807,27.5,27.469,27.293,27.239,27.58,,,,,,30.669,30.443,30.016,28.682,27.814,27.525,27.401,27.325,27.267,27.173,27.408,27.721,28.064,28.609,30.571,9.26749,7.09371,-3.96242,,,,M0416clu,64.0255887,-24.0630723
