IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,5.5251,5.3507,5.6115,5.3094,4.9474,5.5397,16.8026,33.0,0,0.0,,99.0,4.96,19.8223,33.0,0.05,4.9619e-05,,1000000000.0,449.269,9,3580,,,,28.433,27.775,25.225,24.61,24.514,24.693,24.662,,25.108,26.339,,,,,,,27.447,25.18,24.951,25.058,25.139,25.223,25.538,25.466,25.45,25.594,25.676,26.68,9.491,8.34929,-4.2464,,,,M0416clu,64.1463443,-24.1372226
2,1.3302,1.123,1.4174,1.2668,1.1679,1.3782,0.213581,29.0,2,0.3,,99.0,1.67,4.99283,26.0,0.15,0.0823798,,1000000000.0,700.807,8,3548,,,,25.324,24.955,24.203,,22.909,22.396,22.636,,22.237,22.189,,,,26.133,25.561,25.313,24.967,24.202,23.314,23.094,22.868,22.698,22.455,22.197,22.261,22.589,22.854,22.644,9.09872,9.92803,-0.15223,,,,M0416clu,64.1302034,-24.0896673
3,0.0,0.0,0.2952,0.9241,0.1877,4.7033,4.65225,27.0,0,0.0,,99.0,6.93,4.2111,33.0,0.0,0.121779,,1000000000.0,9.50306,7,3560,,,,,28.013,,25.316,25.108,24.876,24.502,,25.959,26.642,,,,26.651,26.7,26.777,26.737,25.929,25.732,25.617,25.605,25.648,25.638,25.724,26.111,26.384,26.91,25.719,9.17436,8.00849,-2.69458,,,,M0416clu,64.1314217,-24.0908862
4,0.0,0.0,0.1139,0.1949,0.0445,0.5009,6.0391,24.0,0,0.0,,99.0,0.55,5.77864,27.0,0.0,0.055614,,1000000000.0,0.149164,9,3580,,,,27.151,26.936,26.151,26.072,25.815,26.021,25.95,,27.548,26.46,,,,28.048,27.982,27.41,26.612,26.296,26.148,26.08,26.067,26.048,25.981,26.726,27.081,27.446,26.366,26.779,9.18031,6.24694,-4.49142,,,,M0416clu,64.1317053,-24.0901428
5,0.54798,0.4944,0.6579,0.5302,0.1765,0.6214,0.599148,29.0,1,0.15,,99.0,0.1,1.63901,31.0,0.4,0.440651,,1000000000.0,55.6773,9,3580,,,,24.552,23.911,23.342,23.165,23.096,23.064,23.002,,23.207,23.548,,,,24.751,24.674,24.573,23.89,23.366,23.144,23.102,23.032,22.986,22.959,23.289,23.568,23.809,24.126,22.841,8.90109,8.8681,-0.53539,,,,M0416clu,64.1318831,-24.090569
6,1.7792,1.0561,2.8421,2.1038,0.9705,6.2426,4.70777,1.0,0,0.0,1139000000.0,99.0,2.48,4.9938,33.0,0.4,0.0823399,,1000000000.0,53717300.0,9,3580,,,,31.962,31.28,32.221,30.381,29.66,29.661,29.725,,,27.501,,,,34.084,32.152,31.81,31.647,31.511,30.879,30.123,29.806,29.658,29.433,29.31,29.28,29.277,29.7,31.598,9.09266,7.37103,-2.6292,,,,M0416clu,64.1315305,-24.0902195
7,0.48301,0.3198,0.6745,2.6169,0.5392,3.4963,0.167455,18.0,0,0.3,,99.0,2.94,0.0200813,22.0,0.3,0.99001,,1000000000.0,34508.8,5,3292,,,,26.6,24.488,23.313,,20.96,21.929,,,,,,,,,30.503,26.625,24.457,23.328,22.119,21.398,20.709,20.129,19.078,18.032,17.684,17.413,17.62,17.853,9.49229,9.41104,-3.21316,,,,M0416clu,64.1279981,-24.0906067
8,7.9918,6.3446,8.0,3.2095,0.9133,6.6061,12.2918,33.0,3,0.2,,99.0,7.46,10.0324,33.0,0.0,0.00662983,,1000000000.0,117.036,9,3580,,,,,27.115,,25.616,24.684,25.142,25.033,,27.036,26.917,,,,,,28.778,27.681,27.556,27.512,27.406,27.281,27.114,26.646,26.678,26.579,26.538,26.63,27.334,9.02181,8.45014,-1.43792,,,,M0416clu,64.1319395,-24.0899807
9,0.0,0.0,0.1558,0.2872,0.058,1.2938,5.29771,33.0,1,0.2,,99.0,0.36,5.27521,33.0,0.15,0.0715323,,1000000000.0,0.921168,9,3580,,,,27.421,27.157,27.299,27.501,26.99,26.751,26.667,,,26.359,,,,27.652,27.628,27.58,27.117,26.933,26.908,26.815,26.789,26.774,26.729,27.416,27.254,27.91,27.303,26.256,8.86842,5.97536,-3.45809,,,,M0416clu,64.1312368,-24.0902938
10,0.0,0.0,0.0451,0.0576,0.0142,0.2263,76.0222,26.0,0,0.05,,99.0,0.39,80.5555,31.0,0.05,3.2181400000000003e-18,,1000000000.0,0.00655414,9,3580,,,,27.89,27.824,28.115,27.14,26.645,26.851,26.861,,,,,,,29.037,28.817,28.032,27.606,27.435,27.284,27.256,27.232,27.2,27.288,28.098,28.478,28.546,27.166,30.117,8.9258,4.92804,-4.68719,,,,M0416clu,64.1348647,-24.0912281
11,0.0,0.0,0.2279,0.2985,0.073,0.9427,93.4341,3.0,0,0.0,,99.0,1.2,93.7647,33.0,0.0,4.35764e-21,,1000000000.0,0.024157,7,3568,,,,,,28.918,28.725,28.414,28.48,28.318,,,,,,,33.493,32.728,31.095,29.551,28.897,28.617,28.445,28.38,28.346,28.223,29.02,29.245,29.657,30.081,30.694,9.11867,6.03643,-4.64693,,,,M0416clu,64.1315645,-24.0907401
12,0.4862,0.2253,0.6111,0.5778,0.2709,0.7342,1.62758,31.0,1,0.25,,99.0,0.09,2.63166,31.0,0.4,0.268251,,1000000000.0,33.7235,9,3580,,,,25.803,25.319,24.778,24.468,24.382,24.318,24.319,,24.585,24.389,,,,26.135,25.974,25.836,25.305,24.77,24.512,24.449,24.349,24.266,24.179,24.416,24.724,24.828,25.235,23.987,8.85386,8.38069,-0.89181,,,,M0416clu,64.1275356,-24.0914176
13,0.0,0.0,0.4989,0.3185,0.0775,1.4831,2.57973,28.0,0,0.0,,99.0,1.18,3.77815,33.0,0.1,0.151212,,1000000000.0,0.94885,7,3556,,,,27.138,,,25.76,25.232,25.493,25.746,,,25.69,,,,26.746,26.845,26.796,26.097,25.96,25.935,25.903,25.921,25.96,25.957,26.664,26.818,27.326,26.993,25.871,8.97695,6.83411,-3.22994,,,,M0416clu,64.1313436,-24.0897649
14,0.0,0.0,0.04,0.0567,0.0142,0.1526,24.6154,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00288342,9,3580,,,,28.517,28.073,27.013,26.896,26.687,26.727,26.714,,,,,,,31.672,30.057,28.692,27.681,27.212,26.885,26.797,26.764,26.716,26.846,27.626,28.04,28.468,28.865,32.217,9.47829,5.46782,-7.15013,,,,M0416clu,64.1293719,-24.091436
15,0.0,0.0,0.2929,0.332,0.0645,1.4624,14.2935,33.0,0,0.0,,99.0,1.18,13.4616,33.0,0.0,0.00119356,,1000000000.0,0.438871,9,3580,,,,26.744,27.883,28.11,26.151,26.225,25.783,26.179,,,,,,,26.998,27.171,27.402,27.237,27.34,27.496,27.511,27.535,27.572,27.646,28.461,28.301,28.984,28.473,27.304,8.9339,6.24967,-3.70612,,,,M0416clu,64.1315244,-24.0898151
16,0.0,0.0,0.0352,0.064,0.0153,0.1955,64.654,3.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00264413,8,3576,,,,,28.085,27.52,27.265,27.078,27.232,26.974,,,,,,,31.57,30.118,28.767,27.877,27.499,27.235,27.161,27.139,27.105,27.262,28.025,28.394,28.774,29.121,32.162,9.35724,5.24565,-6.45216,,,,M0416clu,64.1336374,-24.0914464
19,6.0355,6.0089,6.0522,6.0319,6.0059,6.0554,265.18,33.0,1,0.05,,99.0,-99.9,1000000000.0,,,,,1000000000.0,29337.5,9,3580,,,,27.042,24.651,22.314,21.321,21.062,21.024,20.977,,21.77,22.192,,,,,,,26.666,22.276,21.065,21.133,21.172,21.219,21.434,21.242,21.229,21.383,21.391,22.151,9.6424,10.49135,-4.159,,,,M0416clu,64.1353706,-24.0921905
20,0.0,0.0,0.0337,0.035,,0.0862,15.3975,5.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00144855,9,3580,,,,28.267,26.793,26.332,26.121,26.023,25.941,25.902,,,,,,,30.651,29.145,27.757,26.855,26.4,26.088,26.015,25.976,25.921,26.103,26.892,27.333,27.728,28.122,33.786,9.49258,5.39554,-7.36462,,,,M0416clu,64.1281277,-24.0919012
22,0.070333,0.0122,0.1682,0.1152,0.0445,0.2433,0.472124,3.0,0,0.0,,99.0,0.43,4.81712,1.0,0.0,0.0899446,,1000000000.0,0.163071,9,3580,,,,26.096,25.053,24.553,24.366,24.248,24.212,24.177,,25.055,25.437,,,,28.867,27.501,26.124,25.036,24.613,24.337,24.234,24.211,24.188,24.258,25.025,25.339,25.776,26.128,27.676,9.39225,6.91225,-4.97429,,,,M0416clu,64.1317046,-24.0919028
23,8.0,1.7183,8.0,4.4598,1.8105,6.9383,38.5824,18.0,0,0.5,,99.0,6.58,38.3192,18.0,0.5,4.77622e-09,,1000000000.0,10.6275,7,3544,,,,,,24.078,,18.727,19.513,19.486,,,28.542,,,,,,,40.486,37.193,35.359,34.462,33.777,33.165,31.142,29.101,28.541,27.882,27.336,28.203,8.98034,7.9463,-1.81761,,,,M0416clu,64.1300323,-24.0904109
24,0.0,0.0,0.0503,0.1288,0.0334,0.284,5.07642,13.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0589671,9,3580,,,,26.897,26.492,25.456,24.981,24.788,24.757,24.685,,25.462,26.007,,,,29.767,28.884,27.523,26.157,25.519,25.011,24.812,24.758,24.713,24.649,25.414,25.71,26.07,25.054,26.212,9.52797,7.80822,-5.43134,,,,M0416clu,64.1314096,-24.0921096
25,2.7366,0.6763,3.581,2.2162,0.4463,3.4361,1.04057,33.0,1,0.3,,99.0,0.03,0.488516,33.0,0.5,0.783286,,1000000000.0,901.094,5,3292,,,,26.147,25.164,25.7,,24.614,24.689,,,,,,,,30.458,26.866,25.868,25.525,25.306,25.137,24.761,24.544,24.415,23.999,23.843,23.75,23.753,24.145,23.447,8.93652,9.40389,0.03518,,,,M0416clu,64.1287712,-24.0912534
26,0.36977,0.2818,0.5311,0.4325,0.3218,0.5545,3.28147,27.0,3,0.4,,99.0,0.73,7.03789,31.0,0.4,0.0296307,,1000000000.0,434.679,9,3580,,,,23.784,22.097,21.547,21.001,20.765,20.623,20.496,,20.349,20.614,,,,24.698,24.539,23.661,22.289,21.459,20.945,20.701,20.563,20.463,20.208,20.472,20.591,21.078,20.975,19.791,9.20181,10.11762,-0.452,,,,M0416clu,64.1271487,-24.0924
28,0.084953,0.0,0.2977,0.1533,0.0395,0.3934,2.56624,1.0,0,0.0,508800000.0,99.0,0.38,2.90128,31.0,0.0,0.23442,,1000000000.0,2429640.0,9,3580,,,,26.694,26.426,26.343,26.418,26.478,26.411,26.49,,,29.506,,,,27.264,27.261,26.793,26.422,26.333,26.399,26.416,26.45,26.471,26.523,27.297,27.663,28.182,28.7,30.921,8.7687,5.45629,-3.66291,,,,M0416clu,64.1304302,-24.0922166
29,3.2635,3.0863,3.5031,3.3563,3.1872,3.5115,0.376594,32.0,1,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1587.48,9,3580,,,,27.296,25.772,25.324,25.276,25.119,24.979,24.779,,23.943,23.823,,,,,,27.335,25.758,25.356,25.206,25.119,25.065,24.79,24.069,23.91,23.742,23.669,23.673,24.487,8.90924,10.05504,0.63102,,,,M0416clu,64.1361502,-24.0920747
30,7.965,4.1426,8.0,7.0725,6.1881,7.7037,0.531723,18.0,0,0.5,,99.0,4.58,1.34397,6.0,0.0,0.510694,,1000000000.0,14308600.0,5,3316,,,,27.455,,,23.644,20.722,20.639,,,,,,,,,,,,32.151,23.644,22.233,21.427,20.87,19.003,15.796,14.892,14.32,13.484,13.174,8.80188,10.85316,1.71783,,,,M0416clu,64.1287671,-24.0900959
31,0.28662,0.0,0.8037,0.9805,0.2806,2.191,3.06041,27.0,1,0.05,,99.0,1.42,2.4436,1.0,0.0,0.294699,,1000000000.0,1.2648,8,3576,,,,,29.325,28.956,28.328,28.158,28.164,28.112,,,27.115,,,,29.525,29.507,29.514,29.428,28.642,28.298,28.184,28.14,28.118,28.037,28.055,28.383,28.755,29.134,28.124,9.00311,7.32941,-2.37169,,,,M0416clu,64.1293017,-24.0919259
32,2.158,1.0049,3.1524,2.4504,1.2681,6.6812,1.58337,2.0,0,0.0,1609000000.0,99.0,1.78,1.40236,22.0,0.0,0.496001,,1000000000.0,119031000000.0,5,3292,,,,25.217,25.888,,,23.598,23.78,,,,,,,,29.895,26.578,25.72,25.529,25.197,24.323,23.588,22.995,22.549,21.957,21.524,21.445,21.314,21.621,23.362,9.00973,9.87664,0.04633,,,,M0416clu,64.1290199,-24.0901741
33,0.83795,0.0,2.1035,0.9856,0.4099,1.9006,0.749755,1.0,0,0.0,1278000000.0,99.0,1.52,0.496075,27.0,0.0,0.780331,,1000000000.0,218266000.0,7,3568,,,,,,27.472,26.717,26.331,26.512,26.31,,26.146,26.694,,,,29.248,29.148,28.969,28.478,27.245,26.646,26.485,26.415,26.353,26.21,26.088,26.36,26.747,27.169,29.085,9.12516,8.20409,-2.14422,,,,M0416clu,64.1358138,-24.0926527
34,0.22256,0.0,8.0,3.4297,1.0323,6.3931,5.98495,33.0,3,0.15,,99.0,7.94,5.57181,33.0,0.0,0.0616731,,1000000000.0,351.884,7,3544,,,,,26.69,,,17.885,17.931,21.883,,25.465,25.538,,,,,,27.469,26.149,25.971,26.048,25.974,25.991,25.84,25.359,25.505,25.417,25.407,25.475,26.44,8.99749,9.02492,-0.86713,,,,M0416clu,64.129401,-24.0899907
35,2.3489,2.1969,2.8017,2.5429,2.2831,2.7826,1.96808,29.0,1,0.15,,99.0,2.77,2.45714,31.0,0.2,0.29271,,1000000000.0,273.459,9,3580,,,,26.825,26.302,26.079,25.994,25.717,25.401,25.086,,24.896,24.867,,,,,28.195,26.727,26.324,26.209,26.07,25.764,25.386,25.097,24.841,24.525,24.516,24.448,24.74,24.896,8.91496,9.44509,0.00851,,,,M0416clu,64.135966,-24.092753
36,0.0,0.0,0.1,0.1097,0.0245,0.4554,425.204,33.0,0,0.0,,99.0,0.54,426.206,33.0,0.0,2.8223e-93,,1000000000.0,0.0147486,7,3556,,,,28.552,,,29.267,29.261,28.906,28.421,,,,,,,28.36,28.551,28.427,28.479,28.368,28.736,28.783,28.816,28.842,29.09,29.494,30.13,30.193,28.927,29.611,8.79937,4.53212,-4.84345,,,,M0416clu,64.127171,-24.0937417
37,0.0,0.0,0.0267,0.0401,0.0102,0.1037,20.5627,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0011812,8,3576,,,,,27.684,26.79,26.388,26.363,26.212,26.265,,,,,,,32.016,30.209,28.66,27.486,26.886,26.466,26.364,26.319,26.252,26.377,27.175,27.618,28.074,28.569,34.124,9.52276,5.50821,-7.62752,,,,M0416clu,64.132401,-24.092631
38,0.0,0.0,0.2305,0.3318,0.0882,0.9483,50.3079,25.0,0,0.0,,99.0,1.18,52.1866,33.0,0.15,4.65394e-12,,1000000000.0,0.0328044,8,3572,,,,30.82,,29.629,29.124,29.036,29.074,29.075,,,,,,,30.813,30.877,30.649,29.731,29.376,29.218,29.115,29.09,29.087,28.975,29.615,29.948,30.35,29.919,29.183,9.15995,5.98212,-4.74912,,,,M0416clu,64.1341008,-24.0926029
40,0.0,0.0,0.7264,0.5013,0.1272,1.4733,3.3301,33.0,3,0.25,,99.0,0.35,2.96291,33.0,0.3,0.227307,,1000000000.0,1.71033,9,3580,,,,28.575,28.294,27.909,27.663,27.403,27.369,27.43,,,26.867,,,,28.755,28.893,28.536,28.142,27.803,27.581,27.576,27.5,27.443,27.347,27.777,27.831,28.186,28.302,26.854,8.89802,7.0482,-2.31918,,,,M0416clu,64.1315084,-24.0926993
41,0.0,0.0,0.0536,0.0501,0.0122,0.1863,472.077,33.0,0,0.0,,99.0,0.39,476.637,33.0,0.0,3.1593100000000003e-104,,1000000000.0,0.0125807,9,3580,,,,27.199,26.888,27.087,26.695,26.876,26.431,26.434,,,,,,,26.842,27.039,26.841,26.77,27.141,27.176,27.232,27.26,27.279,27.605,27.976,28.633,28.522,27.261,29.99,8.74314,4.53686,-4.50222,,,,M0416clu,64.1275881,-24.0927147
42,0.0,0.0,0.526,0.357,0.1044,0.9137,55.871,27.0,3,0.1,,99.0,0.46,55.9623,27.0,0.05,7.04611e-13,,1000000000.0,0.0623531,9,3580,,,,30.786,29.967,29.434,29.261,29.064,29.087,29.176,,,28.57,,,,31.067,31.025,30.753,29.832,29.465,29.299,29.195,29.168,29.169,29.102,29.669,29.859,30.363,30.114,28.947,9.07953,5.94185,-4.23742,,,,M0416clu,64.1308825,-24.0927154
43,0.0,0.0,0.0659,0.0734,0.0179,0.2115,1161.51,1.0,0,0.0,508800000.0,99.0,0.54,1164.92,32.0,0.0,1.1012699999999999e-253,,1000000000.0,297757.0,9,3580,,,,27.478,27.243,27.06,26.9,26.719,26.654,26.428,,,,,,,27.882,27.821,27.214,27.004,27.016,26.985,27.029,27.052,27.055,27.189,27.991,28.406,28.888,29.423,31.667,8.84792,5.25763,-4.15693,,,,M0416clu,64.1274327,-24.0927619
44,0.77118,0.6183,0.8849,0.7487,0.6219,0.8641,0.563308,28.0,1,0.2,,99.0,0.15,4.18974,32.0,0.5,0.123086,,1000000000.0,71.191,9,3580,,,,25.622,25.116,24.234,23.902,23.697,23.635,23.568,,23.519,23.993,,,,25.923,25.762,25.623,25.099,24.206,23.877,23.721,23.678,23.584,23.467,23.49,23.846,24.011,24.539,23.291,9.00123,9.05475,-0.64782,,,,M0416clu,64.1381066,-24.0931091
45,0.0,0.0,0.0374,0.0283,,0.0721,229.949,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0116391,9,3580,,,,27.817,25.389,24.885,23.744,23.764,23.762,23.445,,,,,,,25.823,26.024,25.811,25.73,26.11,26.145,26.203,26.228,26.246,26.598,26.965,27.616,27.338,26.239,30.699,8.70373,4.02126,-4.96291,,,,M0416clu,64.1276196,-24.0911049
46,0.0,0.0,0.158,0.1522,0.0359,0.432,18.0852,1.0,0,0.0,508800000.0,99.0,0.83,22.2787,32.0,0.0,1.45294e-05,,1000000000.0,972963.0,9,3580,,,,27.738,27.478,27.426,27.421,27.402,27.418,27.432,,,,,,,28.257,28.255,27.796,27.421,27.346,27.393,27.41,27.443,27.465,27.517,28.291,28.656,29.176,29.693,31.915,8.79464,5.20826,-4.00023,,,,M0416clu,64.1362445,-24.092937
47,0.091881,0.0,0.2492,0.1931,0.0578,0.417,0.8424,26.0,0,0.05,,99.0,0.43,1.1879,27.0,0.0,0.552143,,1000000000.0,0.42633,9,3580,,,,26.3,25.76,25.411,25.362,25.315,25.309,25.249,,26.148,26.294,,,,27.081,26.975,26.45,25.727,25.464,25.364,25.297,25.283,25.261,25.192,25.934,26.298,26.662,25.583,25.996,8.942,6.96824,-2.53942,,,,M0416clu,64.1298537,-24.0919884
48,0.0,0.0,0.072,0.0469,0.0133,0.1539,1185.36,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.0188979,9,3580,,,,,26.794,25.967,24.615,24.507,24.38,24.318,,,,,,,26.4,26.597,26.399,26.329,26.699,26.734,26.791,26.819,26.837,27.163,27.534,28.191,28.08,26.819,29.548,8.72842,4.76991,-4.23997,,,,M0416clu,64.1273554,-24.0917887
