IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
3266,0.0,0.0,0.0567,0.1129,0.0365,0.2517,10.7087,1.0,0,0.0,4500000000.0,99.0,0.31,13.8921,1.0,0.0,0.000962436,,1000000000.0,10578000.0,9,16316,,,,28.291,26.871,25.999,25.531,,25.541,25.483,25.694,29.614,,23.687,23.844,,31.247,29.407,27.987,26.792,26.256,25.935,25.862,25.83,25.786,25.78,26.552,26.944,27.445,27.963,30.191,9.46594,6.41563,-6.08751,,,,A370clu,39.9879878,-1.5812249,,,,,,,,,,False
3267,0.0,0.0,0.0157,0.0227,,0.1014,45.3857,9.0,0,0.0,,99.0,0.71,50.0134,1.0,0.0,1.37954e-11,,1000000000.0,0.00306192,10,16380,,,,26.006,25.096,24.384,23.889,23.538,23.55,23.311,24.546,23.031,22.663,23.219,23.516,,29.27,27.547,25.984,24.893,24.3,23.898,23.806,23.754,23.681,23.844,24.65,25.116,25.552,26.05,33.535,9.50685,6.75565,-6.41939,,,,A370clu,39.9650841,-1.5805561,BOW ACO  370 CC154,39.965,-1.5808055555555556,GiC,0.37123,C,2016MNRAS.461..248S,0.9476654005955524,SIMBAD,False
3268,0.0,0.0,0.1868,0.4489,0.0464,1.8408,53.3496,33.0,0,0.0,,99.0,1.2,51.9593,33.0,0.0,5.21401e-12,,1000000000.0,0.668345,10,16380,,,,27.867,27.812,27.197,27.026,27.082,26.994,27.105,,25.689,,,,,27.177,27.329,27.557,27.445,27.425,27.467,27.747,27.759,27.782,27.869,28.559,28.523,29.114,28.908,27.586,8.77953,5.21411,-3.98398,,,,A370clu,39.9625106,-1.5812919,,,,,,,,,,False
3269,6.9473,5.9204,7.836,6.4116,5.1628,7.4522,21.2776,22.0,0,0.0,,99.0,6.55,21.2346,22.0,0.0,2.44888e-05,,1000000000.0,161.26,10,16380,,,,29.418,29.253,28.766,28.185,28.329,27.855,27.767,,24.988,26.284,,,,,,,37.526,29.923,27.863,27.873,27.835,27.817,27.675,26.087,25.716,25.493,25.185,25.802,8.8353,9.16997,-0.01183,,,,A370clu,39.9750906,-1.5812205,,,,,,,,,,False
3270,0.0,0.0,0.5002,0.8305,0.2224,3.3963,18.3019,1.0,0,0.0,1015000000.0,99.0,5.45,18.1149,33.0,0.0,0.000116519,,1000000000.0,17446600.0,10,16380,,,,31.941,29.918,29.142,28.57,28.785,29.045,28.462,31.411,,25.52,25.936,23.378,,30.648,30.547,30.53,30.067,28.979,28.735,28.651,28.617,28.581,28.556,28.567,28.952,29.298,29.775,31.74,9.08178,6.92125,-3.34719,,,,A370clu,39.9790291,-1.5812153,,,,,,,,,,False
3271,0.20492,0.1803,0.2868,0.2654,0.207,0.3557,7.97911,9.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1.17783,10,16380,,,,26.557,24.859,24.058,23.428,23.259,23.133,23.045,22.898,23.32,24.769,24.673,28.287,,29.942,28.727,26.638,24.868,23.981,23.501,23.236,23.153,23.104,22.898,23.724,23.964,24.463,24.986,26.813,9.55819,8.6759,-4.85414,,,,A370clu,39.9647361,-1.5798602,[LRB2019] 7523,39.96474,-1.57984,G,0.3796,D,2021A&A...646A..83R,0.07406193466060852,SIMBAD,False
3272,0.0,0.0,0.3907,0.1975,0.0499,0.5219,120.349,31.0,0,0.0,,99.0,0.53,121.399,33.0,0.0,4.35035e-27,,1000000000.0,0.0599326,10,16380,,,,28.785,28.115,27.864,28.294,27.953,28.341,28.359,27.616,,,25.338,23.894,,28.346,28.479,28.364,28.117,28.054,28.26,28.28,28.321,28.356,28.452,29.194,29.432,29.758,28.989,28.605,8.85688,5.42072,-4.08251,,,,A370clu,39.9518905,-1.5815529,,,,,,,,,,False
3273,7.7346,6.986,8.0,1.4077,0.2108,6.4122,38.2158,33.0,1,0.25,,99.0,0.0,37.1463,5.0,0.0,8.58567e-09,,1000000000.0,10.2487,10,16380,,,,30.511,28.793,28.232,28.153,28.012,27.659,27.568,,23.821,24.329,,24.645,,29.723,29.197,29.029,28.888,28.678,28.169,28.023,27.767,27.592,27.824,27.638,27.724,28.08,28.18,28.01,8.90032,7.21603,-2.28275,,,,A370clu,39.973264,-1.5813082,,,,,,,,,,False
3274,0.16595,0.0,1.0907,0.6102,0.1417,2.6794,12.9576,31.0,0,0.0,,99.0,0.54,12.9336,30.0,0.0,0.00155422,,1000000000.0,0.46245,10,16380,,,,,28.717,28.213,28.42,28.52,28.54,28.558,28.429,28.025,,24.598,26.26,,28.492,28.587,28.749,28.622,28.379,28.353,28.561,28.55,28.541,28.655,29.057,29.464,29.569,30.005,28.762,8.92021,6.4066,-3.35272,,,,A370clu,39.9845575,-1.5813686,,,,,,,,,,False
3275,0.0,0.0,0.0907,0.1505,0.0354,0.4415,84.5986,1.0,0,0.0,508800000.0,99.0,0.42,85.5511,31.0,0.0,2.64737e-19,,1000000000.0,451825.0,10,16380,,,,29.108,29.114,28.166,27.767,27.982,27.764,27.664,28.128,,,,,,29.09,29.088,28.658,28.271,28.237,28.225,28.243,28.276,28.297,28.349,29.124,29.489,30.008,30.526,32.748,9.06916,5.49059,-4.95995,,,,A370clu,39.9853087,-1.5813944,,,,,,,,,,False
3276,1.4061,1.1265,1.5785,0.8448,0.0747,2.5165,224.8,33.0,0,0.0,,99.0,0.0,223.807,33.0,0.0,2.51716e-49,,1000000000.0,0.661206,9,16364,,,,29.534,32.317,,27.879,27.023,26.627,26.383,,23.507,23.089,22.214,22.902,,28.424,28.559,28.743,28.934,28.811,28.979,28.788,28.877,29.148,29.215,29.504,29.947,29.923,30.589,29.065,8.79673,5.30448,-3.9806,,,,A370clu,39.9771524,-1.5814799,,,,,,,,,,False
3277,0.0,0.0,0.0643,0.1705,0.0398,0.5019,252.577,3.0,0,0.0,,99.0,0.51,254.115,31.0,0.0,6.60101e-56,,1000000000.0,0.00630807,10,16380,,,,30.96,31.915,29.592,28.603,28.584,28.57,28.109,28.536,,,25.636,23.543,,33.341,32.085,30.699,29.433,28.965,28.688,28.559,28.527,28.506,28.503,29.291,29.57,30.028,30.388,31.517,9.23523,5.38281,-5.70863,,,,A370clu,39.9526817,-1.5814563,,,,,,,,,,False
3279,0.0,0.0,0.1918,0.3077,0.0783,0.8256,25.3653,4.0,0,0.0,,99.0,1.18,27.6621,33.0,0.15,9.84586e-07,,1000000000.0,0.0478703,9,16376,,,,,29.263,28.351,27.874,27.956,27.512,27.343,27.664,,,24.445,,,33.06,32.198,30.461,28.893,28.158,27.825,27.627,27.552,27.512,27.36,28.137,28.381,28.819,29.277,30.05,9.32878,6.66014,-4.9875,,,,A370clu,39.9859201,-1.5816425,[LRB2019] 6790,39.98604,-1.5817900000000005,G,0.7329,C,2019MNRAS.485.3738L,0.6842018243841659,SIMBAD,False
3282,5.4199,4.6076,7.1421,5.5157,4.7946,6.5222,319.412,3.0,0,0.0,,99.0,6.14,319.428,3.0,0.0,4.3354300000000006e-70,,1000000000.0,46.6294,9,16376,,,,,26.903,25.028,24.213,24.322,23.268,23.24,,26.839,,23.782,24.862,,,,,39.654,35.508,32.876,31.631,31.135,30.811,28.82,26.763,26.458,26.209,26.02,26.99,9.06342,9.41794,-0.48331,,,,A370clu,39.9704248,-1.5798689,,,,,,,,,,False
3283,0.0,0.0,0.1086,0.4693,0.0763,1.5571,19.9872,29.0,0,0.0,,99.0,1.18,18.8939,33.0,0.05,7.89285e-05,,1000000000.0,0.259592,10,16380,,,,28.904,29.072,28.705,28.426,28.485,28.23,27.933,,,,24.435,25.263,,28.901,28.99,29.046,28.554,28.315,28.273,28.273,28.263,28.277,28.352,28.882,29.069,29.514,29.535,28.326,8.9276,6.32979,-3.49884,,,,A370clu,39.9615693,-1.5817171,,,,,,,,,,False
3284,0.0,0.0,0.1436,0.1181,0.0266,0.392,304.326,1.0,0,0.0,508800000.0,99.0,0.39,305.358,33.0,0.0,4.9235900000000004e-67,,1000000000.0,181768.0,10,16380,,,,30.937,29.06,28.707,28.355,28.494,28.253,28.089,,,,25.733,23.733,,29.595,29.571,29.028,28.738,28.646,28.713,28.743,28.775,28.79,28.87,29.657,30.037,30.548,31.066,33.297,8.93519,4.96508,-4.9156,,,,A370clu,39.9609781,-1.5817193,,,,,,,,,,False
3286,0.0,0.0,0.0367,0.101,0.0227,0.3067,36.0556,1.0,0,0.0,1139000000.0,99.0,0.3,36.7023,1.0,0.0,1.07199e-08,,1000000000.0,1692340.0,10,16380,,,,28.835,26.695,26.074,25.69,25.726,25.63,25.53,29.388,,,,27.933,,28.691,28.285,27.306,26.709,26.499,26.418,26.416,26.412,26.397,26.439,27.237,27.552,28.044,28.558,30.768,9.04383,5.88522,-4.35041,,,,A370clu,39.9817313,-1.582688,[LBL2018] A370 cluster 32,39.9817172,-1.5826946,G?,6.726,E,2018ApJ...862..156L,0.05602811498973673,SIMBAD,False
3287,0.0,0.0,0.0354,0.0934,0.0185,0.4321,108.495,3.0,0,0.0,,99.0,0.45,110.881,27.0,0.0,8.3671e-25,,1000000000.0,0.00493055,10,16380,,,,28.668,28.398,28.057,27.658,27.385,27.243,27.212,,,,23.091,23.695,,31.939,30.471,29.143,28.144,27.747,27.477,27.386,27.365,27.337,27.451,28.213,28.555,28.964,29.315,31.317,9.19417,5.19824,-5.66807,,,,A370clu,39.9801418,-1.583124,,,,,,,,,,False
3288,0.0,0.0,0.0392,0.1143,0.0173,0.2922,132.11,33.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.10351,10,16380,,,,26.511,26.29,26.479,26.865,26.858,26.689,26.278,,,24.464,23.649,,,26.244,26.436,26.311,26.363,26.252,26.621,26.667,26.701,26.726,26.975,27.379,28.014,28.078,26.811,27.495,8.73324,4.41034,-4.60926,,,,A370clu,39.9771264,-1.5825264,,,,,,,,,,False
3290,0.0,0.0,0.1275,0.1553,0.0332,0.4898,141.34,31.0,0,0.0,,99.0,0.39,141.507,33.0,0.0,1.87168e-31,,1000000000.0,0.0254391,9,16376,,,,,29.668,28.848,28.398,28.143,27.773,28.045,,,,,,,28.802,28.926,28.729,28.556,28.478,28.691,28.724,28.764,28.795,28.928,29.542,29.96,30.186,29.244,29.257,8.95028,5.19367,-4.7888,,,,A370clu,39.9554253,-1.5817426,,,,,,,,,,False
3293,0.0,0.0,0.4542,0.3227,0.0772,1.2598,43.6164,29.0,0,0.0,,99.0,1.18,44.6204,33.0,0.05,2.0455e-10,,1000000000.0,0.116576,10,16380,,,,28.93,28.558,28.626,28.448,28.134,28.323,28.192,27.926,,,,24.382,,28.943,29.05,29.04,28.397,28.296,28.291,28.263,28.284,28.326,28.333,29.047,29.175,29.683,29.35,28.228,8.93772,5.96019,-3.90474,,,,A370clu,39.9614671,-1.5818522,,,,,,,,,,False
3294,7.0416,6.4394,8.0,6.4276,1.6668,7.5399,44.6567,11.0,0,0.0,,99.0,7.58,43.8276,14.0,0.0,3.04063e-10,,1000000000.0,78.0759,10,16380,,,,33.695,30.391,28.96,28.602,28.506,28.355,28.399,,24.936,26.507,,26.111,,,,,42.721,33.638,30.917,30.718,30.588,30.471,29.487,26.559,25.889,25.458,24.928,25.526,8.82656,7.85405,-1.41426,,,,A370clu,39.9729211,-1.581749,,,,,,,,,,False
3295,1.1939,0.2837,2.5972,2.2484,0.8357,6.736,7.84289,1.0,0,0.0,1139000000.0,99.0,6.6,7.05805,2.0,0.0,0.0293334,,1000000000.0,152147000.0,9,16376,,,,,34.042,30.524,29.207,29.546,29.177,28.735,,26.388,,26.422,,,34.121,31.294,30.855,30.674,30.558,30.059,29.316,28.922,28.714,28.455,28.305,28.294,28.254,28.629,30.515,9.05945,7.82709,-2.3464,,,,A370clu,39.9743235,-1.5818471,,,,,,,,,,False
3297,0.0,0.0,0.1724,0.4379,0.0959,1.7808,35.7336,27.0,0,0.0,,99.0,0.41,35.7157,27.0,0.0,1.75561e-08,,1000000000.0,0.115008,10,16380,,,,33.469,29.254,29.414,28.827,28.6,28.4,28.595,,,,25.946,24.913,,29.874,29.953,29.909,29.191,28.863,28.764,28.782,28.768,28.778,28.821,29.372,29.576,30.061,29.984,28.797,9.03942,6.2356,-3.99291,,,,A370clu,39.9855325,-1.5818801,,,,,,,,,,False
3298,0.0,0.0,0.077,0.0658,0.0154,0.231,243.854,33.0,0,0.0,,99.0,0.39,246.385,33.0,0.0,3.14872e-54,,1000000000.0,0.0115156,10,16380,,,,28.065,27.791,28.012,27.648,27.697,27.491,27.403,,,,,24.062,,27.662,27.856,27.679,27.592,27.849,28.01,28.063,28.093,28.114,28.413,28.789,29.448,29.41,28.117,29.69,8.76833,4.46951,-4.69858,,,,A370clu,39.9572028,-1.5819426,[LRB2019] 6580,39.957362,-1.5820861000000002,EmG,4.4297,C,2019MNRAS.485.3738L,0.7714218945484904,SIMBAD,False
