IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
1924,0.41511,0.3941,0.435,0.412,0.3883,0.4392,98.1545,21.0,0,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,229.975,10,16380,,,,22.851,21.626,20.802,20.244,19.933,19.791,19.603,18.701,18.412,18.809,19.499,20.046,,24.411,23.857,22.987,21.621,20.738,20.276,19.935,19.717,19.551,19.198,19.684,19.528,20.144,19.824,18.539,9.60563,10.22313,-3.77467,,,,A370clu,39.9709578,-1.585032,-6.700310715337116,-39.50657999999984,40.07073778929519,pagul21_photoz_f160w_radius,0.859855259643173,False
1789,0.37361,0.3621,0.3831,0.4097,0.3663,0.501,44.5392,32.0,1,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1640.78,10,16380,,,,22.232,21.311,20.698,20.305,20.028,19.779,19.687,19.113,19.509,19.676,20.397,19.867,,23.213,22.848,22.403,21.359,20.694,20.22,20.013,19.864,19.755,19.458,19.802,19.617,20.247,19.926,18.641,9.43197,9.72207,-2.33256,,,,A370clu,39.971918,-1.579778,-3.24489509211803,-20.592179999999516,20.84627595785952,pagul21_photoz_f160w_radius,0.3235988652619838,False
1921,0.40416,0.3891,0.4207,0.4075,0.3914,0.4257,102.179,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,398.583,10,16380,,,,23.681,21.934,20.949,20.475,20.168,20.018,19.9,18.778,19.195,19.423,20.778,21.272,,25.88,24.846,23.64,21.957,20.944,20.475,20.169,19.977,19.812,19.39,19.775,20.027,20.376,20.197,19.298,9.60266,10.17303,-3.79276,,,,A370clu,39.9691387,-1.5849622,-13.246599572016487,-39.25530000000022,41.43007335633579,pagul21_photoz_f160w_radius,1.0166314452111918,False
1667,0.38886,0.3776,0.4,0.425,0.3783,0.4615,105.593,26.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,560.92,10,16380,,,,23.406,21.702,20.815,20.394,20.136,20.015,19.914,18.796,19.421,19.701,20.704,21.288,,25.369,24.349,23.244,21.718,20.8,20.404,20.137,19.958,19.805,19.419,19.786,20.05,20.403,20.254,19.342,9.50029,9.98823,-2.57986,,,,A370clu,39.9809037,-1.5794344,29.091418348310004,-19.355219999999917,34.94188264482589,pagul21_photoz_f160w_radius,0.8329784214941962,False
2149,0.39481,0.3816,0.409,0.395,0.381,0.4091,159.019,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,365.159,10,16380,,,,23.776,21.907,20.972,20.497,20.193,20.041,19.93,18.609,19.196,19.419,20.592,21.031,,25.886,24.854,23.652,21.952,20.959,20.492,20.195,20.005,19.841,19.419,19.82,20.076,20.429,20.22,19.337,9.58255,10.12442,-3.59255,,,,A370clu,39.9654006,-1.5860261,-26.69868157694623,-43.08533999999984,50.68694231123785,pagul21_photoz_f160w_radius,1.3429852437079277,False
1793,0.37155,0.3676,0.3746,0.3699,0.3608,0.3782,197.701,32.0,3,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1054.46,10,16380,,,,22.715,21.459,20.825,20.474,20.222,20.073,19.945,18.656,19.05,19.166,20.007,19.154,,23.748,23.287,22.603,21.47,20.809,20.486,20.217,20.078,19.977,19.683,20.077,19.866,20.533,20.117,18.872,9.416,9.47888,-2.35608,,,,A370clu,39.9781503,-1.5814445,19.182918684758025,-26.59157999999957,32.78866414116952,pagul21_photoz_f160w_radius,0.8484569713723167,False
655,0.39329,0.381,0.4071,0.3953,0.3752,0.4241,158.367,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,351.762,10,16380,,,,23.709,21.904,21.004,20.521,20.239,20.093,19.975,18.629,19.25,19.523,20.637,21.033,,25.926,24.894,23.693,21.98,20.99,20.522,20.236,20.045,19.881,19.46,19.86,20.117,20.469,20.26,19.377,9.55627,10.07282,-3.41751,,,,A370clu,39.9803876,-1.5643135,27.234159440649087,35.08002000000046,44.41066587700671,pagul21_photoz_f160w_radius,1.1572660292335568,False
1671,0.32838,0.3109,0.3399,0.3224,0.3002,0.3386,28.4733,18.0,0,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,110.06,10,16380,,,,23.997,22.029,21.052,20.554,31.195,20.105,19.983,19.0,19.552,19.807,20.958,21.342,,26.261,25.251,23.924,22.035,21.05,20.487,20.053,19.819,19.635,19.186,19.831,19.788,20.285,19.952,18.83,9.59957,10.18091,-3.76259,,,,A370clu,39.9898609,-1.5784593,61.32517050436137,-15.844859999999894,63.33905687495347,pagul21_photoz_f160w_radius,1.7747988958317817,False
1426,0.38066,0.3563,0.3956,0.3866,0.3541,0.4141,94.5921,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,320.757,10,16380,,,,23.773,21.907,21.007,20.552,20.27,20.116,20.015,18.944,19.536,19.801,20.785,21.168,,25.936,24.905,23.709,21.993,21.018,20.555,20.265,20.076,19.913,19.493,19.908,20.169,20.526,20.286,19.417,9.54755,10.02323,-3.29722,,,,A370clu,39.9649743,-1.5756056,-28.23278247277939,-5.5715400000000415,28.777283821217033,pagul21_photoz_f160w_radius,0.6575917940405673,False
1281,0.41709,0.4006,0.4366,0.4209,0.4025,0.4424,102.039,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,377.863,10,16380,,,,23.965,22.045,21.077,20.597,20.295,20.134,20.016,18.907,19.507,19.748,20.742,20.975,,26.027,24.99,23.779,22.098,21.066,20.593,20.295,20.102,19.935,19.511,19.882,20.128,20.475,20.325,19.414,9.57897,10.15557,-3.55067,,,,A370clu,39.9783712,-1.5743667,19.97785860472355,-1.111499999999488,20.008754750866572,pagul21_photoz_f160w_radius,0.34580649169555117,False
