IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
1,1.0149,0.6536,1.679,1.6425,1.1938,2.101,1.32307,33.0,3,0.15,,99.0,1.55,1.20519,33.0,0.15,0.54739,,1000000000.0,75.2913,6,3836,,,,26.158,26.441,26.185,25.606,25.445,22.845,,,,,,,,26.905,26.34,26.238,26.328,26.272,25.935,25.735,25.755,25.874,25.793,25.693,25.712,26.022,26.251,25.821,8.80001,8.85038,-0.31715,,,,A370clu,40.0615642,-1.6507697
3,2.0026,1.1302,2.6887,1.6627,0.35,2.4567,0.819679,32.0,1,0.1,,99.0,2.54,0.709791,31.0,0.05,0.701247,,1000000000.0,45.2794,10,4092,,,,26.485,26.527,26.508,26.662,26.159,26.017,26.067,26.145,,,,,,27.112,26.609,26.502,26.53,26.592,26.274,26.098,26.105,26.136,26.077,26.022,26.037,26.343,26.598,26.118,8.74763,8.16442,-0.85025,,,,A370clu,40.051199,-1.6017611
5,1.9566,1.77,2.0335,1.8212,1.4742,2.0015,0.73837,30.0,3,0.05,,99.0,1.56,1.24714,31.0,0.1,0.536027,,1000000000.0,162.99,10,4092,,,,25.125,25.197,25.164,24.917,24.586,24.54,24.438,24.495,25.031,24.865,,,,26.144,25.298,25.107,25.189,25.217,24.875,24.543,24.518,24.518,24.466,24.454,24.439,24.645,25.111,24.538,8.70673,9.16366,0.20833,,,,A370clu,40.0514306,-1.6019249
6,7.3476,4.6534,8.0,4.6759,0.9046,7.0682,4.07441,33.0,1,0.15,,99.0,5.78,3.37794,33.0,0.1,0.18471,,1000000000.0,59.2427,8,4072,,,,,,,28.755,28.43,28.714,28.301,,28.598,,,,,,,,30.191,28.442,28.401,28.394,28.406,28.426,28.227,27.877,27.976,27.883,27.862,29.018,8.96505,7.9345,-1.97501,,,,A370clu,40.0528006,-1.6023761
7,4.5447,4.2506,4.7216,4.2317,0.8482,4.5887,1.46764,30.0,1,0.1,,99.0,0.85,3.38309,2.0,0.0,0.184234,,1000000000.0,102.766,9,4088,,,,,28.69,27.395,27.632,27.622,27.43,27.702,26.865,,,,,,,,35.529,28.526,27.658,27.623,27.635,27.633,27.606,26.924,26.628,26.583,26.544,26.537,27.779,8.83633,8.91095,-0.2288,,,,A370clu,40.0492063,-1.602163
8,5.2451,0.0,8.0,3.7785,1.0926,6.6626,7.32363,33.0,0,0.0,,99.0,0.0,7.22802,3.0,0.0,0.0269436,,1000000000.0,60.9402,9,4076,,,,,26.603,,24.017,23.993,23.938,23.958,27.276,,,,,,,,28.591,26.675,26.564,26.739,26.883,26.977,27.078,26.923,27.164,27.194,27.268,27.375,28.673,8.98333,8.50582,-1.37977,,,,A370clu,40.0528883,-1.6022015
9,0.95515,0.0856,2.557,2.4431,0.5644,4.0928,4.18565,33.0,1,0.15,,99.0,2.48,4.00987,33.0,0.15,0.134669,,1000000000.0,9.29252,10,4092,,,,29.142,29.542,28.899,28.856,28.601,28.759,28.929,27.097,,,,,,39.668,30.448,29.45,29.279,29.263,29.313,29.091,28.96,28.841,28.414,28.745,28.736,28.743,29.148,28.758,8.87527,7.845,-1.43723,,,,A370clu,40.0502143,-1.6023113
10,0.0,0.0,0.2712,1.8252,0.2724,6.8858,5.46038,33.0,0,0.0,,99.0,1.41,4.87029,33.0,0.0,0.0875851,,1000000000.0,11.4173,10,4092,,,,28.024,27.199,26.982,27.439,26.674,26.408,27.277,,,,,,,27.627,26.927,26.978,27.173,27.438,27.42,27.333,27.356,27.456,27.659,27.764,27.815,28.099,28.568,27.698,8.84655,7.83403,-1.66294,,,,A370clu,40.0513614,-1.6027
11,4.0206,3.7599,4.3452,0.4064,0.122,3.8934,6.58899,1.0,0,0.0,718700000.0,99.0,0.41,6.58899,1.0,0.0,0.0370867,,1000000000.0,38825900.0,10,4092,,,,27.995,25.947,25.619,25.77,25.747,25.579,25.719,26.324,25.408,26.129,,,,27.123,27.184,27.049,26.203,25.923,25.854,25.857,25.844,25.858,25.869,26.376,26.728,27.081,27.686,29.762,8.92237,7.13596,-2.25227,,,,A370clu,40.0496721,-1.6024131
13,3.6551,0.1311,4.2677,0.705,0.175,3.6316,3.63547,33.0,3,0.15,,99.0,0.3,2.16872,1.0,0.0,0.338118,,1000000000.0,1.87718,10,4092,,,,29.162,27.913,27.617,27.513,27.51,27.535,28.037,28.726,,,,,,28.456,28.531,28.5,28.31,27.975,27.752,27.708,27.985,27.941,27.903,28.161,28.571,28.468,29.092,27.541,8.83585,6.44675,-2.85755,,,,A370clu,40.0524163,-1.6025246
