candidate_family_id,n_images,median_simbad_zspec,max_pair_color_rms,max_pair_separation_arcsec,median_reliability,min_reliability,simbad_system_hint,method,specz_tol,color_rms_max,max_separation_arcsec,reliability_floor,reliability_ceil,min_common_colors,require_simbad_system_hint
900001,3,2.751,0.24106707227104565,90.44082998918613,0.8958113748553528,0.6359397846198241,7,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900002,6,1.1951,0.24789648377229273,118.48328047326459,0.7888738725678719,0.6480079871506172,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900003,7,1.276,0.24963540080151558,74.69453469280764,0.767838196674871,0.7324830696398901,4,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900004,2,1.063,0.24700337379612075,68.98896089437073,0.8384337248513574,0.8384337062318172,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900005,4,0.5779,0.23719190542680768,73.82747589811233,0.8592746764562074,0.7513310385143978,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900006,2,0.6814,0.1014084151669232,92.96096440965002,0.8952243886465915,0.8952242712679828,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900007,2,4.2560649999999995,0.24116695461858006,91.12636336380643,0.8202950555058388,0.8202950184031594,17,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900008,2,0.8413999999999999,0.1812424711079973,25.02165102746218,0.9154522226251529,0.9154522196350454,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900009,2,6.77,0.06408978077665659,0.430591929168366,0.9723898607912036,0.9723898607911965,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900010,2,1.20365,0.2420506145416707,19.170155696770582,0.8744920720724677,0.8744920712148924,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900011,5,1.2656,0.24564710460333214,72.04337998798295,0.8727729309142899,0.5205425472703717,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900012,3,0.7246,0.17389268721446202,64.99723419284234,0.8833736663033518,0.8375669029392893,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900013,2,0.9607,0.09579665964948962,5.902025137404639,0.961168834216219,0.9611688341764183,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900014,3,0.7371,0.06121818901818913,115.87946558998864,0.8128701019087119,0.6593349463479029,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900015,2,1.0482,0.23985898635100947,88.17815152601582,0.7652450747208801,0.7652449735622121,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900016,4,3.4809,0.12175042778843395,90.84738999010798,0.9120712048936098,0.8903680252291819,12,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900017,2,3.01843,0.05617680422855421,32.95238988482942,0.9653303619582667,0.9653303553102155,27,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900018,6,0.8041,0.10147659828748654,89.58519445485565,0.9361680717544218,0.8305473639923246,1,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900019,2,1.3397999999999999,0.12722028140198452,27.589471860341817,0.9442694517404477,0.9442694476805853,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
900020,2,1.08335,0.13161370242747003,13.266330656196804,0.944766252565671,0.9447662523985372,,simbad_specz_color_graph,0.005,0.25,120.0,0.05,0.98,3,False
