candidate_family_id,image_number,catalog_index,id,ra,dec,catalog_z,simbad_zspec,simbad_main_id,simbad_system_hint,simbad_match_sep_arcsec,delta_z_from_family_median,color_rms_from_family_median,centroid_radius_arcsec,family_reliability
900001,1,519,1611,39.9865581,-1.5775905,2.7881,2.751,[DSB2018] A370  7.5.1,7,0.03849667038457106,0.0,0.023212783834200584,51.074781662358454,0.8958113748553528
900001,2,594,1764,39.9615443,-1.5800241,2.746,2.751,[DSB2018] A370  7.1.1,7,0.06742921973969124,0.0,0.061526417090546626,39.47382987462303,0.9047397197554188
900001,3,1041,3091,39.9690558,-1.5774597,2.8273,2.7515,[DSB2018] A370  7.6.1,7,0.09258667142703048,0.000500000000000167,0.23759664700215558,12.413157695814022,0.6359397846198241
900002,1,264,930,39.9579463,-1.568213,1.1627,1.1933,[BHF2019] A370   3147,,0.03389745047702559,0.0018000000000000238,0.14318432176743406,40.895725635355646,0.7480558021498304
900002,2,478,1502,39.9515368,-1.576445,1.1693,1.1951,[LRB2019] 9197,,0.12835426311470868,0.0,0.04338874662090775,29.15918221136879,0.9394480265866902
900002,3,520,1612,39.9535276,-1.5775701,1.2047,1.1938,[LRB2019] 8214,,0.04492451271369421,0.0013000000000000789,0.12606843379688495,21.018635866916014,0.8296919429859134
900002,4,767,2213,39.959344,-1.5867941,1.2095,1.1969,[LRB2019] 5458,,0.03028761857846201,0.0018000000000000238,0.07793640569934739,26.207481523029017,0.86073689669301
900002,5,868,2485,39.9805608,-1.5915768,1.2611,1.1959,[BHF2019] A370   1078,,0.024648699797042622,0.0007999999999999119,0.04602445002387338,88.80048849160673,0.7365201480862745
900002,6,1023,2994,39.9512804,-1.5765264,1.251,1.1951,[LRB2019] 9197,,0.9911576558594615,0.0,0.22652869575398135,29.907927116154358,0.6480079871506172
900003,1,479,1505,39.9707268,-1.5762041,1.6693,1.2732,[JSB2014] A370 4.2,4,0.1657141500154163,0.0027999999999999137,0.10403685244501903,22.29553988919431,0.766612426195862
900003,2,481,1512,39.9796247,-1.5763135,1.4123,1.273,[KIS2018] A370 4.1,4,0.2576054898203819,0.0030000000000001137,0.07251436639269009,32.587779689352914,0.767838196674871
900003,3,501,1561,39.9826633,-1.5769204,1.5274,1.276,[LRB2019] 8524,,0.03927825250854567,0.0,0.033778691508110144,40.54768937130948,0.9204142570258285
900003,4,526,1624,39.9619294,-1.5778851,1.32,1.273,[JSB2014] A370 4.3,4,0.14436335048994903,0.0030000000000001137,0.05793387034657123,41.45334012923568,0.762420244133099
900003,5,815,2347,39.9710198,-1.5892156,1.3447,1.2773,[DSB2018] A370  5.2.1,5,0.05930394856448329,0.0013000000000000789,0.14724808997063388,26.315308444479594,0.787955559234892
900003,6,816,2349,39.9691206,-1.5890495,1.3507,1.2774,[LRB2019] 4651,,0.038187770460006785,0.0014000000000000679,0.12424035844550159,28.093050502159382,0.8190037134448878
900003,7,817,2350,39.9734858,-1.5890447,1.2834,1.2775,[DSB2018] A370  5.1.1,5,0.0714482497463881,0.0015000000000000568,0.17405889807763333,25.214205015983282,0.7324830696398901
900004,1,534,1656,39.9643294,-1.5782451,1.0318,1.0633,[BHF2019] A370   2215,,0.23084374270119132,0.00029999999999996696,0.12350168689806038,34.49449030591013,0.8384337062318172
900004,2,590,1760,39.9833476,-1.5806589,0.9138,1.0627,[BHF2019] A370   1759,,0.02763479007461495,0.00029999999999996696,0.12350168689806038,34.49447058864678,0.8384337434708975
900005,1,432,1374,39.953147,-1.5739702,0.5015,0.5769,[LRB2019] 9618,,0.08526092843807728,0.0010000000000000009,0.03747832707045531,40.41059800737642,0.9017096026136197
900005,2,688,1979,39.9684056,-1.5830497,0.7079,0.5789,[LRB2019] 6305,,0.020181224410630458,0.0010000000000000009,0.10653540100204517,24.703756334386163,0.8650065325533172
900005,3,775,2231,39.9688946,-1.5871142,0.6002,0.5802,[LRB2019] 5263,,0.05730474727504961,0.0023000000000000798,0.13116004854121235,33.419905799532266,0.7513310385143978
900005,4,1086,3181,39.9568554,-1.5802402,0.8954,0.5768,[LRB2019] 7238,,0.03897054589909849,0.0010999999999999899,0.11753634189758734,18.148012858866842,0.8535428203590975
900006,1,98,471,39.9692844,-1.5593499,0.6608,0.6814,[LRB2019] 15918,,0.34645562985250833,0.0,0.0507042075834616,46.48052522885008,0.8952242712679828
900006,2,576,1736,39.9852321,-1.579664,0.6825,0.6814,[LRB2019] 7689,,0.01626253877719153,0.0,0.0507042075834616,46.48043918124241,0.8952245060252002
900007,1,698,2009,39.9602375,-1.5836311,4.0306,4.25608,[KIS2018] A370 17.3,17,0.06863220625256637,1.5000000000320313e-05,0.12058347730929003,45.563166459245174,0.8202950926085182
900007,2,1100,3214,39.9854039,-1.5808245,4.0189,4.25605,[KIS2018] A370 17.2,17,0.05805041955799854,1.4999999999432134e-05,0.12058347730929003,45.563196904990505,0.8202950184031594
900008,1,86,428,39.9680435,-1.5580464,0.8847,0.8412,[LRB2019] 15430,,0.07695994502168776,0.00019999999999997797,0.09062123555399865,12.510829490413085,0.9154522196350454
900008,2,125,547,39.9737484,-1.5620197,0.816,0.8416,[LRB2019] 13465,,0.054424334620318704,0.000200000000000089,0.09062123555399865,12.510821537059691,0.9154522256152603
