IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
2761,0.1048,0.0892,0.1407,0.6134,0.1155,0.7561,6.26244,30.0,0,0.0,,99.0,0.71,5.16035,30.0,0.0,0.0757607,,1000000000.0,18.3485,8,16380,,,,24.823,24.716,24.234,23.753,42.508,23.832,23.881,24.593,23.601,24.288,,23.819,,24.692,24.767,24.899,24.644,24.295,24.246,24.383,24.362,24.348,24.458,24.817,25.221,25.353,25.788,24.546,8.90136,6.09909,-3.33453,,,,A370clu,39.983709,-1.5991176
2765,3.3455,3.2314,3.4563,3.3306,3.2111,3.4505,2.05816,28.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,212.478,8,16380,,,,26.476,25.761,25.72,25.875,25.868,25.919,25.744,24.843,26.19,26.298,,29.325,,,,26.615,25.776,25.728,25.832,25.844,25.819,25.645,24.991,24.945,24.93,24.996,25.065,26.214,8.72734,9.38053,0.38192,,,,A370clu,39.9747493,-1.5991899
2766,0.32123,0.2844,0.4307,0.3258,0.2594,0.4097,2.20576,24.0,0,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,11.3307,8,16380,,,,25.925,24.376,23.635,23.311,23.119,23.038,23.011,22.6,23.284,23.726,25.244,25.695,,27.222,26.62,25.821,24.379,23.683,23.36,23.125,23.005,22.904,22.61,23.179,23.461,23.854,23.423,22.687,9.45017,8.58498,-3.62976,,,,A370clu,39.9776088,-1.5994401
2767,0.70487,0.6199,0.8034,0.6614,0.4258,0.777,1.65139,27.0,0,0.0,,99.0,0.09,2.37912,33.0,0.4,0.304355,,1000000000.0,12.6689,8,16380,,,,25.801,25.403,24.711,24.62,24.545,24.546,24.469,24.729,25.045,25.874,,26.16,,25.662,25.695,25.774,25.338,24.749,24.62,24.621,24.594,24.564,24.624,24.887,25.302,25.53,26.004,24.728,8.82191,8.31004,-0.87849,,,,A370clu,39.9773536,-1.599578
2772,1.3004,1.1294,1.5737,1.0072,0.1671,2.6943,4.89274,29.0,0,0.0,,99.0,0.0,3.64261,3.0,0.0,0.161814,,1000000000.0,2.4795,8,16380,,,,28.6,28.311,28.273,27.337,27.372,27.439,27.261,,24.741,25.951,26.088,,,28.041,28.116,28.198,28.281,27.735,27.517,27.424,27.437,27.534,27.522,27.62,27.946,28.354,28.665,27.744,8.85828,7.41514,-1.9589,,,,A370clu,39.9877585,-1.5735147
2774,0.48505,0.4192,0.6257,3.8288,0.174,4.2702,13.7223,33.0,1,0.15,,99.0,0.05,11.3048,9.0,0.0,0.00350907,,1000000000.0,1443.94,7,16316,,,,27.053,25.252,24.44,44.175,,41.093,23.831,24.272,25.133,25.128,,,,,,27.587,25.053,24.613,24.592,24.613,24.63,24.652,24.261,24.124,24.095,24.07,24.081,25.269,9.14004,8.06414,-2.15155,,,,A370clu,39.9605104,-1.5996974
2775,0.30799,0.0494,0.9053,0.8626,0.2891,4.5129,1.33705,1.0,0,0.0,1139000000.0,99.0,4.15,0.829017,33.0,0.25,0.660665,,1000000000.0,131052000.0,8,16380,,,,29.454,27.915,27.009,26.749,26.618,26.588,26.63,26.262,27.624,24.969,,,,28.982,28.859,28.794,28.25,27.072,26.751,26.625,26.582,26.559,26.509,26.5,26.871,27.223,27.684,29.652,9.16237,7.58993,-2.93032,,,,A370clu,39.9804634,-1.5732634
2776,0.77231,0.6969,0.9106,0.8175,0.7106,0.932,0.59406,31.0,1,0.05,,99.0,0.09,6.87604,33.0,0.2,0.0321283,,1000000000.0,64.4383,8,16380,,,,24.365,24.362,23.967,23.62,41.443,23.794,23.832,24.025,23.412,23.961,,24.24,,24.241,24.285,24.371,24.377,23.947,23.875,23.854,23.976,23.968,23.986,24.176,24.593,24.719,25.245,24.019,8.8709,5.48834,-3.83865,,,,A370clu,39.9828549,-1.5994357
2777,0.4956,0.0737,0.6106,0.2463,0.0715,0.4978,4.69846,28.0,1,0.05,,99.0,0.0,3.7385,1.0,0.0,0.154239,,1000000000.0,0.881924,8,16380,,,,26.459,25.82,25.498,25.135,25.069,25.078,25.072,25.744,28.095,,,,,26.716,26.743,26.462,25.777,25.57,25.566,25.525,25.543,25.564,25.537,26.259,26.437,26.894,26.376,25.538,8.80747,7.29884,-1.82078,,,,A370clu,39.9719741,-1.5999521
2779,0.0,0.0,2.0488,1.9556,0.5159,6.2296,2.66582,33.0,3,0.25,,99.0,1.3,2.07254,33.0,0.2,0.354775,,1000000000.0,14.9867,7,16376,,,,,29.725,29.008,28.499,28.365,28.236,28.201,,24.958,25.779,25.017,24.674,,31.777,30.006,29.423,29.374,29.131,28.776,28.486,28.33,28.213,28.216,27.947,27.875,28.01,28.455,27.533,8.94004,7.61573,-2.03708,,,,A370clu,39.9728947,-1.5734989
