catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
1688,2455,1.1295,1.1269,1.1325,1.1856,1.0585,1.3793,19.6661,26.0,0,0.05,,99.0,1.45,20.9858,31.0,0.25,2.77322e-05,,1000000000.0,116.832,10,16380,,,,25.246,24.739,24.398,23.729,23.561,23.569,23.424,23.49,22.019,22.349,22.813,23.359,,25.505,25.249,25.092,24.977,24.409,23.724,23.611,23.505,23.426,23.283,23.15,23.322,23.726,24.197,23.298,8.9201,9.37689,-0.07917,,,,A370clu,39.9594107,-1.5733132,[DSB2018] A370 27.3.1,39.95939166666666,-1.5733166666666667,LeG,1.27,C,2019ApJ...880...54H,0.06962184678088544,SIMBAD
1701,2476,0.34722,0.2125,0.4776,0.318,0.1899,0.4616,0.515024,2.0,0,0.0,1434000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,158024000.0,10,16380,,,,26.651,25.342,24.677,24.438,24.301,24.249,24.236,24.024,24.479,24.953,,,,27.592,27.496,26.631,25.263,24.698,24.459,24.308,24.251,24.223,24.035,24.591,24.886,25.257,25.806,27.87,9.24577,7.97222,-2.85142,,,,A370clu,39.9716005,-1.5913517,[LRB2019] 4117,39.97160000000001,-1.5913500000000005,G,0.3847,D,2021A&A...646A..83R,0.006379020389605917,SIMBAD
1703,2478,0.0,0.0,0.052,0.0779,0.0184,0.2227,10.5248,26.0,3,0.05,,99.0,0.71,12.9775,30.0,0.0,0.00152045,,1000000000.0,0.040886,10,16380,,,,26.553,26.597,26.108,25.819,25.725,25.767,25.876,26.005,26.74,,,,,27.765,27.561,26.814,26.339,26.118,25.963,25.934,25.911,25.878,25.927,26.722,27.091,27.247,25.844,27.928,9.01817,5.67899,-4.21131,,,,A370clu,39.9732036,-1.5913053,[LRB2019] 3982,39.9732,-1.5913,G,1.0581,C,2019MNRAS.485.3738L,0.023062490616815007,SIMBAD
1705,2480,1.1299,1.0493,1.2734,1.1441,1.0521,1.2705,1.52058,28.0,3,0.15,,99.0,0.81,4.07119,33.0,0.4,0.130603,,1000000000.0,172.614,10,16380,,,,25.341,25.068,24.471,23.821,23.708,23.691,23.558,23.37,23.107,23.289,,24.476,,25.609,25.351,25.351,25.123,24.449,23.851,23.727,23.606,23.521,23.342,23.252,23.447,23.826,24.149,23.564,8.9548,9.33631,-0.22238,,,,A370clu,39.9797399,-1.5913899,[LRB2019] 3996,39.97973,-1.59139,LeG,1.2467,C,2019MNRAS.485.3738L,0.03562807245783431,SIMBAD
1709,2484,0.049071,0.0,0.506,0.2911,0.0793,0.6979,7.36795,1.0,0,0.0,1278000000.0,99.0,0.4,7.19861,1.0,0.0,0.0273427,,1000000000.0,7762020.0,10,16380,,,,29.909,27.988,27.205,27.072,27.126,27.133,27.046,27.119,27.072,,29.413,,,29.855,29.754,29.037,27.795,27.384,27.209,27.118,27.101,27.097,26.951,27.557,27.897,28.287,28.853,30.946,9.20477,6.77307,-4.0723,,,,A370clu,39.9802335,-1.5913234,[LRB2019] 3918,39.98008,-1.5913599999999997,EmG,4.16381,C,2021A&A...646A..83R,0.5678837532033547,SIMBAD
1710,2485,1.1341,1.1275,1.2871,1.2611,1.1712,1.4217,9.28694,31.0,1,0.3,,99.0,1.58,12.9909,33.0,0.4,0.00151029,,1000000000.0,1057.69,10,16380,,,,24.386,24.242,23.622,23.058,22.896,22.742,22.646,22.177,21.883,22.081,23.315,23.102,,25.258,24.731,24.449,24.186,23.705,23.023,22.869,22.695,22.559,22.32,22.096,22.207,22.556,22.758,22.507,8.95249,9.71307,0.15635,,,,A370clu,39.9805608,-1.5915768,[BHF2019] A370   1078,39.98055999999999,-1.59157,G,1.1959,D,2021A&A...646A..83R,0.024648699797042622,SIMBAD
1712,2489,1.5737,1.5197,1.6532,1.5956,1.4729,1.7513,39.0242,29.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,53.7757,6,16124,,,,25.264,26.174,26.803,24.921,25.155,24.904,,,,,,,,25.959,25.689,25.723,25.837,25.896,25.326,25.129,25.131,25.175,25.137,25.204,25.217,25.534,25.942,25.834,8.72382,8.78155,-0.20515,,,,A370clu,39.9683681,-1.5915219,DES J023952.36-013529.6,39.9681995,-1.5915723000000002,GiC,0.3636,C,2019MNRAS.485.3738L,0.6332746083220555,SIMBAD
1715,2493,2.3832,2.3367,2.4225,2.383,2.3243,2.437,8.22061,33.0,3,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,7934.23,10,16380,,,,23.211,22.954,22.842,22.587,22.374,22.114,21.993,21.6,21.273,21.301,21.84,22.413,,31.195,24.323,23.209,22.915,22.885,22.62,22.353,22.154,22.001,21.645,21.544,21.48,21.455,21.834,21.321,8.84998,10.58935,1.30001,,,,A370clu,39.9773487,-1.5916237,[BHF2019] A370   1065,39.97735,-1.5916199999999998,LeG,1.9655,C,2019MNRAS.485.3738L,0.014117645089033978,SIMBAD
1718,2497,1.144,1.1394,1.1456,1.1598,1.1401,1.2153,49.9793,31.0,1,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,9589.53,10,16380,,,,23.572,22.981,22.089,21.325,21.055,20.833,20.678,19.787,19.283,19.407,20.378,20.249,,24.853,24.134,23.609,23.052,22.148,21.32,21.049,20.747,20.539,20.107,19.683,19.78,20.07,20.246,19.706,9.10003,10.5386,0.45476,,,,A370clu,39.9755941,-1.5921883,[BHF2019] A370   1011,39.9756,-1.5922,G,1.239,E,2021MNRAS.501.1028Y,0.0471686729440225,SIMBAD
1719,2499,0.20211,0.0944,0.2327,0.217,0.1183,0.5763,10.5214,33.0,1,0.3,,99.0,0.54,9.9972,32.0,0.2,0.00674739,,1000000000.0,9.76331,10,16380,,,,24.827,24.422,23.944,23.86,23.827,23.803,23.733,23.441,24.267,24.791,,,,25.291,25.17,24.861,24.353,23.964,23.923,23.797,23.751,23.712,23.657,24.267,24.264,24.743,23.858,23.33,8.78204,8.44706,-0.66295,,,,A370clu,39.9614677,-1.5918103,[LRB2019] 3962,39.96146,-1.5918099999999995,G,0.5945,C,2019MNRAS.485.3738L,0.02773034182691657,SIMBAD
