catalog_index,IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE
13097,3,0.70683,0.6658,0.7526,0.6902,0.6231,0.7488,7.75422,1.0,0,0.0,806400000.0,99.0,0.14,12.1101,33.0,0.4,0.00234601,,1000000000.0,757552000.0,10,4092,,,,25.434,24.815,24.027,,23.451,41.725,23.46,24.052,23.625,23.935,,,,25.4,25.347,25.379,24.806,24.059,23.92,23.879,23.902,23.866,23.895,24.03,24.418,24.795,25.329,27.293,8.89614,8.64566,-0.74299,,,,M1149clu,177.4107531,22.4271237,[MAT2017] MACS1149CLS  177,177.4107625,22.4271081,G,0.57,D,2017ApJ...835..254M,0.06428388013119488,SIMBAD
13099,5,0.0,0.0,0.0069,0.0112,,0.029,42.2931,1.0,0,0.0,4500000000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,352233.0,10,4092,,,,26.323,24.973,24.28,39.913,23.9,40.282,23.904,24.373,25.93,26.555,,,,28.889,27.289,25.889,25.038,24.558,24.322,24.27,24.218,24.149,24.328,25.128,25.578,26.021,26.575,28.829,9.51908,5.07166,-8.1894,,,,M1149clu,177.4089138,22.4267045,[MAT2017] MACS1149CLS  204,177.4089169,22.426703,G,0.54,D,2017ApJ...835..254M,0.011643832561916242,SIMBAD
13105,15,0.62271,0.5101,0.6863,0.6268,0.4505,4.3903,2.87942,1.0,0,0.0,1278000000.0,99.0,4.4,5.54269,31.0,0.05,0.0625779,,1000000000.0,464821000.0,9,3964,,,,27.583,25.832,24.844,40.945,24.274,,24.076,24.469,24.473,24.705,,,,27.362,27.157,26.988,25.856,24.913,24.643,24.55,24.481,24.423,24.365,24.479,24.855,25.223,25.732,27.662,9.14383,8.34384,-1.95915,,,,M1149clu,177.4133965,22.4250641,[MAT2017] MACS1149CLS  275,177.413398,22.4250665,G,0.54,D,2017ApJ...835..254M,0.009978283842948753,SIMBAD
13106,16,0.91021,0.8788,0.9447,0.9128,0.8601,0.9608,5.89565,31.0,2,0.3,,99.0,-99.9,1000000000.0,,,,,1000000000.0,852.446,10,4092,,,,24.021,23.591,22.708,40.732,22.233,36.796,22.188,21.816,21.429,21.829,,,,24.328,24.076,23.989,23.581,22.733,22.409,22.166,22.078,22.044,21.793,21.691,21.995,22.136,22.6,21.386,8.99797,9.86052,0.16296,,,,M1149clu,177.4087573,22.4246454,CLASHVLT J114938.10+222528.7,177.408759,22.424644,G,0.8555,D,2016ApJ...817...60T,0.007576656033209458,SIMBAD
13107,18,0.88503,0.7737,0.959,0.8537,0.7708,0.9458,0.489285,31.0,2,0.15,,99.0,-99.9,1000000000.0,,,,,1000000000.0,129.126,9,4060,,,,24.557,24.375,23.786,,23.371,40.487,23.498,23.479,23.469,23.826,,,,24.612,24.549,24.566,24.369,23.781,23.686,23.451,23.441,23.541,23.457,23.535,23.911,24.032,24.553,23.307,8.737,8.87445,-0.13039,,,,M1149clu,177.4114494,22.4244672,CLASHVLT J114938.75+222528.1,177.411448,22.42447,G,0.965,E,2016ApJ...817...60T,0.011104578727722093,SIMBAD
13108,19,4.9224,4.7105,4.949,5.604,4.6329,6.8291,196.815,26.0,0,0.2,,99.0,6.77,195.255,33.0,0.5,3.98979e-43,,1000000000.0,6508.71,9,4060,,,,-2.018,-1.815,-1.851,,-2.539,15.743,-3.08,24.069,22.102,22.649,,,,,,,30.845,26.935,25.462,25.055,24.856,24.686,24.039,22.561,22.331,22.124,21.894,22.688,8.94472,10.86498,1.33059,,,,M1149clu,177.4045154,22.4254734,[DRJ2018] MACS1149 10.1,177.40447,22.425496,LeG,1.19,E,2015ApJ...801...44Z,0.17159441146538743,SIMBAD
13110,25,1.9727,1.5155,2.0012,1.6912,1.4031,1.9059,9.75125,33.0,3,0.2,,99.0,1.55,9.84907,33.0,0.2,0.00726611,,1000000000.0,1252.45,10,4092,,,,23.806,23.787,23.584,39.12,22.789,36.114,22.71,23.033,22.368,22.39,,,,24.737,23.971,23.748,23.793,23.625,23.244,22.981,22.976,23.081,22.936,22.763,22.746,23.017,23.256,22.692,8.71756,9.54482,0.57314,,,,M1149clu,177.4021676,22.4233672,CLASHVLT J114936.52+222524.1,177.402201,22.423353,G,1.5476,E,2016ApJ...817...60T,0.12234088997784377,SIMBAD
13111,26,0.16767,0.0725,0.3252,0.1497,0.0455,0.2591,118.9,1.0,0,0.0,508800000.0,99.0,0.53,125.058,33.0,0.0,6.98217e-28,,1000000000.0,1732870.0,9,4060,,,,28.789,26.857,25.731,,25.161,39.34,24.965,25.396,,,,,,27.631,27.628,27.16,26.789,26.7,26.766,26.783,26.817,26.838,26.89,27.664,28.03,28.549,29.067,31.288,8.79627,5.82573,-3.39426,,,,M1149clu,177.4055741,22.4233203,CLASHVLT J114937.34+222524.0,177.405577,22.423328,G,0.55,D,2017ApJ...835..254M,0.02935188678872151,SIMBAD
13117,32,0.48291,0.4727,0.4938,0.4866,0.4718,0.5116,30.1437,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,667.184,10,4092,,,,23.978,22.02,20.892,35.604,20.191,34.688,19.95,19.186,19.267,19.696,,,,26.002,24.94,23.716,22.058,20.898,20.387,20.114,19.913,19.74,19.292,19.551,19.786,20.114,20.242,19.159,9.5547,10.34483,-3.13921,,,,M1149clu,177.3990651,22.4224645,CLASHVLT J114935.77+222520.9,177.399078,22.422529,GiC,0.553,C,2014ApJS..211...21E,0.23613499554919887,SIMBAD
13119,34,0.95579,0.9035,1.11,1.004,0.9052,1.0975,6.0999,31.0,1,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,495.611,10,3935,,26.278,26.015,25.553,25.176,24.084,,23.078,,22.822,22.857,22.219,22.568,,,,26.292,25.887,25.526,25.113,24.138,23.597,23.147,23.068,23.156,22.769,22.517,22.742,23.012,23.253,22.302,9.1041,9.56949,-0.51993,,,,M1149clu,177.4059575,22.4224285,CLASHVLT J114937.43+222520.7,177.405949,22.422425,G,0.66,D,2017ApJ...835..254M,0.030965924350737587,SIMBAD
