main_id,ra,dec,otype,rvz_redshift,rvz_qual,rvz_bibcode
CLASHVLT J114934.76+222334.5,177.394779,22.392967,G,0.5417,C,2024A&A...689A..42S
CLASHVLT J114933.70+222337.0,177.390414,22.393626,G,1.5929,E,2016ApJ...817...60T
CLASHVLT J114934.27+222353.1,177.39277916666666,22.398094444444443,GiC,0.553,C,2014ApJS..211...21E
CLASHVLT J114934.40+222358.4,177.3933,22.399631,G,0.5137,C,2024A&A...689A..42S
CLASHVLT J114934.81+222350.8,177.395054,22.397497,LeI,0.7017,C,2024A&A...689A..42S
CLASHVLT J114932.96+222356.3,177.387343,22.398959,G,0.53,D,2017ApJ...835..254M
CLASHVLT J114932.37+222355.8,177.384863,22.398844,G,0.54,D,2017ApJ...835..254M
CLASHVLT J114931.26+222355.9,177.380193,22.398884,G,3.1095,E,2016ApJ...817...60T
CLASHVLT J114932.33+222401.8,177.384722,22.400492,AGN,0.55,D,2017ApJ...835..254M
CLASHVLT J114931.99+222359.2,177.383305,22.399784,G,1.1863,E,2016ApJ...817...60T
CLASHVLT J114931.65+222400.0,177.381893,22.400019,G,1.925,E,2016ApJ...817...60T
CLASHVLT J114934.40+222400.9,177.393347,22.400234,G,0.5134,C,2024A&A...689A..42S
CLASHVLT J114931.42+222401.1,177.380897,22.400295,G,1.9658,E,2016ApJ...817...60T
CLASHVLT J114933.93+222403.8,177.391384,22.401063,AGN,0.5382,C,2024A&A...689A..42S
CLASHVLT J114933.83+222406.1,177.39099166666668,22.401674999999997,GiC,0.527,C,2014ApJS..211...21E
CLASHVLT J114933.16+222509.6,177.388153,22.419328,G,0.5357,E,2016ApJ...817...60T
CLASHVLT J114934.07+222508.5,177.391972,22.41903,G,1.4854,E,2016ApJ...817...60T
CLASHVLT J114934.29+222505.5,177.392877,22.418198,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114932.88+222502.4,177.387013,22.417346,G,0.8917,E,2016ApJ...817...60T
CLASHVLT J114933.86+222417.7,177.39109583333334,22.40491111111111,GiC,0.534,C,2014ApJS..211...21E
CLASHVLT J114930.37+222418.8,177.37663,22.40522,G,0.54,D,2017ApJ...835..254M
CLASHVLT J114931.44+222500.5,177.380988,22.416819,G,1.3833,D,2016ApJ...817...60T
CLASHVLT J114931.76+222455.9,177.38234,22.415532,G,0.8517,E,2016ApJ...817...60T
CLASHVLT J114931.62+222459.8,177.381721,22.416644,G,1.388,E,2016ApJ...817...60T
CLASHVLT J114930.92+222457.2,177.378824,22.415901,G,0.54,D,2017ApJ...835..254M
CLASHVLT J114931.96+222457.3,177.383159,22.415921,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114933.63+222456.5,177.390112,22.415706,G,0.54,D,2017ApJ...835..254M
CLASHVLT J114934.86+222453.8,177.39524,22.414944,G,0.55,D,2017ApJ...835..254M
CLASHVLT J114932.05+222453.8,177.38353333333333,22.414938888888887,G,0.527,C,2014ApJS..211...21E
CLASHVLT J114934.54+222450.3,177.393917,22.413959,G,2.3616,E,2016ApJ...817...60T
