IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
260,0.0,0.0,0.1022,0.1895,0.045,0.5809,7.91358,27.0,0,0.0,,99.0,0.54,8.46259,30.0,0.0,0.0145336,,1000000000.0,0.160408,8,4072,,,,,27.142,,26.015,25.46,25.74,25.916,27.299,,,,,,27.684,27.692,27.298,26.708,26.575,26.524,26.523,26.553,26.571,26.601,27.324,27.705,27.995,27.175,26.893,9.08325,6.3961,-4.07575,,,,M1149clu,177.439646,22.3114143
261,4.3897,0.2597,4.5488,0.3066,0.1386,3.7171,21.3862,1.0,0,0.0,1139000000.0,99.0,0.3,21.3502,1.0,0.0,2.31132e-05,,1000000000.0,6432340.0,10,4092,,,,30.379,28.007,27.29,27.457,27.498,27.528,27.574,26.127,,27.983,,,,29.783,29.747,29.207,28.029,27.674,27.567,27.5,27.494,27.505,27.412,28.017,28.375,28.765,29.338,31.44,9.10464,6.33604,-3.80476,,,,M1149clu,177.4111061,22.3129555
263,0.0,0.0,0.0814,0.0658,0.0166,0.2234,36.6742,33.0,0,0.0,,99.0,0.54,39.6535,33.0,0.0,2.45105e-09,,1000000000.0,0.0308192,10,4092,,,,26.565,26.697,26.9,27.167,27.081,26.893,26.935,26.104,,,,,,26.593,26.787,26.635,26.603,26.82,26.941,26.994,27.024,27.045,27.344,27.72,28.379,28.341,27.048,28.621,8.73248,4.55711,-4.4796,,,,M1149clu,177.4120427,22.3128862
264,1.4386,0.499,2.1517,1.164,0.389,2.2293,7.54341,1.0,0,0.0,904800000.0,99.0,0.0,7.54849,19.0,0.3,0.0229545,,1000000000.0,21325400.0,10,4092,,,,30.302,30.774,30.355,29.301,28.906,29.122,28.886,27.795,,,,,,30.858,30.751,30.659,30.583,29.845,29.186,29.117,29.03,28.978,28.933,28.905,29.077,29.461,29.955,31.857,9.01014,7.18185,-2.4959,,,,M1149clu,177.4393024,22.3116846
265,3.8765,3.7538,4.1721,3.7832,3.32,4.0365,6.97726,33.0,1,0.05,,99.0,0.3,9.54382,1.0,0.0,0.0084642,,1000000000.0,66.4238,10,4092,,,,29.168,27.292,26.894,27.128,27.066,27.203,27.284,25.941,26.454,,,,,,,29.233,27.17,26.958,27.068,27.172,27.24,27.315,27.079,27.214,27.204,27.246,27.323,28.579,8.90165,6.62796,-2.77749,,,,M1149clu,177.4128101,22.3128686
266,0.673,0.4749,0.9806,0.6276,0.1489,0.8741,3.26329,33.0,1,0.15,,99.0,0.14,4.35049,33.0,0.2,0.11358,,1000000000.0,51.6172,10,4092,,,,24.606,24.459,24.161,24.174,24.136,24.22,24.198,24.0,24.054,24.29,,,,24.618,24.592,24.62,24.488,24.217,24.109,24.181,24.136,24.089,24.069,24.403,24.783,24.692,25.257,23.738,8.83582,6.73954,-2.5026,,,,M1149clu,177.4204486,22.3130042
268,0.44577,0.0727,0.674,0.3406,0.1016,0.8844,3.53827,33.0,1,0.15,,99.0,0.12,3.89446,30.0,0.1,0.142669,,1000000000.0,1.4914,10,4092,,,,27.033,26.743,26.415,26.482,26.648,26.527,26.589,26.576,27.315,25.417,,,,27.059,27.078,27.124,26.683,26.546,26.633,26.564,26.542,26.539,26.509,27.208,27.031,27.716,27.23,26.034,8.80821,6.28053,-2.94671,,,,M1149clu,177.4225177,22.312822
269,6.8897,1.5904,8.0,5.4469,2.891,7.1164,6.6967,10.0,0,0.0,,99.0,6.34,6.65556,3.0,0.0,0.0358727,,1000000000.0,45.0726,10,4092,,,,29.262,27.233,31.951,25.076,24.591,24.792,24.626,,26.083,26.301,,,,,,,35.613,32.324,31.445,31.254,31.157,31.063,28.987,26.395,25.9,25.416,25.07,25.913,8.89556,9.22759,-0.26534,,,,M1149clu,177.4396146,22.3127825
270,1.2804,0.4985,1.576,0.7853,0.1598,1.4518,3.57609,33.0,1,0.15,,99.0,0.52,3.2619,33.0,0.2,0.195744,,1000000000.0,14.7268,10,4092,,,,26.432,26.528,26.42,25.954,25.897,25.899,25.91,25.345,26.4,26.465,,,,26.491,26.457,26.464,26.44,26.101,25.985,25.944,26.035,25.996,25.934,26.12,26.528,26.438,27.103,25.598,8.76704,7.61843,-1.45163,,,,M1149clu,177.4266637,22.3127668
271,0.0,0.0,0.0552,0.0919,0.0209,0.3047,77.0763,26.0,0,0.0,,99.0,0.54,80.1993,30.0,0.0,3.8455100000000006e-18,,1000000000.0,0.00891838,10,4092,,,,28.287,28.455,27.776,27.693,27.579,27.756,27.623,,,,,,,29.266,29.145,28.459,28.047,27.85,27.78,27.771,27.762,27.742,27.807,28.622,28.988,29.178,27.779,29.617,8.98443,5.10216,-4.85166,,,,M1149clu,177.4078829,22.3127914
272,0.0,0.0,3.8581,2.4396,0.324,6.0379,6.64197,33.0,0,0.0,,99.0,0.39,6.43082,33.0,0.0,0.0401388,,1000000000.0,3.50495,10,4092,,,,29.198,28.746,29.883,27.338,27.107,27.214,27.028,,,28.947,,,,38.409,29.339,28.775,28.881,29.096,29.342,29.339,29.26,29.217,29.266,29.532,29.607,29.683,30.154,29.817,8.88627,7.19572,-2.45129,,,,M1149clu,177.4403683,22.3087036
273,0.0,0.0,0.0299,0.0421,0.0101,0.1369,77.3061,1.0,0,0.0,508800000.0,99.0,0.54,83.6605,32.0,0.0,6.81321e-19,,1000000000.0,88931.3,10,4092,,,,27.201,27.366,27.347,27.34,27.071,26.908,26.834,,,,,,,27.961,27.897,27.228,27.087,27.105,27.068,27.12,27.135,27.131,27.306,28.11,28.542,29.01,29.557,31.809,8.7949,4.6106,-4.60272,,,,M1149clu,177.4244064,22.3127379
274,0.0,0.0,0.0706,0.1371,0.029,0.6767,43.1938,31.0,0,0.0,,99.0,0.54,43.3354,33.0,0.0,3.88904e-10,,1000000000.0,0.0384802,10,4092,,,,27.819,27.951,28.01,28.338,28.405,28.209,27.877,27.998,,,,,,28.068,28.189,27.997,27.854,27.867,27.944,27.982,28.022,28.05,28.204,28.798,29.24,29.429,28.437,28.66,8.7695,4.59599,-4.54604,,,,M1149clu,177.4083436,22.3127489
