IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,x_arcsec,y_arcsec,r_arcsec,member_selection,bcg_score,is_bcg_candidate
418,0.5975,0.5852,0.6108,0.5992,0.5842,0.6156,95.2089,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1217.27,12,4095,,25.8,25.142,24.558,22.168,20.88,20.351,20.049,19.889,19.737,18.723,18.845,19.264,,,,26.218,25.112,23.878,22.254,20.892,20.33,20.052,19.844,19.656,19.155,19.193,19.53,19.8,20.212,19.006,9.54229,10.57316,-2.73019,,,,M1149clu,177.3938172,22.411695,-21.392539845986917,53.04348000000232,57.19485581389977,pagul21_photoz_f160w_radius,1.3284236937966591,False
2825,0.53764,0.5222,0.5549,0.5496,0.5225,0.5937,89.2398,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,945.282,12,4095,,27.794,25.422,23.992,22.025,20.866,20.368,20.079,20.153,19.777,18.736,18.916,19.318,,,,26.103,25.021,23.791,22.146,20.872,20.331,20.072,19.866,19.682,19.208,19.349,19.635,19.921,20.273,19.082,9.52227,10.42554,-2.51852,,,,M1149clu,177.3992829,22.3814296,-3.200293605566493,-55.91196000000167,56.00347444760563,pagul21_photoz_f160w_radius,1.3248539815868554,False
1286,0.4384,0.4254,0.4511,0.4391,0.4237,0.4579,25.2299,22.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,369.196,12,4095,,25.825,26.076,24.316,22.215,20.993,33.652,20.151,34.096,19.868,19.167,19.198,19.621,,,,26.467,25.403,24.073,22.243,21.015,20.43,20.071,19.817,19.605,19.115,19.451,19.638,19.958,19.871,18.923,9.57969,10.49964,-3.16893,,,,M1149clu,177.4240873,22.4014505,79.35962601051232,16.163279999993563,80.98889961523477,pagul21_photoz_f160w_radius,2.1784364871744923,False
131,0.55458,0.4676,0.5687,0.516,0.4738,0.5566,38.1746,19.0,0,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,410.673,10,3966,,,26.674,24.472,22.364,21.07,31.615,20.217,,19.899,19.034,19.148,19.576,,,,26.33,25.444,24.143,22.415,21.118,20.509,20.144,19.865,19.624,19.133,19.291,19.546,19.697,19.976,18.62,9.54618,10.5915,-2.74151,,,,M1149clu,177.3968332,22.4174656,-11.353969368073658,73.81763999999578,74.68571881946463,pagul21_photoz_f160w_radius,1.9654014606488217,False
2618,0.64005,0.6162,0.6546,0.6255,0.5695,0.6523,91.6527,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1196.65,12,4095,,26.735,27.405,24.695,22.263,21.054,20.502,20.215,20.075,19.928,18.827,19.012,19.423,,,,26.466,25.338,24.098,22.48,21.073,20.48,20.213,20.007,19.816,19.3,19.288,19.643,19.907,20.334,19.09,9.52366,10.57415,-2.38001,,,,M1149clu,177.4106811,22.3858818,34.73791396117198,-39.884040000004006,52.891013538177795,pagul21_photoz_f160w_radius,1.2516637846059275,False
217,0.61365,0.5953,0.6401,0.645,0.6064,0.6741,147.08,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,1010.09,12,4095,,26.645,26.428,24.731,22.572,21.266,20.677,20.328,20.127,19.938,18.635,18.647,19.034,,,,26.885,25.699,24.455,22.825,21.312,20.637,20.327,20.091,19.866,19.262,19.168,19.559,19.761,20.194,18.918,9.57639,10.61455,-3.04589,,,,M1149clu,177.3997976,22.4149075,-1.4871463161291016,64.60848000000254,64.62559316614669,pagul21_photoz_f160w_radius,1.6402564388715568,False
32,0.48291,0.4727,0.4938,0.4866,0.4718,0.5116,30.1437,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,667.184,10,4092,,,,23.978,22.02,20.892,35.604,20.191,34.688,19.95,19.186,19.267,19.696,,,,26.002,24.94,23.716,22.058,20.898,20.387,20.114,19.913,19.74,19.292,19.551,19.786,20.114,20.242,19.159,9.5547,10.34483,-3.13921,,,,M1149clu,177.3990651,22.4224645,-3.925227508120456,91.81367999999708,91.89754755232791,pagul21_photoz_f160w_radius,2.593979585077597,False
2191,0.59843,0.5848,0.6125,0.5934,0.5163,0.6142,134.892,24.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,910.607,12,4095,,25.962,25.627,24.445,22.395,21.172,20.634,20.314,20.144,19.994,18.798,18.952,19.334,,,,26.457,25.355,24.124,22.496,21.151,20.596,20.317,20.11,19.922,19.427,19.484,19.812,20.085,20.489,19.288,9.58604,10.43478,-3.40416,,,,M1149clu,177.4207676,22.3900965,68.31020876402081,-24.711120000009146,72.64243988908245,pagul21_photoz_f160w_radius,1.9540501629694158,False
2205,0.63562,0.5163,0.6478,0.5443,0.5199,0.6273,161.809,23.0,0,0.5,,99.0,-99.9,1000000000.0,,,,,1000000000.0,591.942,11,4094,,,26.365,24.352,22.48,21.221,20.677,20.348,20.172,20.021,18.711,18.877,19.285,,,,26.601,25.496,24.254,22.588,21.25,20.656,20.35,20.105,19.884,19.364,19.483,19.764,20.012,20.344,19.156,9.576,10.47484,-3.16787,,,,M1149clu,177.41863,22.3895927,61.19533865342872,-26.52479999999855,66.696585279516,pagul21_photoz_f160w_radius,1.7592960093172008,False
3159,0.52664,0.5137,0.5382,0.5248,0.507,0.5415,26.317,18.0,0,0.4,,99.0,-99.9,1000000000.0,,,,,1000000000.0,339.966,10,4092,,,,24.736,22.586,21.272,20.709,20.38,50.803,20.035,19.153,19.238,19.667,,,,26.736,25.822,24.444,22.613,21.279,20.658,20.285,20.003,19.761,19.268,19.425,19.698,19.868,20.146,18.862,9.58309,10.47635,-3.25359,,,,M1149clu,177.4076729,22.3717735,24.72530530343249,-90.67392000000467,93.98457581175325,pagul21_photoz_f160w_radius,2.673569193725109,False
