IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC
3,0.68018,0.613,0.7289,0.6516,0.5691,0.7189,3.0357,1.0,0,0.0,806400000.0,99.0,0.13,4.83173,33.0,0.4,0.08929,,1000000000.0,636621000.0,8,4092,,,,25.434,24.815,24.027,,23.451,41.725,23.46,24.052,23.625,23.935,,,,25.453,25.398,25.423,24.782,24.101,23.972,23.986,23.949,23.915,23.947,24.117,24.515,24.885,25.424,27.403,8.88661,8.573,-0.79278,,,,M1149clu,177.4107531,22.4271237
4,3.2218,0.0176,3.5672,3.0016,0.3278,3.3909,0.0162481,31.0,1,0.25,,99.0,0.3,0.0368278,1.0,0.0,0.981755,,1000000000.0,224.766,6,3836,,,,28.753,27.609,27.329,27.489,26.968,63.456,,,,,,,,,35.206,28.735,27.611,27.328,27.171,27.054,26.764,26.451,26.025,25.646,25.537,25.459,25.539,26.163,9.01738,8.91985,-0.35067,,,,M1149clu,177.4115729,22.3681497
5,0.44973,0.4185,0.5624,0.4674,0.0986,0.5468,8.46355,1.0,0,0.0,1139000000.0,99.0,0.06,12.9308,1.0,0.0,0.00155636,,1000000000.0,337703000.0,8,4092,,,,26.323,24.973,24.28,39.913,23.9,40.282,23.904,24.373,25.93,26.555,,,,26.477,26.424,26.094,24.97,24.404,24.234,24.178,24.141,24.127,24.109,24.513,24.858,25.166,25.774,27.794,9.0323,8.26169,-1.5354,,,,M1149clu,177.4089138,22.4267045
8,1.9216,1.3785,2.1879,1.8992,1.5829,6.1495,0.349954,1.0,0,0.0,2750000000.0,99.0,1.54,0.807179,10.0,0.0,0.667918,,1000000000.0,84465900000.0,7,4060,,,,28.586,27.448,25.862,,23.194,40.917,22.513,22.118,20.644,20.428,,,,30.485,29.488,29.199,27.5,25.746,24.14,23.243,22.88,22.634,22.115,21.748,21.618,21.724,22.224,24.142,9.46061,10.64301,-1.58222,,,,M1149clu,177.4126473,22.4256816
9,2.5405,2.2519,2.8567,2.2009,0.5097,2.7721,1.58554,33.0,1,0.2,,99.0,2.01,1.44354,33.0,0.2,0.485891,,1000000000.0,509.897,8,4092,,,,25.456,25.145,25.053,43.078,24.448,41.978,24.143,24.406,25.495,24.867,,,,29.278,26.061,25.351,25.192,25.124,25.066,24.793,24.637,24.55,24.283,24.28,24.238,24.291,24.729,24.033,8.73632,9.43055,0.42264,,,,M1149clu,177.4082727,22.4261191
11,0.0,0.0,0.0415,0.0603,0.0141,1.7874,15.1515,33.0,0,0.0,,99.0,2.65,20.3044,33.0,0.0,3.899e-05,,1000000000.0,0.0714268,7,4060,,,,25.414,25.334,25.288,,24.399,41.474,23.985,,,,,,,25.349,25.545,25.355,25.288,25.608,25.69,25.745,25.774,25.794,26.106,26.479,27.138,27.069,25.783,27.925,8.71378,4.22664,-4.71955,,,,M1149clu,177.4071108,22.4262703
12,1.2018,0.9407,1.5603,1.2538,0.8507,1.8804,0.774288,31.0,3,0.1,,99.0,1.97,1.79642,33.0,0.2,0.407299,,1000000000.0,75.311,7,4060,,,,25.573,25.53,25.272,,24.46,39.925,24.477,24.863,24.409,24.585,,,,25.653,25.5,25.533,25.553,25.3,24.859,24.883,24.716,24.599,24.764,24.772,24.961,25.377,25.616,25.333,8.71976,8.8261,-0.15294,,,,M1149clu,177.4099644,22.425428
14,1.3863,1.2713,1.5772,1.4007,1.2741,1.7199,1.9927,32.0,2,0.2,,99.0,1.79,2.73917,33.0,0.25,0.254212,,1000000000.0,596.531,8,4092,,,,24.345,24.262,23.986,38.287,22.976,37.387,22.882,23.089,22.648,22.583,,,,24.888,24.426,24.318,24.253,23.993,23.421,23.306,23.117,22.959,23.108,22.965,23.057,23.423,23.531,23.363,8.82183,9.49561,0.29215,,,,M1149clu,177.407425,22.4251773
15,0.60909,0.4422,0.6866,3.8766,0.3114,4.3892,8.16998,33.0,1,0.2,,99.0,4.34,4.22037,33.0,0.15,0.121215,,1000000000.0,1532.63,7,3964,,,,27.583,25.832,24.844,40.945,24.274,,24.076,24.469,24.473,24.705,,,,,,28.601,25.647,25.063,24.975,24.955,24.946,24.941,24.476,24.17,24.164,24.103,24.077,25.233,9.1999,8.20396,-2.3726,,,,M1149clu,177.4133965,22.4250641
16,0.85982,0.808,0.9084,0.8539,0.7934,0.9155,1.44061,30.0,2,0.25,,99.0,-99.9,1000000000.0,,,,,1000000000.0,539.687,8,4092,,,,24.021,23.591,22.708,40.732,22.233,36.796,22.188,21.816,21.429,21.829,,,,24.319,24.128,24.037,23.597,22.701,22.411,22.189,22.099,22.043,21.858,21.804,22.14,22.247,22.78,21.535,8.98905,9.81258,0.13168,,,,M1149clu,177.4087573,22.4246454
