IDENT,Z_BEST,Z_BEST68_LOW,Z_BEST68_HIGH,Z_ML,Z_ML68_LOW,Z_ML68_HIGH,CHI_BEST,MOD_BEST,EXTLAW_BEST,EBV_BEST,AGE_BEST,PDZ_BEST,Z_SEC,CHI_SEC,MOD_SEC,EBV_SEC,PDZ_SEC,MOD_STAR,CHI_STAR,SCALE_BEST,NBAND_USED,CONTEXT,ZSPEC,MAG_OBS0,MAG_OBS1,MAG_OBS2,MAG_OBS3,MAG_OBS4,MAG_OBS5,MAG_OBS6,MAG_OBS7,MAG_OBS8,MAG_OBS9,MAG_OBS10,MAG_OBS11,MAG_OBS12,MAG_OBS13,MAG_OBS14,MAG_MOD0,MAG_MOD1,MAG_MOD2,MAG_MOD3,MAG_MOD4,MAG_MOD5,MAG_MOD6,MAG_MOD7,MAG_MOD8,MAG_MOD9,MAG_MOD10,MAG_MOD11,MAG_MOD12,MAG_MOD13,MAG_MOD14,AGE_MED,MASS_MED,SFR_MED,ZSPEC_FLAG,ZSPEC_REF,ZSPEC_SEP,FIELD,RA,DEC,SIMBAD_MAIN_ID,SIMBAD_RA,SIMBAD_DEC,SIMBAD_OTYPE,SIMBAD_ZSPEC,SIMBAD_RVZ_QUAL,SIMBAD_RVZ_BIBCODE,SIMBAD_MATCH_SEP_ARCSEC,ZSPEC_SOURCE,SIMBAD_ZSPEC_USABLE_FOR_LENSING
2156,0.0,0.0,0.0594,0.1185,0.0248,0.317,158.195,31.0,0,0.0,,99.0,0.52,158.912,33.0,0.0,3.10948e-35,,1000000000.0,0.0283343,10,4089,,28.141,,,28.309,27.668,27.527,27.056,27.085,27.195,,,,,,,28.071,28.187,27.903,27.81,27.715,27.933,27.979,28.017,28.042,28.217,28.803,29.258,29.403,28.379,28.839,8.80371,4.90349,-4.38862,,,,M1149clu,177.4211716,22.403564,,,,,,,,,,False
2157,0.0,0.0,0.0303,0.0395,,0.112,17.7793,26.0,0,0.0,,99.0,-99.9,1000000000.0,,,,,1000000000.0,0.00756088,11,4094,,,27.496,26.318,26.72,26.575,25.931,25.811,25.761,25.782,26.902,29.596,,,,,27.655,27.505,26.734,26.413,26.277,26.164,26.163,26.148,26.12,26.258,27.07,27.464,27.398,26.113,30.47,8.88347,5.10963,-4.37282,,,,M1149clu,177.4195787,22.3909977,,,,,,,,,,False
2158,0.28544,0.2234,0.4455,0.2799,0.1261,0.4093,5.24187,32.0,2,0.1,,99.0,-99.9,1000000000.0,,,,,1000000000.0,5.57395,10,4092,,,,24.91,24.497,24.366,24.501,24.393,38.516,24.416,24.474,25.158,23.814,,,,24.959,24.968,24.917,24.49,24.369,24.453,24.401,24.403,24.412,24.415,25.157,25.01,25.656,25.023,24.024,8.8244,6.82214,-2.38408,,,,M1149clu,177.3774034,22.3909154,[MAT2017] MACS1149CLS 3376,177.3774129,22.3909134,G,0.46,D,2017ApJ...835..254M,0.032430877718933264,SIMBAD,False
2159,0.0,0.0,0.0498,0.0689,0.0165,0.2237,410.735,1.0,0,0.0,508800000.0,99.0,0.53,414.534,33.0,0.0,9.66451e-91,,1000000000.0,100168.0,11,4094,,,29.868,28.632,28.402,28.578,28.272,27.703,27.599,27.888,30.481,,,,,,29.064,29.004,28.372,28.12,28.171,28.168,28.212,28.235,28.238,28.372,29.174,29.588,30.071,30.605,32.85,8.82634,4.62773,-4.78557,,,,M1149clu,177.4157031,22.4035138,,,,,,,,,,False
2160,6.8091,6.1056,7.248,6.6489,5.7849,7.371,26.6767,23.0,0,0.0,,99.0,6.35,27.1132,23.0,0.0,1.29552e-06,,1000000000.0,560.386,11,4091,,28.78,,,27.838,27.15,26.721,26.332,26.286,26.246,,24.467,25.281,,,,,,,,29.25,26.455,26.39,26.371,26.353,26.306,24.892,24.62,24.367,24.115,24.683,8.85651,9.93647,0.63303,,,,M1149clu,177.4057535,22.3909707,,,,,,,,,,False
2161,0.0,0.0,0.0551,0.2091,0.0529,0.4646,11.3205,9.0,0,0.0,,99.0,0.53,11.0843,3.0,0.0,0.00391813,,1000000000.0,0.0722345,11,4093,,28.465,,29.571,27.573,26.155,25.767,25.574,25.49,25.453,25.841,25.61,31.923,,,,32.176,30.658,28.89,27.138,26.361,25.881,25.655,25.591,25.552,25.4,26.226,26.503,27.038,27.528,29.598,9.49946,7.79146,-4.98205,,,,M1149clu,177.415117,22.3909136,[MAT2017] MACS1149CLS 3480,177.4151212,22.3909133,G,0.59,D,2017ApJ...835..254M,0.01402170407586317,SIMBAD,False
2162,0.0,0.0,0.1767,0.1283,0.0338,0.3026,17.253,1.0,0,0.0,508800000.0,99.0,0.53,19.2047,32.0,0.0,6.75692e-05,,1000000000.0,1627460.0,9,3964,,,,26.892,26.747,26.149,38.223,25.964,,26.026,25.464,,,,,,27.389,27.373,26.85,26.536,26.442,26.512,26.538,26.57,26.589,26.658,27.441,27.817,28.33,28.848,31.076,8.83622,5.70117,-3.61828,,,,M1149clu,177.371954,22.4034391,,,,,,,,,,False
2163,0.0,0.0,0.0155,0.0224,,0.0606,65.7129,1.0,0,0.0,570900000.0,99.0,-99.9,1000000000.0,,,,,1000000000.0,58732.3,12,4095,,27.866,27.372,26.357,26.517,26.34,25.63,25.308,25.334,25.288,26.17,,,,,,27.075,26.982,26.232,26.102,26.098,26.062,26.112,26.12,26.109,26.305,27.109,27.538,27.997,28.549,30.803,8.79486,4.66916,-4.50783,,,,M1149clu,177.4237039,22.3908918,,,,,,,,,,False
2164,0.0,0.0,0.0612,0.1051,0.0218,0.4109,54.7832,31.0,0,0.0,,99.0,0.39,55.3791,33.0,0.0,9.43162e-13,,1000000000.0,0.0332727,11,4087,,28.743,27.633,28.88,,27.725,27.197,27.093,27.2,26.999,,,,,,,27.71,27.824,27.524,27.445,27.35,27.566,27.615,27.652,27.674,27.861,28.444,28.905,29.028,27.99,28.591,8.85578,5.06891,-4.54766,,,,M1149clu,177.3879332,22.4034443,[MAC2016] M1149cl  22863,177.388184,22.403442,LeG,7.66,E,2022MNRAS.514.1148Y,0.8347745102697331,SIMBAD,False
2165,0.08223,0.0617,0.1422,0.4225,0.0812,0.7092,28.2702,1.0,0,0.0,1015000000.0,99.0,0.57,27.0447,1.0,0.0,1.34066e-06,,1000000000.0,42355400.0,12,4095,,28.408,28.153,27.658,26.746,26.209,26.143,26.071,25.964,25.981,28.112,24.689,25.44,,,,28.052,28.062,27.744,26.701,26.266,26.143,26.084,26.06,26.059,26.042,26.494,26.864,27.177,27.78,29.824,8.96892,7.55386,-2.01588,,,,M1149clu,177.3903081,22.3909204,[MAT2017] MACS1149CLS 3499,177.3903123,22.390916,G,0.55,D,2017ApJ...835..254M,0.02112693481242614,SIMBAD,False
