#REFERENCE 0 64.0381417 -24.0674722
O1 64.0388935 -24.0671046 0.0000 0.0000 145.87 0.00
O1 64.038894 -24.067105 0.0000 0.0000 145.87 0.00
O1 64.0388935 -24.0671046 0.0000 0.0000 145.87 0.00
O1 64.0388935 -24.0671046 9.7664 3.2654 145.87 5734.72
O2 64.0315973 -24.0782305 0.0000 0.0000 125.34 0.00
O2 64.031597 -24.078230 0.0000 0.0000 125.34 0.00
O2 64.0315973 -24.0782305 0.0000 0.0000 125.34 0.00
O2 64.0315973 -24.0782305 10.0315 3.8526 125.34 7734.04
O3 64.0492049 -24.0652020 0.0000 0.0000 0.00 0.00
O3 64.049205 -24.065202 0.0000 0.0000 0.00 0.00
O3 64.0492049 -24.0652020 0.0000 0.0000 0.00 0.00
O3 64.0492049 -24.0652020 1.9390 1.9390 0.00 1124.06
O4 64.0411841 -24.0779947 0.0000 0.0000 106.67 0.00
O4 64.041184 -24.077995 0.0000 0.0000 106.67 0.00
O4 64.0411841 -24.0779947 0.0000 0.0000 106.67 0.00
O4 64.0411841 -24.0779947 3.3913 1.6896 106.67 1367.50
O5 64.0284160 -24.0856807 0.0000 0.0000 0.00 0.00
O5 64.028416 -24.085681 0.0000 0.0000 0.00 0.00
O5 64.0284160 -24.0856807 0.0000 0.0000 0.00 0.00
O5 64.0284160 -24.0856807 1.4831 1.4831 0.00 17.44
O6 64.0340836 -24.0667430 0.0000 0.0000 2.55 0.00
O6 64.034084 -24.066743 0.0000 0.0000 2.55 0.00
O6 64.0340836 -24.0667430 0.0000 0.0000 2.55 0.00
O6 64.0340836 -24.0667430 0.6675 0.5766 2.55 0.80
7 64.0436596 -24.0708426 0.0000 0.0000 -156.76 0.00
7 64.043660 -24.070843 0.0000 0.0000 -156.76 0.00
7 64.0436596 -24.0708426 0.0000 0.0000 -156.76 0.00
7 64.0436596 -24.0708426 3.0327 2.6936 -156.76 181.67
8 64.0287744 -24.0809919 0.0000 0.0000 -71.50 0.00
8 64.028774 -24.080992 0.0000 0.0000 -71.50 0.00
8 64.0287744 -24.0809919 0.0000 0.0000 -71.50 0.00
