chi multiples
 N    ID    z   Narcs    chip    chix    chiy    chia   rmss     rmsi    dx      dy    nwarn
18  15.1b 1.990   1      0.75    0.00    0.00    0.00   0.090    0.00   -0.08    0.05  1
18  15.1a 1.990   1      8.43    0.00    0.00    0.00   0.303    0.00    0.13    0.27  1
18   15.1 1.990   3     18.90    0.00    0.00    0.00   0.262    0.00    N/A     N/A   3
19     7c 2.085   1      0.01    0.00    0.00    0.00   0.005    0.00   -0.01    0.00  1
19     7b 2.085   1      2.10    0.00    0.00    0.00   0.110    0.00    0.03    0.11  1
19     7a 2.085   1      2.10    0.00    0.00    0.00   0.110    0.00   -0.02   -0.11  1
19      7 2.085   3      4.20    0.00    0.00    0.00   0.090    0.00    N/A     N/A   3
20 202.2c 2.091   1      0.88    0.00    0.00    0.00   0.023    0.00    0.00   -0.02  1
20 202.2b 2.091   1      0.88    0.00    0.00    0.00   0.023    0.00   -0.00    0.02  1
20  202.2 2.091   2      1.76    0.00    0.00    0.00   0.023    0.00    N/A     N/A   2
21 202.1c 2.091   1      2.13    0.00    0.00    0.00   0.053    0.00    0.01   -0.05  1
21 202.1b 2.091   1      2.13    0.00    0.00    0.00   0.053    0.00   -0.01    0.05  1
21  202.1 2.091   2      4.26    0.00    0.00    0.00   0.053    0.00    N/A     N/A   2
22    10c 2.093   1      5.74    0.00    0.00    0.00   0.273    0.00    0.21    0.18  1
22    10b 2.093   1      4.31    0.00    0.00    0.00   0.236    0.00   -0.19    0.14  1
22    10a 2.093   1      8.04    0.00    0.00    0.00   0.323    0.00   -0.02   -0.32  1
22     10 2.093   3     18.09    0.00    0.00    0.00   0.279    0.00    N/A     N/A   3
23  16.2e 2.095   1      1.61    0.00    0.00    0.00   0.077    0.00    0.07    0.02  1
23  16.2d 2.095   1      1.00    0.00    0.00    0.00   0.060    0.00    0.01   -0.06  1
23  16.2c 2.095   1      1.74    0.00    0.00    0.00   0.080    0.00    0.05   -0.06  1
23  16.2b 2.095   1      3.52    0.00    0.00    0.00   0.113    0.00   -0.08    0.08  1
23  16.2a 2.095   1      1.09    0.00    0.00    0.00   0.063    0.00   -0.06    0.03  1
