#Nsample
#ln(Lhood)
#O1 : x (arcsec)
#O1 : y (arcsec)
#O1 : emass
#O1 : theta (deg)
#O1 : rc (arcsec)
#O1 : sigma (km/s)
#O2 : x (arcsec)
#O2 : y (arcsec)
#O2 : emass
#O2 : theta (deg)
#O2 : rc (arcsec)
#O2 : sigma (km/s)
#O3 : x (arcsec)
#O3 : y (arcsec)
#O3 : rc (arcsec)
#O3 : sigma (km/s)
#O4 : x (arcsec)
#O4 : y (arcsec)
#O4 : emass
#O4 : theta (deg)
#O4 : rc (arcsec)
#O4 : sigma (km/s)
#O5 : sigma (km/s)
#O5 : rcut (arcsec)
#O6 : emass
#O6 : theta (deg)
#O6 : sigma (km/s)
#O6 : rcut (arcsec)
#Pot0 rcut (arcsec)
#Pot0 sigma (km/s)
#Chi2
1 -328.022963 -2.627370 1.588817 0.801569 146.120554 8.690517 668.531405 21.436808 -38.663121 0.748929 125.635617 8.512813 775.054606 -36.664277 7.976342 5.257639 290.545103 -9.967466 -36.720313 0.590811 106.896110 13.336403 326.716575 231.619363 53.875299 0.161614 0.541029 94.809493 14.555000 1.049092 114.959890 2194.602231
1 -325.256092 -2.740704 1.546178 0.800539 146.057482 8.606386 669.388332 21.454927 -38.665839 0.748337 125.513480 8.377505 772.861264 -36.615396 8.203908 5.090993 289.704704 -9.956630 -37.014850 0.584592 106.965791 13.396720 326.277902 230.348217 54.053661 0.154967 1.064062 93.418892 14.446879 1.162941 105.953222 2185.014999
1 -328.095104 -2.663721 1.596484 0.802534 146.226073 8.635399 667.024284 21.439086 -38.656696 0.748598 125.609443 8.577512 776.164692 -36.717724 7.944319 5.309260 291.660474 -9.985973 -36.579625 0.598144 106.883762 13.182907 325.232301 232.394998 53.661582 0.159868 0.439970 94.959480 14.513388 1.051326 119.674492 2193.565240
1 -332.421357 -2.666142 1.397768 0.800237 145.152638 8.565762 670.352650 21.453877 -38.666886 0.750919 125.316433 8.231454 768.089471 -36.608769 8.124164 5.032771 296.428570 -9.900871 -37.097161 0.569921 109.463186 13.931369 323.058407 228.358088 54.165190 0.164274 -0.624399 95.121160 15.639828 1.014620 115.473271 2189.979157
1 -330.368257 -2.890911 1.730788 0.798505 146.413283 8.571817 666.241161 21.490130 -38.611251 0.742333 125.304154 8.484436 775.743323 -36.868120 8.327962 5.336351 293.230674 -9.996943 -37.040422 0.600681 107.218697 13.017262 325.686342 227.304696 53.075939 0.146042 3.725869 93.328923 14.257879 1.341510 104.553753 2201.433302
1 -325.603445 -2.791630 1.583549 0.801031 146.264624 8.646449 667.047445 21.435986 -38.559369 0.748898 125.361813 8.509282 775.090444 -36.740181 8.193436 5.321759 291.778076 -9.975195 -36.455533 0.589729 108.088669 13.114874 325.372767 230.602074 53.673597 0.160103 1.918108 94.501743 14.772048 1.126194 115.248936 2185.391859
1 -327.747446 -2.756342 1.517787 0.800054 145.860092 8.702717 668.316456 21.453672 -38.501933 0.754677 125.059031 8.408213 771.537977 -36.701957 8.457272 5.118608 293.123367 -9.977448 -36.279040 0.550631 110.102427 13.343591 329.509460 227.730377 54.757117 0.176945 2.782432 95.157419 15.854208 1.003444 116.161502 2187.499859
1 -324.972765 -2.688990 1.494350 0.799271 146.167016 8.799342 671.179772 21.444288 -38.613607 0.755473 125.426267 8.352138 771.244746 -36.471430 8.259859 4.918686 285.177005 -9.982334 -36.717412 0.560728 107.715321 13.445320 331.089923 232.090076 54.764853 0.169018 1.371810 93.127729 14.613561 1.036907 117.716999 2181.867094
1 -330.077720 -2.623410 1.456839 0.801202 145.535003 8.632523 670.402229 21.473838 -38.715047 0.747843 125.451081 8.242816 769.444620 -36.518498 8.073268 5.050393 292.414166 -9.994075 -37.259305 0.593797 107.204742 13.747733 323.159102 231.038090 53.774568 0.152046 -1.806164 94.230934 14.507780 1.128587 113.575562 2187.741050
1 -334.576770 -2.735378 1.569353 0.807149 146.005398 8.460966 661.045083 21.421245 -38.503716 0.752471 125.558944 8.487412 776.486418 -36.726726 7.821316 5.624914 300.121365 -9.827312 -36.407189 0.608066 107.721729 12.976313 323.756519 232.179550 53.100248 0.159003 1.311178 96.617357 14.973793 1.036177 118.639820 2198.009150
2 -323.546800 -2.751174 1.543849 0.797716 146.225778 8.769394 672.161969 21.455306 -38.666561 0.748583 125.463696 8.327959 771.434458 -36.512836 8.276410 4.970400 284.498054 -9.997299 -37.072915 0.582181 106.951571 13.468238 327.672098 231.453414 54.062249 0.154287 0.924408 92.231818 14.017187 1.216111 110.943652 2180.565379
2 -327.273150 -2.737802 1.573264 0.798237 146.334197 8.785544 670.586568 21.456068 -38.613647 0.753491 125.446158 8.358297 772.269187 -36.524285 8.312923 4.954268 285.077197 -9.968511 -36.898636 0.563032 107.305113 13.348725 332.164557 230.827880 54.574233 0.164740 2.742753 92.593228 14.389440 1.122194 116.069173 2189.732034
2 -326.170779 -2.761445 1.463900 0.798085 146.123692 8.763695 672.997024 21.453386 -38.656747 0.751480 125.445904 8.211023 769.069847 -36.372281 8.312494 4.831761 282.861622 -9.969864 -37.142676 0.577385 107.068383 13.552674 327.853479 232.606445 54.279011 0.153820 0.260904 91.593298 13.912350 1.207919 111.193567 2179.992523
2 -326.189548 -2.737818 1.471270 0.800121 146.145263 8.802255 669.960434 21.422403 -38.529811 0.755484 125.329519 8.338825 771.382023 -36.486304 8.248746 5.073825 286.889999 -9.958124 -36.491016 0.568720 108.484573 13.374687 328.820807 232.430310 54.377227 0.168014 1.346784 93.699178 14.762766 1.065911 118.763336 2180.412646
